	Bcl6	Bhlhe40	Crem	Dot1l	Epas1	Foxo1	Hivep1	Ikzf3	Irf1	Jun	Junb	Jund	Kdm2b	Klf13	Klf2	Klf6	Lin54	Mlxip	Nfat5	Nfkb1	Nfkb2	Nr3c1	Nr4a2	Purb	Rora	Skil	Stat3	Stat5a	Zbtb21	Zfp131
4932438A13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62736	0	0	0	0	0	0	0	0	0	0	0
4933426M11Rik	0	0	0	0	-0.67278	0	0	0	0	0	0	0	0.55209	0	0	0	0	0	0	0.29637	0	0	0	0	0	0	0	0	0	0.57533
A830080D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15572	0	0	0	0	0
Abcb1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2933	0	0	0	0	0	0	0	0.80531	0	0	0	0	0
Abhd2	0	0	0	0	0	0	0	0	0.76862	0	0.2039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aff1	0	0	0	0	0	0	0.63266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77664	0	0	0	0	0	0	0
Aff4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34785	-0.22844	0	0	0	0	0	0	0
Ago2	0	0	0	0.76368	0	0	0	0	0	0	0	0	0.17225	0	0	0	0.70485	0	0	0	0	0	0.18637	0	0	0	0.74464	0	0	0
Aplp2	0	0	0	0	0.87477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63853	0	0	0	0	0	0	0	0	0
Arap2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99677	0	0	0	0	0	0.086476	0	0	0	0	0
Arhgap15	0	0	0	0	0	0	0	0	0	0	0	0	-0.92777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap17	0	0	0	0	0	0	0	0	0.50112	0	0	0.39508	0	0	0	0	0	0	0.78984	0	0	0	0	0	0	0	0	0	0	0
Arrb2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.27953	0	0
Asb2	0	0	0	0	0	0	0	0	0	0	-0.34964	0	0	-0.29187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atxn7	0.059255	0	0	0	0	0	0	0	0	-0.39043	0.81784	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41359	0	0	0	0	0
