	Bcl6	Creb3l1	Epas1	Foxo1	Nfkb1	Nfkb2	Skil	Stat3
Atxn7	0.059255	0	0	0	0	0	0	0
Birc2	0	0	0	0	0	0.48411	0	0
Cables1	0.41569	0	0	0	0	0.6186	0	0
Cblb	0.8541	0	0	0	0	-0.28755	0	0
Cd226	0.66137	0	-0.14313	0	0	-0.086476	0	0
Cish	0	0	0	0	0.82502	0	0	0
Cnnm2	0	0	0	0	0.76449	0.8715	0	0
Cryaa	0.35682	0	0	0	0	0	0	0
Dgat1	-0.45763	0	0	0	0	0.39043	0	0
Dhx40	0	0	0.36267	0	0	0	0	0
Ell2	0	0	0	0	0.088906	0	0.82347	0
Emb	0	0	0	0	0	0.7326	0	0
Epas1	0	0	0	0	0	0	0.7792	0
Foxo1	0.25266	0	0	0	0	0	0	0.75436
Hspa1a	0.25382	0	0	0	0	0	0	0
Il17f	0.33091	0	0	0	0	0	0	0
Itga4	0	0	0	0	0	-0.62398	0	0
Itk	0	0	0	0	0.90416	0	0	0
Mapkapk2	-0.62602	0	0	0	0	0	0	0
Mbp	-0.71591	0	0	0	0	0	0	0
Ncr1	0	0	0.90835	0	0	0	0	0
Nfkb2	0	0	0	0	0	0	0	0.34006
Nrp1	0	0	0	0	0	0.69078	0	0
Ppp1r16b	0.90416	0	0	0	0	0	0	0
Ppp3ca	0	0	0	0	0.18316	-0.97546	0	0
Ptpn22	0.9058	0	0	0	0	0	0	0
Rgs9	0.86075	0	0	0	0	0	0	0.82859
Rn45s	0.46778	0	0	0	0	0	0	0
Smap2	0.93306	0	0	0	0	0	0	0
Stat3	0	0	0	0.83269	0	0	0	0
Sytl3	0	0.83599	0	0	0	0	0	0
Tagap	0.75224	0	0	0	0	0	0	0
