	Bcl6	Creb3l1	Crem	Epas1	Foxo1	Kdm2b	Nfil3	Nfkb1	Nfkb2	Nr3c1	Rora	Skil	Stat3	Zkscan3
Abcb1b	0	0	0	0	0	0	0	0	0	0	-0.94246	0	0	0
Ablim3	0.68294	0	0	0	0	0	0	0	0	0	0.85475	0	0	0
Arhgap15	0	0	0	0	0	-0.92777	0	0	0	0	0	0	0	0
Arhgap31	0.61462	0	0	0	0	0	0	0	0	0	0.65936	0	0	0
Atxn7	0.059255	0	0	0	0	0	0	0	0	0	0.41359	0	0	0
Birc2	0	0	0	0	0	0	0	0	0.48411	0	0	0	0	0
Brd1	0	0	0	0	0	0.42792	0	0	0	0	0	0	0	0
Cables1	0.41569	0	0	0	0	0	0	0	0.6186	0	0	0	0	0
Cblb	0.8541	0	0	0	0	0	0	0	-0.28755	0	0	0	0	0
Cd226	0.66137	0	0	-0.14313	0	0	0	0	-0.086476	0	0	0	0	0
Cd47	0	0	0	0	0	0	0	0	0	0	-0.90354	0	0	0
Chsy1	0	0	0	0	0	0	0	0	0	0	-0.9935	0	0	0
Cish	0	0	0	0	0	0	0	0.82502	0	0	0	0	0	0
Clcn3	0	0	0	0	0	0	0	0	0	0	0.96856	0	0	0
Cnnm2	0	0	0	0	0	0	0	0.76449	0.8715	0	0	0	0	0
Crem	0	0	0	0	0.59878	0	0	0	0	0	0	0.96102	0.36739	0
Cryaa	0.35682	0	0	0	0	0	0	0	0	0	0	0	0	0
Cuedc2	0	0	0	0	-0.61106	0	0	0.78244	0	0	0	0	-0.75966	0
Dgat1	-0.45763	0	0	0	0	0	0	0	0.39043	0	-0.49081	0	0	0
Dhx40	0	0	0	0.36267	0	0	0	0	0	0	0.11633	0	0	0
Ell2	0	0	0.56089	0	0	0	0	0.088906	0	0.76239	0	0.82347	0	0
Emb	0	0	0	0	0	0.45304	0	0	0.7326	0	0.96469	0	0	0
Epas1	0	0	0	0	0	0	0	0	0	0	0	0.7792	0	0
Eprs	0	0	0	0	0	0	0	0	0	0	0.92431	0	0	0
Ern1	0	0	0	0	0	0	0	0	0.9949	0	0	0	0	0
Foxo1	0.25266	0	0	0	0	0	0	0	0	0	0	0	0.75436	0
Fryl	0.22675	0	0	0	0	0	0	-0.41669	0	0	0	0	0	0
Hk2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76427
Hmces	0	0	0.17518	0	0	0	0	0	0	0	0	0.14313	0	0
