TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Bcl6	Smap2	0.93306	50.45	0.452	rgb(222,131,132)	1.9902	None
Bcl6	Ptpn22	0.9058	50.32	0.316	rgb(220,157,157)	1.9876	None
Bcl6	Ppp1r16b	0.90416	50.31	0.307	rgb(220,158,159)	1.9874	None
Bcl6	Rgs9	0.86075	49.4	0.401	rgb(221,140,141)	1.9692	None
Bcl6	Cblb	0.8541	49.34	0.341	rgb(221,152,153)	1.968	None
Bcl6	Lats2	0.83987	49.13	0.132	rgb(218,192,192)	1.9638	None
Bcl6	Nfil3	0.7961	47.67	0.671	rgb(224, 89, 90)	1.9345	None
Bcl6	Tagap	0.75224	46.52	0.517	rgb(223,118,119)	1.9115	2,2
Bcl6	Mbp	-0.71591	45.53	-5.3E-01	rgb(101,146,237)	1.8917	None
Bcl6	Il2ra	-0.6959	45.31	-3.1E-01	rgb(150,176,229)	1.8873	None
Bcl6	Ablim3	0.68294	44.41	0.409	rgb(221,139,140)	1.8692	None
Bcl6	Cd226	0.66137	44.34	0.34	rgb(221,152,153)	1.8678	None
Bcl6	Mapkapk2	-0.62602	43.06	-5.9E-02	rgb(204,209,219)	1.8422	None
Bcl6	Arhgap31	0.61462	43.21	0.209	rgb(219,177,178)	1.8452	None
Bcl6	Rn45s	0.46778	39.29	0.291	rgb(220,161,162)	1.7667	2,2
Bcl6	Dgat1	-0.45763	39.17	-1.7E-01	rgb(180,194,224)	1.7643	None
Bcl6	Cables1	0.41569	38.19	0.192	rgb(219,180,181)	1.7447	None
Bcl6	Cryaa	0.35682	36.2	0.196	rgb(219,180,180)	1.7048	2,2
Bcl6	Tspan14	-0.34964	36.1	-9.6E-02	rgb(196,204,221)	1.7028	None
Bcl6	Il17f	0.33091	36.24	0.238	rgb(220,172,172)	1.7056	None
Bcl6	Tex2	-0.30271	35.39	-3.9E-01	rgb(133,166,232)	1.6886	None
Bcl6	Hspa1a	0.25382	34.41	0.409	rgb(222,139,140)	1.669	2,2
Bcl6	Foxo1	0.25266	34.4	0.4	rgb(221,141,141)	1.6688	2,2
Bcl6	Fryl	0.22675	34.2	0.205	rgb(219,178,178)	1.6648	None
Bcl6	Atxn7	0.059255	30.31	0.307	rgb(220,158,159)	1.5869	None
Creb3l1	Sytl3	0.83599	48.55	0.552	rgb(223,112,113)	1.9521	2,2
Crem	Ell2	0.56089	41.43	0.427	rgb(222,135,136)	1.8096	2,2
Crem	Nfkb2	0.38718	37.33	0.328	rgb(221,154,155)	1.7275	2,2
Crem	Hmces	0.17518	32.31	0.31	rgb(220,158,158)	1.627	2,2
Crem	Kpna1	0.084138	31.01	0.026	rgb(217,212,212)	1.6009	2,2
Epas1	Ncr1	0.90835	50.34	0.337	rgb(221,153,153)	1.988	None
Epas1	Tex2	0.80232	48.22	0.222	rgb(219,175,175)	1.9455	None
Epas1	Dhx40	0.36267	37.01	0.006	rgb(217,216,216)	1.7211	2,2
Epas1	Traf3ip3	0.15545	33.01	0.164	rgb(219,186,186)	1.641	None
Epas1	Cd226	-0.14313	32	-3.2E-03	rgb(216,217,217)	1.6207	None
Foxo1	Stat3	0.83269	48.5	0.502	rgb(223,121,122)	1.9511	2,2
Foxo1	Cuedc2	-0.61106	43.15	-1.5E-01	rgb(184,197,223)	1.844	2,2
Foxo1	Crem	0.59878	42.44	0.437	rgb(222,134,134)	1.8298	2,2
Foxo1	Med13	0.022421	30.36	0.364	rgb(221,148,148)	1.5879	2,2
Kdm2b	Arhgap15	-0.92777	50.43	-4.3E-01	rgb(124,161,233)	1.9898	None
Kdm2b	Trf	0.80189	48.21	0.209	rgb(219,177,177)	1.9453	2,2
Kdm2b	Lyn	0.66368	44.36	0.36	rgb(221,148,149)	1.8682	2,2
Kdm2b	Stat3	0.52194	40.43	0.428	rgb(222,135,136)	1.7895	2,2
Kdm2b	Emb	0.45304	39.1	0.102	rgb(218,198,198)	1.7629	None
Kdm2b	Brd1	0.42792	38.31	0.314	rgb(220,157,158)	1.7471	2,2
Kdm2b	Ski	0.33646	35.41	0.413	rgb(222,138,139)	1.689	2,2
Kdm2b	Slc35e1	0.28883	35.29	0.289	rgb(220,162,162)	1.6866	2,2
Kdm2b	Slc16a10	0.095668	31.52	0.522	rgb(223,117,118)	1.6111	2,2
Nfil3	Mex3c	0.042692	30.21	0.272	rgb(220,165,166)	1.5849	2,2
Nfkb1	Paxbp1	0.91974	50.4	0.4	rgb(221,141,141)	1.9892	2,2
Nfkb1	Itk	0.90416	50.31	0.314	rgb(220,157,158)	1.9874	None
Nfkb1	Cish	0.82502	48.42	0.423	rgb(222,136,137)	1.9495	None
Nfkb1	Cuedc2	0.78244	47.36	0.36	rgb(221,148,149)	1.9283	None
Nfkb1	Cnnm2	0.76449	47.23	0.23	rgb(220,173,173)	1.9257	None
Nfkb1	St6galnac6	-0.69579	45.05	-5.0E-02	rgb(206,210,219)	1.8821	None
Nfkb1	Fryl	-0.41669	38.2	-2.0E-01	rgb(173,190,225)	1.7449	None
Nfkb1	Rora	0.3838	37.3	0.304	rgb(220,159,160)	1.7269	None
Nfkb1	Ppp3ca	0.18316	33.28	0.281	rgb(220,163,164)	1.6464	None
Nfkb1	Ell2	0.088906	31.42	0.418	rgb(222,137,138)	1.6091	2,2
Nfkb2	Ern1	0.9949	50.76	0.755	rgb(225, 73, 74)	1.9964	None
Nfkb2	Ppp3ca	-0.97546	50.62	-6.2E-01	rgb( 83,135,240)	1.9936	None
Nfkb2	Cnnm2	0.8715	49.47	0.47	rgb(222,127,128)	1.9706	None
Nfkb2	Serpine2	0.83727	48.65	0.652	rgb(224, 92, 94)	1.9541	None
Nfkb2	Emb	0.7326	46.3	0.297	rgb(220,160,161)	1.9071	None
Nfkb2	Nrp1	0.69078	45.25	0.245	rgb(220,170,171)	1.8861	None
Nfkb2	Itga4	-0.62398	43.32	-3.2E-01	rgb(147,175,229)	1.8474	None
Nfkb2	Cables1	0.6186	43.26	0.264	rgb(220,167,167)	1.8462	None
Nfkb2	Mapkapk3	0.59983	42.46	0.457	rgb(222,130,131)	1.8302	2,2
