TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Bcl6	Actn2	0.99907	50.85	0.848	rgb(226, 55, 57)	1.9982	None
Bcl6	Cers4	0.98482	50.67	0.669	rgb(224, 89, 91)	1.9946	None
Bcl6	Cxcl3	0.96856	50.59	0.586	rgb(223,105,106)	1.993	None
Bcl6	Wwtr1	0.96856	50.59	0.585	rgb(223,105,106)	1.993	None
Bcl6	Cmc2	0.95592	50.54	0.538	rgb(223,114,115)	1.992	None
Bcl6	Scrt1	0.93967	50.48	0.476	rgb(222,126,127)	1.9908	None
Bcl6	Xlr4a	0.93565	50.46	0.459	rgb(222,129,130)	1.9904	None
Bcl6	Gab3	0.93027	50.44	0.438	rgb(222,133,134)	1.99	None
Bcl6	Cap2	0.91536	50.38	0.378	rgb(221,145,145)	1.9888	None
Bcl6	Acvr2a	0.90746	50.33	0.332	rgb(221,153,154)	1.9878	None
Bcl6	Lrrn2	0.90489	50.32	0.32	rgb(221,156,157)	1.9876	None
Bcl6	Ppp1r16b	0.90416	50.31	0.307	rgb(220,158,159)	1.9874	None
Bcl6	Stx1a	0.90215	50.3	0.296	rgb(220,161,161)	1.9872	None
Bcl6	Plxdc2	-0.86315	49.42	-4.2E-01	rgb(127,162,233)	1.9696	None
Bcl6	Rgs9	0.86075	49.4	0.401	rgb(221,140,141)	1.9692	None
Bcl6	Nif3l1	0.85788	49.36	0.361	rgb(221,148,149)	1.9684	None
Bcl6	Gzmc	0.8493	49.29	0.288	rgb(220,162,163)	1.967	None
Bcl6	Susd2	0.84635	49.23	0.234	rgb(220,172,173)	1.9658	None
Bcl6	Pde4a	0.83648	48.62	0.619	rgb(224, 99,100)	1.9535	2,2
Bcl6	Lrrc20	0.81209	48.29	0.289	rgb(220,162,162)	1.9469	None
Bcl6	N6amt1	0.79844	47.56	0.559	rgb(223,110,111)	1.9323	None
Bcl6	Ltb4r1	0.77664	47.37	0.47	rgb(222,127,128)	1.9285	None
Bcl6	Slc38a1	-0.76267	47.2	-2.0E-01	rgb(174,191,225)	1.9251	None
Bcl6	Xkrx	-0.70204	45.37	-3.7E-01	rgb(137,168,231)	1.8885	None
Bcl6	Sgtb	0.68101	45	0.146	rgb(219,189,189)	1.8811	None
Bcl6	Cd226	0.66137	44.34	0.34	rgb(221,152,153)	1.8678	None
Bcl6	Pde4b	0.6462	44.12	0.121	rgb(218,194,194)	1.8634	None
Bcl6	Mpzl3	0.62485	43.33	0.334	rgb(221,153,154)	1.8476	None
Bcl6	Hspa1b	0.61745	43.25	0.254	rgb(220,169,169)	1.846	2,2
Bcl6	Kif13a	-0.57982	42.23	-2.3E-01	rgb(167,187,226)	1.8256	None
Bcl6	B3galt2	0.57795	42.2	0.273	rgb(220,165,165)	1.825	None
Bcl6	Gstcd	-0.53272	41.06	-6.0E-02	rgb(204,209,219)	1.8022	None
Bcl6	Arhgap27	0.51723	40.05	0.049	rgb(218,208,208)	1.7819	None
Bcl6	Frmd6	0.48501	39.19	0.188	rgb(219,181,181)	1.7647	None
Bcl6	Dgat1	-0.45763	39.17	-1.7E-01	rgb(180,194,224)	1.7643	None
Bcl6	Cables1	0.41569	38.19	0.192	rgb(219,180,181)	1.7447	None
Bcl6	Arrb1	0.41139	38.13	0.331	rgb(221,154,154)	1.7435	None
Bcl6	Lrrc49	-0.3045	35.13	-1.3E-01	rgb(188,199,222)	1.6834	None
Bcl6	Tex2	-0.30271	35.39	-3.9E-01	rgb(133,166,232)	1.6886	None
Bcl6	Pigl	-0.2637	35.01	-1.3E-02	rgb(214,215,218)	1.681	None
Bcl6	Hspa1a	0.25382	34.41	0.409	rgb(222,139,140)	1.669	2,2
Bcl6	Foxo1	0.25266	34.4	0.4	rgb(221,141,141)	1.6688	2,2
Bcl6	Nrgn	-0.25146	34.06	-6.1E-02	rgb(204,209,219)	1.662	None
Bcl6	Decr1	-0.2216	34.15	-1.5E-01	rgb(184,197,223)	1.6638	None
Bcl6	Irak2	-0.15545	33.01	-2.3E-02	rgb(212,214,218)	1.641	None
Bcl6	Ppm1k	0.050452	31.16	0.159	rgb(219,187,187)	1.6039	None
Bcl6	C4a	-0.028888	30.1	-1.0E-01	rgb(195,203,221)	1.5827	2,2
Batf3	Mapk10	0.98406	50.66	0.656	rgb(224, 92, 93)	1.9944	None
Batf3	Cables1	0.95347	50.53	0.533	rgb(223,115,116)	1.9918	None
Batf3	Ly86	0.95347	50.53	0.534	rgb(223,115,116)	1.9918	None
Batf3	Dnajc6	0.80453	48.25	0.249	rgb(220,170,170)	1.9461	None
Batf3	Fam167a	0.74886	46.48	0.478	rgb(222,126,127)	1.9107	2,2
Batf3	Mpzl3	0.24903	34.01	0.007	rgb(217,216,216)	1.661	None
Batf3	Gm4956	-0.20072	33.4	-4.0E-01	rgb(130,164,232)	1.6488	2,2
Batf3	Tg	0.085416	31.04	0.04	rgb(217,209,209)	1.6015	None
Batf3	Ppp1r16b	-0.058461	31.22	-2.2E-01	rgb(170,188,225)	1.6051	None
Epas1	Ncr1	0.90835	50.34	0.337	rgb(221,153,153)	1.988	None
Epas1	Aplp2	0.87477	49.5	0.501	rgb(223,121,122)	1.9712	2,2
Epas1	Riok1	0.84579	49.25	0.452	rgb(222,131,132)	1.9662	None
Epas1	Tex2	0.80232	48.22	0.222	rgb(219,175,175)	1.9455	None
Epas1	Cd226	-0.14313	32	-3.2E-03	rgb(216,217,217)	1.6207	None
Fiz1	Wipi2	0.82716	48.44	0.435	rgb(222,134,135)	1.9499	2,2
Fiz1	Poldip3	0.73637	46.34	0.402	rgb(221,140,141)	1.9079	2,2
Fiz1	Ip6k1	0.61912	42.46	0.462	rgb(222,129,130)	1.8302	2,2
Fiz1	Mettl15	-0.44434	38.47	-4.7E-01	rgb(116,155,235)	1.7503	2,2
Fiz1	Zfp768	0.42121	38.25	0.266	rgb(220,166,167)	1.7459	2,2
Foxa1	Cd82	0.99427	50.75	0.754	rgb(225, 73, 74)	1.9962	None
Foxa1	Klrk1	-0.98035	50.64	-6.4E-01	rgb( 79,133,241)	1.994	None
Foxa1	Birc2	0.971	50.6	0.602	rgb(224,102,103)	1.9932	2,2
Foxa1	Nfkb1	0.95737	50.54	0.543	rgb(223,113,114)	1.992	None
Foxa1	Cd200r1	0.94654	50.5	0.496	rgb(222,122,123)	1.9912	None
Foxa1	Akt3	0.944	50.49	0.494	rgb(222,123,124)	1.991	None
Foxa1	Auts2	0.92544	50.42	0.424	rgb(222,136,137)	1.9896	None
Foxa1	Pde1c	0.92431	50.42	0.423	rgb(222,136,137)	1.9896	None
Foxa1	Epas1	0.92205	50.41	0.41	rgb(222,139,139)	1.9894	None
Foxa1	Large	0.89662	50.25	0.248	rgb(220,170,170)	1.9862	None
Foxa1	Flnb	0.89367	50.21	0.215	rgb(219,176,176)	1.9854	None
Foxa1	Zhx1	0.89022	50.1	0.104	rgb(218,197,197)	1.9832	None
Foxa1	Nos2	-0.88841	50	-4.7E-03	rgb(216,216,217)	1.9812	None
Foxa1	Alcam	-0.8715	49.47	-4.7E-01	rgb(115,155,235)	1.9706	None
Foxa1	Lamc1	0.87075	49.47	0.471	rgb(222,127,128)	1.9706	None
Foxa1	Rsad2	0.86597	49.44	0.436	rgb(222,134,135)	1.97	None
Foxa1	Tgm2	0.85206	49.32	0.325	rgb(221,155,156)	1.9676	None
Foxa1	Megf9	0.84434	49.23	0.228	rgb(220,173,174)	1.9658	None
Foxa1	Il7r	0.84157	49.09	0.087	rgb(218,200,201)	1.963	None
Foxa1	Slc41a3	0.81441	48.36	0.357	rgb(221,149,150)	1.9483	None
Foxa1	Nif3l1	-0.7961	47.67	-6.7E-01	rgb( 73,129,242)	1.9345	None
Foxa1	Rora	0.78445	47.38	0.382	rgb(221,144,145)	1.9287	None
Foxa1	Pigl	0.76941	47.19	0.195	rgb(219,180,180)	1.9249	None
Foxa1	Smpdl3a	0.67583	44.5	0.496	rgb(222,122,123)	1.871	None
Foxa1	Myd88	-0.66999	44.26	-2.6E-01	rgb(159,182,227)	1.8662	2,2
Foxa1	Rai14	-0.66112	44.07	-1.0E-01	rgb(195,204,221)	1.8624	None
Foxa1	Ell2	0.6534	44.25	0.245	rgb(220,170,171)	1.866	2,2
Foxa1	Ip6k1	0.6132	42.39	0.388	rgb(221,143,144)	1.8288	None
Foxa1	Cnnm2	0.61039	43.14	0.135	rgb(218,191,191)	1.8438	None
Foxa1	Lonrf3	0.6076	42.33	0.334	rgb(221,153,154)	1.8276	None
Foxa1	Cd6	-0.60661	43.01	-3.6E-01	rgb(138,169,231)	1.8412	None
Foxa1	Kif13a	0.5967	42.18	0.18	rgb(219,183,183)	1.8246	None
Foxa1	Chst15	0.59328	42.1	0.102	rgb(218,197,198)	1.823	None
Foxa1	B3galt2	0.59171	42.36	0.356	rgb(221,149,150)	1.8282	None
Foxa1	Cd226	0.56762	41.27	0.27	rgb(220,166,166)	1.8064	None
Foxa1	Pde7b	0.53535	41.14	0.137	rgb(219,191,191)	1.8038	None
Foxa1	Capn3	0.49861	40.19	0.19	rgb(219,181,181)	1.7847	None
Foxa1	Tex2	0.49813	39.33	0.326	rgb(221,155,155)	1.7675	None
Foxa1	Ly86	-0.39148	37.01	-1.4E-02	rgb(214,215,218)	1.7211	None
Foxa1	Irak2	0.37549	37.23	0.234	rgb(220,172,173)	1.7255	None
Foxa1	Cers4	0.35263	36.15	0.152	rgb(219,188,188)	1.7038	None
Foxa1	Znrf2	-0.32259	36.16	-3.2E-01	rgb(147,174,229)	1.704	None
Foxa1	Decr1	-0.25558	34.13	-1.3E-01	rgb(189,200,222)	1.6634	None
Foxa1	Plxdc2	0.16874	33.18	0.183	rgb(219,182,182)	1.6444	None
Foxa1	Klhl6	-0.16151	33.1	-9.9E-02	rgb(195,204,221)	1.6428	2,2
Foxo1	Stat3	0.83269	48.5	0.502	rgb(223,121,122)	1.9511	2,2
Foxo1	Tmem39a	0.39849	37.16	0.162	rgb(219,186,186)	1.7241	2,2
Hey1	Dnajc6	0.98249	50.65	0.651	rgb(224, 93, 94)	1.9942	None
Hey1	Cpd	0.9634	50.57	0.571	rgb(223,108,109)	1.9926	None
Hey1	Ryk	0.95737	50.54	0.54	rgb(223,114,115)	1.992	None
Hey1	Sel1l3	0.95592	50.54	0.543	rgb(223,113,114)	1.992	None
Hey1	Auts2	0.94899	50.51	0.505	rgb(223,121,122)	1.9914	None
Hey1	Nr1d1	0.93027	50.44	0.44	rgb(222,133,134)	1.99	None
Hey1	Rbm24	0.92544	50.42	0.419	rgb(222,137,138)	1.9896	None
Hey1	Myd88	0.88403	49.59	0.585	rgb(223,105,106)	1.973	None
Hey1	Lonrf3	0.69115	44.52	0.515	rgb(223,119,120)	1.8714	None
Hey1	Mb21d1	-0.57608	42.18	-1.8E-01	rgb(178,193,224)	1.8246	2,2
Hey1	Cwc25	0.50742	40.3	0.298	rgb(220,160,161)	1.7869	2,2
Hey1	C4a	0.40865	37.27	0.269	rgb(220,166,166)	1.7263	2,2
Hey1	Oasl2	0.35904	36.22	0.216	rgb(219,176,176)	1.7052	2,2
Jund	Jun	0.99243	50.73	0.733	rgb(225, 77, 78)	1.9958	2,2
Jun	Megf9	0.99084	50.71	0.71	rgb(225, 81, 83)	1.9954	None
Jun	Plekhf1	0.95977	50.55	0.546	rgb(223,113,114)	1.9922	None
Junb	Lonrf3	0.94899	50.51	0.513	rgb(223,119,120)	1.9914	None
Jun	Egln3	0.94654	50.5	0.502	rgb(223,121,122)	1.9912	None
Jun	Capn3	0.94522	50.5	0.5	rgb(223,121,122)	1.9912	None
Jun	Tdrd9	0.92901	50.44	0.436	rgb(222,134,135)	1.99	None
Junb	Ramp1	0.92777	50.43	0.426	rgb(222,136,136)	1.9898	None
Jun	Nr1d1	0.91536	50.38	0.377	rgb(221,145,146)	1.9888	None
Jun	St3gal3	0.91342	50.37	0.37	rgb(221,146,147)	1.9886	None
Junb	Serpina3f	-0.89854	50.27	-3.1E-01	rgb(149,176,229)	1.9866	None
Jun	Tmem39a	0.89399	50.21	0.213	rgb(219,176,177)	1.9854	None
Jun	Mgat4a	0.86396	49.41	0.414	rgb(222,138,139)	1.9694	None
Junb	Arhgap27	0.85206	49.32	0.32	rgb(221,156,157)	1.9676	None
Jun	Cap2	0.8438	49.22	0.223	rgb(219,174,175)	1.9656	None
Jun	Slc6a7	0.83987	49.13	0.132	rgb(218,192,192)	1.9638	None
Junb	Cd82	0.82294	48.4	0.432	rgb(222,134,135)	1.9491	None
Jun	Clasp2	0.81033	48.27	0.269	rgb(220,166,166)	1.9465	None
Junb	Itgav	0.80175	48.04	0.039	rgb(217,210,210)	1.9419	None
Junb	Ell2	0.79863	48.13	0.357	rgb(221,149,150)	1.9437	None
Jun	Emb	-0.79123	47.53	-5.3E-01	rgb(102,147,237)	1.9317	None
Junb	Tmem39a	-0.78743	47.41	-4.1E-01	rgb(128,163,233)	1.9293	None
Junb	Mgat4a	-0.77364	47.26	-2.6E-01	rgb(160,182,227)	1.9263	None
Junb	Emb	0.7728	47.25	0.25	rgb(220,169,170)	1.9261	None
Junb	Gls2	0.75365	46.44	0.438	rgb(222,133,134)	1.9099	None
Junb	Lpar1	-0.71655	45.54	-5.4E-01	rgb( 99,145,238)	1.8919	None
Junb	Mapk10	-0.70704	45.29	-2.9E-01	rgb(154,179,228)	1.8869	None
Junb	Mtif2	-0.70525	45.27	-2.7E-01	rgb(157,181,227)	1.8865	2,2
Junb	Mpzl3	0.69882	45.16	0.16	rgb(219,187,187)	1.8843	None
Junb	Alcam	-0.67996	44.38	-3.8E-01	rgb(135,167,231)	1.8686	None
Junb	Serpine2	-0.67451	44.43	-4.3E-01	rgb(123,160,233)	1.8696	None
Junb	Frmd6	0.66209	44.11	0.11	rgb(218,196,196)	1.8632	None
Junb	Dpy19l3	0.66137	44.34	0.336	rgb(221,153,154)	1.8678	None
Jun	Ell2	-0.66112	44.07	-2.6E-01	rgb(162,183,227)	1.8624	None
Jun	Frmd6	-0.6505	44.21	-2.1E-01	rgb(171,189,225)	1.8652	None
Junb	Slc16a10	-0.64352	44.01	-1.5E-02	rgb(214,215,218)	1.8612	None
Jun	Mapk10	0.64174	43.34	0.341	rgb(221,152,152)	1.8478	None
Jun	Flnb	-0.63936	43.51	-5.1E-01	rgb(105,149,237)	1.8512	None
Jun	Hspa1b	0.61106	43.15	0.153	rgb(219,188,188)	1.844	2,2
Junb	Large	-0.60305	42.28	-2.8E-01	rgb(157,181,227)	1.8266	None
Jun	Serpine2	0.58621	42.31	0.312	rgb(220,157,158)	1.8272	None
Jun	Pde4b	0.57186	41.32	0.316	rgb(220,157,157)	1.8074	None
Jun	Irak2	0.57019	41.3	0.301	rgb(220,160,160)	1.807	None
Jun	Lamc1	-0.56549	41.24	-2.5E-01	rgb(163,184,226)	1.8058	None
Jun	Rgs9	-0.55012	41.33	-3.3E-01	rgb(145,173,230)	1.8076	None
Jund	Fam71a	0.528	40.25	0.362	rgb(221,148,149)	1.7859	2,2
Junb	Fam184b	-0.52607	40.22	-2.2E-01	rgb(169,188,225)	1.7853	None
Jun	Slc16a10	-0.52038	40.13	-3.0E-01	rgb(152,177,228)	1.7835	None
Junb	Mapkapk3	0.4972	39.32	0.319	rgb(221,156,157)	1.7673	None
Jun	Nmnat3	0.4529	39.09	0.092	rgb(218,200,200)	1.7627	None
Junb	Krt18	0.44547	38.23	0.229	rgb(220,173,174)	1.7455	2,2
Junb	Myd88	-0.4448	38.22	-2.2E-01	rgb(169,188,225)	1.7453	2,2
Jund	Hspa1b	0.43735	38.11	0.11	rgb(218,196,196)	1.7431	2,2
Jun	Cnnm2	0.43585	38.07	0.074	rgb(218,203,203)	1.7423	None
Junb	Arrb1	0.42121	38.25	0.246	rgb(220,170,171)	1.7459	None
Jun	Dpy19l3	0.4062	37.25	0.252	rgb(220,169,169)	1.7259	None
Jun	Mpzl3	0.39746	37.14	0.139	rgb(219,190,191)	1.7237	None
Junb	Gm4944	-0.39559	37.11	-1.1E-01	rgb(193,202,221)	1.7231	2,2
Jun	Lpar1	0.37206	36.33	0.333	rgb(221,153,154)	1.7074	None
Junb	Mettl15	-0.33782	35.42	-4.2E-01	rgb(125,161,233)	1.6892	2,2
Jund	Rnf40	0.31854	35.27	0.274	rgb(220,165,165)	1.6862	2,2
Junb	Ppp1r16b	0.31597	35.25	0.251	rgb(220,169,170)	1.6858	None
Junb	Plekhf1	-0.29022	34.43	-4.3E-01	rgb(124,160,233)	1.6694	2,2
Jun	Tex2	-0.27953	35.22	-2.2E-01	rgb(169,188,225)	1.6852	None
Jun	Pde7b	0.27124	35.13	0.129	rgb(218,192,193)	1.6834	None
Jund	Tyms	-0.26097	34.19	-2.7E-01	rgb(158,181,227)	1.6646	2,2
Junb	Foxa1	0.25486	34.12	0.119	rgb(218,194,195)	1.6632	None
Jund	Hspa1a	-0.25347	34.1	-1.0E-01	rgb(195,203,221)	1.6628	2,2
Junb	Nbea	-0.22675	34.2	-4.0E-01	rgb(131,164,232)	1.6648	None
Junb	Mcat	-0.21907	33.27	-2.7E-01	rgb(158,181,227)	1.6462	None
Junb	Hgsnat	0.21401	33.23	0.232	rgb(220,173,173)	1.6454	2,2
Junb	Cap2	-0.19805	33.02	-2.5E-02	rgb(212,214,218)	1.6412	None
Junb	Wdfy2	0.19026	32.43	0.431	rgb(222,135,135)	1.6294	2,2
Junb	Aldh16a1	0.16306	32.23	0.228	rgb(220,173,174)	1.6254	2,2
Junb	Jun	0.1112	32.17	0.173	rgb(219,184,184)	1.6241	2,2
Jun	Auts2	-0.039529	31.05	-5.1E-02	rgb(206,210,219)	1.6017	None
Nfkb1	C2	0.99972	50.9	0.898	rgb(227, 45, 47)	1.9992	None
Nfkb1	Apaf1	0.99084	50.71	0.712	rgb(225, 81, 82)	1.9954	None
Nfkb1	Tgm2	0.98665	50.68	0.681	rgb(224, 87, 88)	1.9948	None
Nfkb1	Hpgds	0.93183	50.45	0.45	rgb(222,131,132)	1.9902	None
Nfkb1	Cnnm2	0.76449	47.23	0.23	rgb(220,173,173)	1.9257	None
Nfkb1	Ltb4r1	0.69137	45.26	0.256	rgb(220,168,169)	1.8863	None
Nfkb1	Tmppe	0.60823	43.07	0.072	rgb(218,203,203)	1.8424	None
Nfkb1	Susd2	0.57745	41.38	0.377	rgb(221,145,146)	1.8086	None
Nfkb1	Tbc1d10a	0.49302	40.09	0.086	rgb(218,200,201)	1.7827	None
Nfkb1	Rora	0.3838	37.3	0.304	rgb(220,159,160)	1.7269	None
Nfkb1	Il7r	0.29966	35.05	0.051	rgb(218,207,207)	1.6818	None
Nfkb1	Dpy19l3	0.25452	34.11	0.108	rgb(218,196,197)	1.663	None
Nfkb1	Ell2	0.088906	31.42	0.418	rgb(222,137,138)	1.6091	2,2
Nfkb2	Ern1	0.9949	50.76	0.755	rgb(225, 73, 74)	1.9964	None
Nfkb2	Pde4dip	0.95347	50.53	0.535	rgb(223,115,116)	1.9918	None
Nfkb2	Cnnm2	0.8715	49.47	0.47	rgb(222,127,128)	1.9706	None
Nfkb2	Serpine2	0.83727	48.65	0.652	rgb(224, 92, 94)	1.9541	None
Nfkb2	Alcam	0.81784	48.35	0.346	rgb(221,151,152)	1.9481	None
Nfkb2	Laptm4b	-0.80486	48.18	-1.8E-01	rgb(179,194,224)	1.9447	None
Nfkb2	Rsad2	-0.79321	47.48	-4.8E-01	rgb(112,153,235)	1.9307	None
Nfkb2	Tgm2	0.7862	47.47	0.474	rgb(222,127,127)	1.9305	None
Nfkb2	Foxa1	0.73337	46.31	0.307	rgb(220,158,159)	1.9073	None
Nfkb2	Emb	0.7326	46.3	0.297	rgb(220,160,161)	1.9071	None
Nfkb2	Wipi1	-0.68158	45.02	-2.4E-02	rgb(212,214,218)	1.8815	None
Nfkb2	Pdcd1	0.65936	44.32	0.316	rgb(220,157,157)	1.8674	None
Nfkb2	Tbc1d10a	0.64462	44.05	0.049	rgb(218,208,208)	1.862	None
Nfkb2	Aplp2	0.63853	43.5	0.505	rgb(223,121,122)	1.851	None
Nfkb2	Baiap2	0.62736	43.36	0.359	rgb(221,148,149)	1.8482	None
Nfkb2	Cables1	0.6186	43.26	0.264	rgb(220,167,167)	1.8462	None
Nfkb2	Mapkapk3	0.59983	42.46	0.457	rgb(222,130,131)	1.8302	2,2
Nfkb2	Slc38a1	0.59606	42.17	0.171	rgb(219,184,185)	1.8244	None
Nfkb2	Birc2	0.48411	39.18	0.183	rgb(219,182,182)	1.7645	None
Nfkb2	Dgat1	0.39043	37.36	0.357	rgb(221,149,150)	1.7281	2,2
Nfkb2	Smpdl3a	-0.38286	36.42	-4.2E-01	rgb(126,162,233)	1.7093	2,2
Nfkb2	Fam184b	0.3242	36.18	0.178	rgb(219,183,183)	1.7044	None
Nfkb2	Slc6a13	-0.30941	35.19	-1.9E-01	rgb(176,192,224)	1.6846	None
Nfkb2	Enpp5	-0.22057	33.28	-2.8E-01	rgb(157,181,227)	1.6464	2,2
Nfkb2	Cd226	-0.086476	31.06	-5.5E-02	rgb(205,210,219)	1.6019	None
Nr1d1	Gpr157	0.99677	50.78	0.777	rgb(226, 69, 70)	1.9968	None
Nr1d1	Pram1	0.99617	50.77	0.77	rgb(225, 70, 71)	1.9966	None
Nr1d1	Plxdc2	0.98249	50.65	0.652	rgb(224, 92, 94)	1.9942	None
Nr1d1	Wwtr1	0.95041	50.52	0.519	rgb(223,118,119)	1.9916	None
Nr1d1	Pigl	0.92777	50.43	0.434	rgb(222,134,135)	1.9898	None
Nr1d1	Ryk	0.92431	50.42	0.415	rgb(222,138,139)	1.9896	None
Nr1d1	Chst15	0.92075	50.4	0.41	rgb(222,139,139)	1.9892	None
Nr1d1	Ltb4r1	0.91144	50.36	0.363	rgb(221,148,148)	1.9884	None
Nr1d1	Il7r	0.90354	50.31	0.309	rgb(220,158,159)	1.9874	None
Nr1d1	Aatk	-0.88951	50.09	-8.9E-02	rgb(198,205,220)	1.983	None
Nr1d1	Nrgn	0.87817	49.53	0.535	rgb(223,115,116)	1.9718	None
Nr1d1	Xkrx	0.85594	49.34	0.336	rgb(221,153,154)	1.968	None
Nr1d1	Xlr4a	0.84495	49.2	0.328	rgb(221,154,155)	1.9652	None
Nr1d1	C2	0.83012	48.47	0.471	rgb(222,127,128)	1.9505	None
Nr1d1	Ccdc6	-0.81538	48.37	-3.7E-01	rgb(137,168,231)	1.9485	None
Nr1d1	Capn3	0.8127	48.34	0.34	rgb(221,152,153)	1.9479	None
Nr1d1	Kif13a	0.81033	48.27	0.381	rgb(221,144,145)	1.9465	None
Nr1d1	Slc41a3	0.75224	46.52	0.521	rgb(223,118,119)	1.9115	None
Nr1d1	Frmd6	0.735	46.2	0.201	rgb(219,179,179)	1.9051	None
Nr1d1	Lonrf3	0.72639	46.22	0.224	rgb(219,174,175)	1.9055	None
Nr1d1	Decr1	0.7095	45.32	0.325	rgb(221,155,156)	1.8875	None
Nr1d1	Tifa	0.69721	45.1	0.101	rgb(218,198,198)	1.8831	None
Nr1d1	Cd226	0.67727	44.35	0.35	rgb(221,150,151)	1.868	None
Nr1d1	Lrrn2	0.65572	44.28	0.276	rgb(220,164,165)	1.8666	None
Nr1d1	Rora	0.61293	43.19	0.187	rgb(219,181,182)	1.8448	None
Nr1d1	Ppm1k	0.60305	42.28	0.276	rgb(220,164,165)	1.8266	None
Nr1d1	Sel1l3	0.54163	41.23	0.227	rgb(219,174,174)	1.8056	None
Nr1d1	Cnnm2	0.51885	40.1	0.097	rgb(218,198,199)	1.7829	None
Nr1d1	Rpl13a	-0.48571	39.2	-3.9E-01	rgb(133,166,232)	1.7649	None
Nr1d1	Large	0.47967	39.09	0.091	rgb(218,200,200)	1.7627	None
Nr1d1	Ly86	0.44547	38.23	0.226	rgb(219,174,174)	1.7455	None
