	Atf3	Batf3	Bcl6	Crem	Dmrta1	Dot1l	E2f3	Epas1	Fiz1	Foxa1	Foxo1	Hey1	Hoxa5	Ikzf2	Jun	Junb	Jund	Mycn	Nfkb1	Nfkb2	Nr1d1	Plagl2	Rora	Scrt1	Skil	Stat3	Thap3	Zbtb37	Zfp110	Zfp341	Zfp608	Zfp709	Zfp712	Zfp768	Zhx1	Znf512b
0610010K14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.57745	0	0	0	0	0	0	0	-0.012932	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2700089E24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31097	0	0	0	0	0
A930001A20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.11539
Aatk	-0.39182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.88951	0	0	0	0	0	0	0	0.30541	0	0	0	0	0	0	0
Actn2	0	0	0.99907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18951	0	0	0	0	0	0	0	0	-0.51969	0	-0.37942	0	0
Acvr1	0	0	0.94899	0	0	0	0	0	0	0	0	0	0	0.13598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.54974
Acvr2a	0	0	0.90746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91672	0	0	0	0	0	0	0	0	0	0	0	0	0
Adam12	0.67451	0	-0.36797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91536	0	0.95041	0	0	0	0	0	0	0	0	0	0	0	0	0
Adck3	0	0	0	0	0	0	0	0	0	0.79844	0	0	0	0.27169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aff4	0	0	0	0	0	0	0	0	0	0.89433	0	0	0	0	0	0	0	0	0	0	0.54388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ago2	0	0	0	0	0	0.76368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94246	0	0	0	0.74464	0	0	0	0	0	0	0	0	0	0
Aifm2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013509	0	0	0	0	0	0	0	0	0
Akt3	0	0	0	0	0	0	0	0	0	0.944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcam	0	0	0	0	0	0	0	0	0	-0.8715	0	0	0.69882	0	0	-0.67996	0	0	0	0.81784	0	0	0	0.83529	0	0	0	0	0	0	0	0	0	0	0	0
Aldh16a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amz2	0	0	0	0	0	0	0	0	0	0.81209	0	0	0	0	0	0	0	0	-0.8467	0.77155	0.42121	0	0.8337	0	0	0	0	0	0	0	0	0	0	0	0	0
Ang	0	0	0	0	0	0	0	0	0	0.68816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ank	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.46538	0	0	0	0
Apaf1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aplp2	0	0	0	0	0	0	0	0.87477	0	0	0	0	0	0	0	0	0	0	0	0.63853	0	0.23122	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aptx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.16756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap27	0	0	0.51723	0	0	0	0	0	0	0	0	0	0	0	0	0.85206	0	0	0	0	0	0	-0.61	0	0	0	0	0	0	0	0	0	0	0	0	0
Arrb1	0	0	0.41139	0	0	0	0	0	0	0	0	0	0	0	0	0.42121	0	0	0	0	0	0	0.7137	0.74543	0	0	0	0	0	0	0	0	0	0	0	0
Asphd2	0.97217	0	-0.6256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atf3	0	0.93183	0.72376	0.89009	0	0	0	0	0	0	0	0	0	0	0.99427	0	0.80369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atg13	0	0	0	0	0	0	0	0	0.56619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34006	0	0	0	0	0	0	0	0	0	0
Atp2b4	0	0	0	0	0	0	0	0	0	-0.047414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atrnl1	0.84028	0.6127	0	0	0	0	0	0	0	0.90835	0	0	0	0	-0.60273	0	0	0	0	0	0.73607	0	0.90746	0	0	0	0	0	0	0	0	0	0	0	0	0
Atxn1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.053443	0	0	0	0	0	0	0	-0.2158	0	0	0	0	0	0	0	0	0	0	0	0	0
Auts2	0	0	0	0	0	0	0	0	0	0.92544	0	0.94899	0	0	-0.039529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3galt2	0	0	0.57795	0	0	0	0	0	0	0.59171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Baiap2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Batf3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91342	0	0	0	0	0	0.7649	0	0	0	0	0	0	0
Bcr	0.84883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bet1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.87007
Bik	0	0	-0.77047	0	0	0	0	0	0	0	0	0	0	0	-0.048146	0	0	0	0	0	0.92075	0	0.77554	0	0	0	0	0	0	0	0	0	0	0	0	0
Birc2	0	0	0	0	0	0	0	0	0	0.971	0	0	0	0	0	0	0	0	0	0.48411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bmi1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.097569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99972	0	0.83012	0	0.99846	0	0	0	0	0	0	0	0	0	0	0	0	0
C4a	0	0	-0.028888	0	0	0	0	0	0	0	0	0.40865	0	0	0	0	0	0	0	0	0	0	0.75436	0	0	0	0	0	0	0	0	0	0	0	0	0
C920025E04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16268	0	0	0	0	0	0	0	0	0	0	0	0
Cables1	0	0.95347	0.41569	0	0	0	0	0	0	0	0	0	0.89121	0	0	0	0	0	0	0.6186	-0.27831	0	0	0	0	0	0	0	0.68573	0	0	0	0	0	0	0
Cad	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.34581	0	0	0	0	0	0	0	0	0	0	0	0	0
Cap2	0	0	0.91536	0	0	0	0	0	0	0	0	0	0	0	0.8438	-0.19805	0	0	0	0	0	0	0	0	0	0	0	0	0.96619	0	0	0	0	0	0	0
Capn3	0	0	0	0	0	0	0	0	0	0.49861	0	0	0	0	0.94522	0	0	0	0	0	0.8127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Card10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.92205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Casp1	0	0	0	0	0	0	-0.479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Casp6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19854	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.078046	0	0	-0.81538	0	-0.90489	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccnd2	0	0	0	0	0	0	0	0	0	0	0	0	-0.50696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccng2	0	0	0	0	0.40597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.55586	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd200r1	0	0	0	0	0	0	0	0	0	0.94654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd226	0	0	0.66137	0	0	0	0	-0.14313	0	0.56762	0	0	0	0	0	0	0	0	0	-0.086476	0.67727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd48	0	0	0	0	0	0	0	0	0	-0.97217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13127	0	0	0
Cd6	0	0	0	0	0	0	0	0	0	-0.60661	0	0	0	0	0	0	0	0	0	0	0	0	-0.56762	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd69	0	0	0.86208	0	0	0	0	0	-0.45678	0	0	0	0	0	0	0	0	0	0	0	-0.64364	0	0.52222	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd82	0.46602	0	0	0	0	0	0	0	0	0.99427	0	0	0	0	0	0.82294	0	0	0	0	0	0	0	0	0	0	0	0	-0.51622	0	0	0	0	0	0	0
Cd83	0.97445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11309	0	0	0	0	0	0	0
Cdpf1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.98249	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cenpl	0	0	0	0.7308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.23543	0	0	0
Cers4	0	0	0.98482	0	0	0	0	0	0	0.35263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chst11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10263	0	0	0	0	0	0	0	0.43439	0	0	0	0	0	-0.71843	0	0	0	0	0	0	0
Chst15	0	0	0	0	0	0	0	0	0	0.59328	0	0	0	0	0	0	0	0	0	0	0.92075	0	0.27269	0	0	0	0	0	0	0	0	0	0	0	0	0
Cish	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clasp2	0	0	0	0	0	0	0.39508	0	0	0	0	0	0.84237	0	0.81033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clec2d	0	0	0	0	0	0	0	0	0	-0.7326	0	0	0	0	0	0	0	0	0	0	0	0	-0.95737	0	0	0	0	0	0	0	0	0	0	0	0	0
Cmc2	0	0	0.95592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cmpk2	0	0	0	0	0	0	0	0	0	-0.16039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnn3	0.086476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnnm2	0	0	0	0	0	0	0	0	0	0.61039	0	0	0	0	0.43585	0	0	0	0.76449	0.8715	0.51885	0	0	0	0	0	0	0	0.087208	0	0	0	0	0	0	0
Cobll1	0	0	0.27652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cog5	0	-0.41083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Col4a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Colgalt2	0.93439	0	0.66424	0	0	0	0	0	0	0.41399	0	0	0	0	-0.5914	0	0	0	0	0	0	0	0.92901	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpd	0	0	0	0	0	0	0	0	0	0	0	0.9634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.8722	0	0	0	0	0	0	0	0	0
Crem	0	0	0	0	0	0	0	0	0	0	0.59878	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96102	0.36739	0	0	0	0	0	0	0	0	0	0
Crispld2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1577	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryaa	0.98249	0.9015	0.35682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cul5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.46289	0	0	0	0	0	0	0
Cwc25	0	0	0	0	0	0.26462	0	0	0	0	0	0.50742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxcl3	0	0	0.96856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cxcr5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66137	0	0	0	0	0	0	0	0	0	0	0	0	0
D030028A08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57745
Dclre1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57083	0	0	0	0.24007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ddx6	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Decr1	0	0	-0.2216	0	0	0	0	0	0	-0.25558	0	0	0	0	0	0	0	0	0	0	0.7095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dgat1	0.89216	0	-0.45763	0	0	0	0	0	0	0	0	0	0.92431	0	0	0	0	0	0	0.39043	0	0	-0.49081	0	0	0	0	0	0	0	0	0	0	0	0	0
Dlgap4	0	0	0.13674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnajb14	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.64529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnajc6	0	0.80453	0	0	0	0	0	0	0	0	0	0.98249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33355	0	0	0	0	0	0	0
Dot1l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3167	0	0	0	0	0	0	0	0	0	0	0	-0.31854	-0.66719	0	0	0
Dpy19l3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4062	0.66137	0	0	0.25452	0	-0.31715	0	0.85735	0	0	0	0	0	0.32195	0	0	0	0	0	0	0
Dsel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32671	0	0	0	0	0	0	0	0	0	0	0	0	0
Dus2	0	0	0	0	0	0	0	0	0	-0.93838	0	0	0	0	0	0.50742	0	0	0	-0.39776	0.14668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2f3	0	0.6256	-0.8079	0	0	0	0	0	0	0	0	0	0	0	0.13504	-0.7442	0	0.18721	0	0	0.93183	0	0	0	0	0	0	0	0.4972	0	0	0	0	0	0	0
Eef2k	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84709	0	0	0	0	0	0	0	0	0	0	0	0	0
Egln3	0.99846	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ell2	0	0	0	0.56089	0	0	0	0	0	0.6534	0	0	0	0	-0.66112	0.79863	0	0	0.088906	0	0	0	0	0	0.82347	0	0	0	0	0	0	0	0	0	0	0
Elovl1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.68864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elovl7	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.64296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.79123	0.7728	0	0	0	0.7326	0	0	0.96469	0	0	0	0	0	0	0	0	0	0	0	0	0
Enc1	0	0	0.46195	0	0	0	0	0	0	-0.70355	0	0	0	-0.48626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
