	Bcl6	Bhlhe40	Crem	Dot1l	Epas1	Foxo1	Hey1	Hivep1	Jun	Junb	Jund	Kdm2b	Klf2	Klf6	Lin54	Nfkb1	Nfkb2	Nr3c1	Nr4a2	Purb	Rora	Skil	Stat3
Abcb1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2933	0	0	0	0	0	0.80531	0	0
Abcb1b	0	0	0	0	0	0	0	0.76973	0	0.75365	0	0	0	0	0	0	0	0	0	0	-0.94246	0	0
Aff1	0	0	0	0	0	0	0	0.63266	0	0	0	0	0	0	0	0	0	0	0.77664	0	0	0	0
Aff4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34785	-0.22844	0	0	0	0
Ago2	0	0	0	0.76368	0	0	0	0	0	0	0	0.17225	0	0	0.70485	0	0	0	0.18637	0	0	0	0.74464
Aplp2	0	0	0	0	0.87477	0	0	0	0	0	0	0	0	0	0	0	0.63853	0	0	0	0	0	0
Arap2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.086476	0	0
Arhgap31	0.61462	0	0	0	0	0	0	0	0	0.95592	0	0	0	0	0	0	0	0	0	0	0.65936	0	0
Arhgap9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.29822	0	0	0	0
Arrb1	0.41139	0	0	0	0	0	0	0	0	0.42121	0	0	0	0	0	0	0	0	0	0	0.7137	0	0
Atxn7	0.059255	0	0	0	0	0	0	0	-0.39043	0.81784	0	0	0	0	0	0	0	0	0	0	0.41359	0	0
Baiap2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62736	0	0.86597	0	0	0	0
Baz1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.83529	0	0	0	0	0	0	0	0
Bhlhe40	0.53507	0	0	0	0	0	0	0	0	0.36161	0.5727	0	0	0	0	0	0	0	0	0	0	0.96619	0
Birc2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48411	0	0.39182	0	0	0	0
C330018D20Rik	0	0	0	0	0	0	0	0	0	0	0	-0.98724	0	0	0	0	0	0	0	0	0	0	0
Cables1	0.41569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6186	0	0	0	0	0	0
Cblb	0.8541	0	0	0	0	0	0	0	0	0	0	0	0.17164	0	0	0	-0.28755	0	0	0	0	0	0
Ccng2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.55586	0	0
Cd164	0	0.30656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd226	0.66137	0	0	0	-0.14313	0	0	0	0	0	0	0	0	0	0	0	-0.086476	0	0	0	0	0	0
Cd69	0.86208	0	0	0	0	0	0	0.98327	0	0	0	0	0	0.64405	0	0	0	0	0	0	0.52222	0	0
Cd83	0	0.80056	0	0	0	0	0	0.72585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdkn1a	0	0	0.9935	0.8541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdkn2aipnl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.095668	0	0	0	0	0	0	0	0
Cenpl	0	0	0.7308	0	0	0	0	0.67117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chd7	0	0	0	0	0	0	0	0.64081	0	0	0	0	0.12359	0	0	0	0	0	0.61491	0	0	0	0
Cish	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82502	0	0	0	0	0	0	0
Clcn3	0	0	0	0	0	0	0	0	0	-0.60544	0	0	0	0	0	0	0	0	0	0	0.96856	0	0
Clec2d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.95737	0	0
Cnnm2	0	0	0	0	0	0	0	0	0.43585	0	0	0	0	0	0	0.76449	0.8715	0	0	0	0	0	0
Crem	0	0	0	0	0	0.59878	0	0	0	0	0	0	0	0	0.59171	0	0	0	0	0	0	0.96102	0.36739
Cwc25	0	0	0	0.26462	0	0	0.50742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dennd4a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9058	0	0	0	0	0	0	0	0
Dgat1	-0.45763	0.071798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39043	0	0	0	-0.49081	0	0
Dhx40	0	0	0	0	0.36267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11633	0	0
Dot1l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3167	0	0	0	0	0	0
Dusp1	0	0	0	0	0	0	0	0	0.96737	0.80964	0	0	0	0.761	0	0	0	0	0	0	0	0	0
Eef2k	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84709	0	0
Ell2	0	0	0.56089	0	0	0	0	0	-0.66112	0.79863	0	0	0	0	0.39182	0.088906	0	0.76239	0	0	0	0.82347	0
Elovl5	0	0	0	0	0	0	0	0	0	0	0	0.45763	0	0	0	0	0	0	0	0	0.64902	0	0
Emb	0	0	0	0	0	0	0	0	-0.79123	0.7728	0	0.45304	0	0	0	0	0.7326	0	0	0	0.96469	0	0
Emd	0	0	0.73316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37172	0
Epas1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7792	0
Eprs	0	0	0	0.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92431	0	0
Ern1	0	0	0	0.65935	0	0	0	0	0	0	0	0	0	0.47387	0.8337	0	0.9949	0	0	0	0	0	0
Fam117b	0	0	0	0	0	0	0	0	0	0.41303	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam189b	0	0	0	0	0	0	0	0	0	0	0	-0.53658	0	0	0	0	0	0	0	0	0	0	0
Flna	0	0	0	0	0	0	0	0	0	0.66719	0	0	0	0	0	0	0	0	0	0	0	0	0
Flnb	0	0	0	0	0	0	0	0	-0.63936	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Foxo1	0.25266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75436
Fryl	0.22675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.41669	0	0	0	0	0	0	0
Furin	0	0	0	0	0	0	0	0	0	0.6186	0	0	0	0	0	0.9027	0.97325	0	0	0	0	0	0
Gcnt2	0.82194	0	0	0	0	0	0	0	0.82819	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gimap6	0	0	0	0	0.7711	0	0	-0.20072	0	0	0	0	0.060128	0	0	0	0	0	0.9634	0	0	0	0
Gimap7	0	0	0	0	0.85888	-0.1857	0	-0.1469	0	0	0	0	0	0	0	0	0	0	0.88218	0	0	0	0
Gls2	0	0	0	0	0	0	0	0	0	0.75365	0	0	0	0	0	0	0	0	0	0	0.22392	0.05469	0
Gna13	0	0	0.88724	0	0	0	0	0.61656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gpr132	0	0.74464	0	0.20199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gzmb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99846	0	0	0	0
Gzmc	0.8493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.3838	0	0
Hivep1	0	0	0	0	0	0	0	0.71505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hk2	0	0	0	0	0	0	0.7792	0	0.81686	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hmces	0	0	0.17518	0	0	0	0	0	0	0	0	0	0	0	0.82194	0	0	0	0.8595	0	0	0.14313	0
Hspa1a	0.25382	0	0	0	0	0	0	0	0	0	-0.25347	0	0	0	0	0	0	0	0	0	0	0	0
Hspa1b	0.61745	0	0	0	0	0	0	0	0.61106	0	0.43735	0	0	0	0	0	0	0	0	0	0	0	0
Hspa4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77315	0	0	0	0	0	0	0
Il17a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.022951	0	0
