	Bcl6	Epas1	Foxo1	Hey1	Klf2	Nfkb1	Nfkb2	Nr1d1	Nr4a2	Rora	Stat3
Abcb1a	0	0	0	0	0	0	0	0	0	0.80531	0
Actn2	0.99907	0	0	0	0	0	0	0	0	0.18951	0
Aff1	0	0	0	0	0	0	0	0	0.77664	0	0
Aff4	0	0	0	0	0	0	0	0.54388	-0.22844	0	0
Arrb1	0.41139	0	0	0	0	0	0	0	0	0.7137	0
Atxn7	0.059255	0	0	0	0	0	0	0	0	0.41359	0
Cables1	0.41569	0	0	0	0	0	0.6186	-0.27831	0	0	0
Cap2	0.91536	0	0	0	0	0	0	0	0	0	0
Chd7	0	0	0	0	0.12359	0	0	0	0.61491	0	0
Chst15	0	0	0	0	0	0	0	0.92075	0	0.27269	0
Cish	0	0	0	0	0	0.82502	0	0	0	0	0
Clcn3	0	0	0	0	0	0	0	0	0	0.96856	0
Cnnm2	0	0	0	0	0	0.76449	0.8715	0.51885	0	0	0
Cpne7	0	0	0	0	0	0	-0.75254	0	0	0	0
Cwc25	0	0	0	0.50742	0	0	0	0	0	0	0
Cxcl3	0.96856	0	0	0	0	0	0	0	0	0	0
Dgat1	-0.45763	0	0	0	0	0	0.39043	0	0	-0.49081	0
Dlc1	0.66525	0	0	0	0	0	0	0.046323	0	0.58506	0
Eef2k	0	0	0	0	0	0	0	0	0	0.84709	0
Ell2	0	0	0	0	0	0.088906	0	0	0	0	0
Elovl7	0	0	0	0	0.93967	0	0	0	0	0	0
Emb	0	0	0	0	0	0	0.7326	0	0	0.96469	0
Eprs	0	0	0	0	0	0	0	0	0	0.92431	0
Ern1	0	0	0	0	0	0	0.9949	0	0	0	0
Fasl	0	0	0	0	0	0	0	0	-0.19137	0	0
Foxo1	0.25266	0	0	0	0	0	0	0	0	0	0.75436
Frmd6	0.48501	0	0	0	0	0	0	0.735	0	0	0
Gimap6	0	0.7711	0	0	0.060128	0	0	0	0.9634	0	0
Gls2	0	0	0	0	0	0	0	0	0	0.22392	0
Gzmb	0	0	0	0	0	0	0	0	0.99846	0	0
Gzmc	0.8493	0	0	0	0	0	0	0	0	-0.3838	0
Hspa1b	0.61745	0	0	0	0	0	0	0	0	0	0
Igsf5	0	0	0	0	0	0	0	-0.46885	0	0	0
Il17a	0	0	0	0	0	0	0	0	0	-0.022951	0
Il17f	0.33091	0	0	0	0	0	0	0.97666	0	0	0
Il2rb	0	0	0.78792	0	0	0	0	0	0	0	0
