	Batf3	Bcl6	Bhlhe40	Creb3l1	Crem	Dot1l	Epas1	Fiz1	Fos	Fosb	Fosl2	Foxa1	Foxo1	Hey1	Hivep1	Ikzf3	Irf1	Jun	Junb	Jund	Kdm2b	Klf13	Klf2	Klf6	Lin54	Mafk	Mlxip	Nfat5	Nfkb1	Nfkb2	Nr1d1	Nr3c1	Nr4a2	Purb	Rora	Scrt1	Skil	Stat3	Stat5a	Thap3	Trafd1	Zbtb21	Zeb1	Zfp131	Zfp768	Zhx1
4932438A13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78403	0	0	0
4933426M11Rik	0	0	0	0	0	0	-0.67278	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55209	0	0	0	0	0	0	0	0.29637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57533	0	0
A830080D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15572	0	0	0	0	0	0	0	0	0	0	0
Aatk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.88951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcb1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2933	0	0	0	0	0	0	0	0	0	0.80531	0	0	0	0	0	0	0	0	0	0	0
Abhd2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76862	0	0.2039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84263	0	0	0	0	0	-0.10263	0	0	0	0	0	-0.26287	0	0	0	0	0	0	0	0	0	0	0
Actn2	0	0.99907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18951	0	0	0	0	0	0	0	0	0	-0.37942	0
Acvr2a	0	0.90746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91672	0	0	0	0	0	0	0	0	0	0	0
Adamts14	0	0	0	0	0	0	-0.77971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16306	0	0	0	0	0	0	0.24889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aff1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77664	0	0	0	0	0	0	0	0	0	0	0	0	0
Aff4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34785	-0.22844	0	0	0	0	0	0	0	0	0	0	0	0	0
Ago2	0	0	0	0	0	0.76368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17225	0	0	0	0.70485	0	0	0	0	0	0	0	0.18637	0	0	0	0	0.74464	0	0	0	0	0	0	0	0
Aifm2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013509	0	0	0	0	0	0
Akt3	0	0	0	0	0	0	0	0	0	0	0	0.944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcam	0	0	0	0	0	0	0	0	0	0	0	-0.8715	0	0	0	0	0	0	-0.67996	0	0	0	0	0	0	0	0	0	0	0.81784	0	0	0	0	0	0.83529	0	0	0	0	0	0	0	0	0	0
Aldh16a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apaf1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aplp2	0	0	0	0	0	0	0.87477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arap2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99677	0	0	0	0	0	0	0.086476	0	0	0	0	0	0	0	0	0	0	0
Areg	0	0	0	0	0.83895	0	0.11938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.92777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50112	0	0	0.39508	0	0	0	0	0	0	0	0.78984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap27	0	0.51723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.85206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.61	0	0	0	0	0	0	0	0	0	0	0
Arrb1	0	0.41139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7137	0.74543	0	0	0	0	0	0	0	0	0	0
Arrb2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.27953	0	0	0	0	0	0	0
Asb2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.34964	0	0	-0.29187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp2b4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.68554	0	0	0	0	0	0	0	0	0	0	0	0	0
Atxn7	0	0.059255	0	0	0	0	0	0	0	0.37764	0	0	0	0	0	0	0	-0.39043	0.81784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41359	0	0	0	0	0	0	0	0	0	0	0
Auts2	0	0	0	0	0	0	0	0	0	0	0	0.92544	0	0.94899	0	0	0	-0.039529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azin1	0	0.81916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.68199	0	0	0	0	0	0	0	0	0.944	0	0	0	0	0	0	0	0	0	0	0
B3galt2	0	0.57795	0	0	0	0	0	0	0	0	0	0.59171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
