	Akap8l	Atf3	Batf3	Bcl6	Bhlhe40	Creb3l1	Crem	Dmrta1	Dot1l	E2f3	Egr1	Epas1	Ets2	Etv6	Fiz1	Fos	Fosb	Fosl2	Foxa1	Foxo1	Hey1	Hivep1	Hoxa5	Ikzf2	Ikzf3	Irf1	Irf7	Jun	Junb	Jund	Kdm2b	Klf10	Klf13	Klf2	Klf6	Lin54	Mafk	Max	Mlxip	Mlxipl	Mycn	Nfat5	Nfil3	Nfkb1	Nfkb2	Nr1d1	Nr1d2	Nr3c1	Nr4a2	Pa2g4	Phf21a	Plagl2	Purb	Rbpj	Rbpjl	Relb	Rora	Scrt1	Skil	Stat3	Stat5a	Tcf7	Tcf7l1	Tcf7l2	Thap3	Trafd1	Zbtb21	Zbtb37	Zeb1	Zfp110	Zfp131	Zfp341	Zfp608	Zfp709	Zfp712	Zfp768	Zhx1	Zkscan3	Znf512b
0610010K14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.57745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.012932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110037F02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010300C02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.74191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2700089E24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31097	0	0	0	0	0	0
4932438A13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78403	0	0	0	0	0	0	0	0	0	0
4933426M11Rik	0	0	0	0	0	0	0	0	0	0	0	-0.67278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55209	0	0	0	0	0	0	0	0	0	0	0	0	0.29637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57533	0	0	0	0	0	0	0	0
A830080D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98482	0	0	0	0	0	0.15572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A930001A20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.11539
Aatk	0	-0.39182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.88951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.30541	0	0	0	0	0	0	0	0	0
Abcb1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92315	0	0	0.80531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcb1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.94246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76862	0	0	0.2039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.79975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ablim3	0	0	0	0.68294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.85475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abr	0.13127	0	0	0	0	0	0	0	0	0	0.70319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84263	0	0	0	0	0	0	0	0	0	-0.10263	0	0	0	0	0	0	0	0	0	0	0	0	-0.26287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acap1	0	0	0	0	0	0	0	0	0	0	0	0	0.99702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actn2	0	0	0	0.99907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.51969	0	-0.37942	0	0	0
