TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Akap8l	Abr	0.13127	31.39	0.391	rgb(221,142,143)	1.6085	2,2
Akap8l	Casp1	0.4728	39.34	0.335	rgb(221,153,154)	1.7677	2,2
Akap8l	Cd44	-0.98482	50.67	-6.7E-01	rgb( 71,128,243)	1.9946	2,2
Akap8l	Dcaf15	0.58917	41.55	0.551	rgb(223,112,113)	1.812	2,2
Akap8l	Foxo1	-0.83733	48.66	-6.6E-01	rgb( 73,129,242)	1.9543	2,2
Akap8l	Galnt2	0.19241	32.46	0.464	rgb(222,128,129)	1.63	2,2
Akap8l	Gimap1	0.078482	30.46	0.459	rgb(222,129,130)	1.5899	2,2
Akap8l	Hccs	-0.12831	31.37	-3.7E-01	rgb(138,169,231)	1.6081	2,2
Akap8l	Ltb	0.71617	45.39	0.443	rgb(222,132,133)	1.8889	2,2
Akap8l	Rab37	0.28593	34.39	0.418	rgb(222,137,138)	1.6686	2,2
Akap8l	Rbpj	-0.58562	41.47	-4.7E-01	rgb(116,155,235)	1.8104	2,2
Akap8l	Rgs3	0.62262	42.53	0.534	rgb(223,115,116)	1.8316	2,2
Akap8l	Serpinb9	-0.034029	30.49	-4.9E-01	rgb(110,152,236)	1.5905	2,2
Akap8l	Tmed5	-0.17357	32.3	-3.9E-01	rgb(133,166,232)	1.6268	2,2
Akap8l	Ubtf	0.6967	45.32	0.53	rgb(223,116,117)	1.8875	2,2
Akap8l	Ypel3	0.029698	30.11	0.235	rgb(220,172,173)	1.5829	2,2
Atf3	Aatk	-0.39182	37.03	-2.8E-02	rgb(211,213,218)	1.7215	None
Atf3	Adam12	0.67451	44.32	0.324	rgb(221,155,156)	1.8674	None
Atf3	Asphd2	0.97217	50.6	0.598	rgb(224,103,104)	1.9932	None
Atf3	Atrnl1	0.84028	49.01	0.015	rgb(217,214,214)	1.9614	None
Atf3	Bcr	0.84883	49.27	0.273	rgb(220,165,165)	1.9666	None
Atf3	Cd82	0.46602	39.27	0.274	rgb(220,165,165)	1.7663	None
Atf3	Cd83	0.97445	50.61	0.61	rgb(224,100,102)	1.9934	None
Atf3	Cnn3	0.086476	31.06	0.057	rgb(218,206,206)	1.6019	None
Atf3	Colgalt2	0.93439	50.46	0.459	rgb(222,129,130)	1.9904	None
Atf3	Cryaa	0.98249	50.65	0.65	rgb(224, 93, 94)	1.9942	None
Atf3	Dgat1	0.89216	50.18	0.184	rgb(219,182,182)	1.9848	None
Atf3	Egln3	0.99846	50.82	0.823	rgb(226, 60, 61)	1.9976	None
Atf3	Ern1	0.43027	38.33	0.325	rgb(221,155,155)	1.7475	None
Atf3	Fam167a	0.93691	50.47	0.466	rgb(222,128,129)	1.9906	None
Atf3	Gls2	0.91049	50.35	0.346	rgb(221,151,152)	1.9882	None
Atf3	Hspa1a	0.77047	47.31	0.309	rgb(220,158,159)	1.9273	2,2
Atf3	Hspa1b	0.228	34.21	0.208	rgb(219,177,178)	1.665	2,2
Atf3	Irak2	-0.49081	40.01	-2.9E-01	rgb(155,179,228)	1.7811	None
Atf3	Jag2	0.63981	43.32	0.318	rgb(220,156,157)	1.8474	None
Atf3	Kif13a	0.25486	34.12	0.118	rgb(218,194,195)	1.6632	None
Atf3	Laptm4b	0.96737	50.58	0.583	rgb(223,106,107)	1.9928	None
Atf3	Lats2	-0.29822	35	-1.3E-03	rgb(217,217,217)	1.6808	None
Atf3	Lif	0.64902	44.18	0.183	rgb(219,182,182)	1.8646	None
Atf3	Lonrf3	0.56179	41.44	0.442	rgb(222,133,133)	1.8098	None
Atf3	Lpar1	0.3033	35.11	0.107	rgb(218,197,197)	1.683	None
Atf3	Ltbr	-0.27953	35.22	-2.2E-01	rgb(168,187,226)	1.6852	None
Atf3	Ly86	0.087473	31.08	0.077	rgb(218,202,202)	1.6023	None
Atf3	Nr1d1	0.90076	50.29	0.294	rgb(220,161,161)	1.987	None
Atf3	Pclo	0.80118	48	0.38	rgb(221,144,145)	1.9411	None
Atf3	Plxdc2	0.17672	32.32	0.324	rgb(221,155,156)	1.6272	None
Atf3	Ppp1r16b	0.50218	40.24	0.238	rgb(220,171,172)	1.7857	None
Atf3	Prelid2	0.61	43.12	0.125	rgb(218,193,193)	1.8434	None
Atf3	Qk	0.5493	41.32	0.317	rgb(220,156,157)	1.8074	None
Atf3	Rabl2	0.78743	47.41	0.411	rgb(222,138,139)	1.9293	None
Atf3	Scrt1	0.18637	33.3	0.296	rgb(220,160,161)	1.6468	None
Atf3	Slc41a3	0.84098	49.16	0.16	rgb(219,186,187)	1.9644	None
Atf3	St14	-0.76941	47.19	-1.9E-01	rgb(176,192,224)	1.9249	None
Atf3	Tmem109	0.87999	49.55	0.552	rgb(223,112,113)	1.9722	None
Atf3	Tuba8	0.31597	35.25	0.249	rgb(220,169,170)	1.6858	None
Atf3	Tusc3	0.33241	36.25	0.25	rgb(220,169,170)	1.7058	None
Atf3	Uhrf2	0.91435	50.37	0.367	rgb(221,147,148)	1.9886	2,2
Atf3	Wdfy2	0.82565	48.47	0.466	rgb(222,128,129)	1.9505	None
Batf3	Atf3	0.93183	50.45	0.448	rgb(222,131,132)	1.9902	None
Batf3	Atrnl1	0.6127	43.18	0.181	rgb(219,182,183)	1.8446	None
Batf3	Cables1	0.95347	50.53	0.533	rgb(223,115,116)	1.9918	None
Batf3	Cog5	-0.41083	37.29	-2.9E-01	rgb(154,179,228)	1.7267	None
Batf3	Cryaa	0.9015	50.29	0.287	rgb(220,162,163)	1.987	2,2
Batf3	Dnajc6	0.80453	48.25	0.249	rgb(220,170,170)	1.9461	None
Batf3	E2f3	0.6256	43.04	0.043	rgb(217,209,209)	1.8418	None
Batf3	Fam155a	0.65083	44.22	0.224	rgb(219,174,175)	1.8654	None
Batf3	Fam167a	0.74886	46.48	0.478	rgb(222,126,127)	1.9107	2,2
Batf3	Gm166	0.6878	45.21	0.205	rgb(219,178,178)	1.8853	2,2
Batf3	Gm4956	-0.20072	33.4	-4.0E-01	rgb(130,164,232)	1.6488	2,2
Batf3	Il33	0.92901	50.44	0.44	rgb(222,133,134)	1.99	None
Batf3	Ly86	0.95347	50.53	0.534	rgb(223,115,116)	1.9918	None
Batf3	Mapk10	0.98406	50.66	0.656	rgb(224, 92, 93)	1.9944	None
Batf3	Mpzl3	0.24903	34.01	0.007	rgb(217,216,216)	1.661	None
Batf3	Plekhg5	0.86261	49.4	0.405	rgb(221,140,141)	1.9692	None
Batf3	Ppp1r16b	-0.058461	31.22	-2.2E-01	rgb(170,188,225)	1.6051	None
Batf3	Tg	0.085416	31.04	0.04	rgb(217,209,209)	1.6015	None
Batf3	Vav2	0.43252	38.35	0.349	rgb(221,150,151)	1.7479	None
Batf3	Zbtb37	-0.27315	34.29	-2.9E-01	rgb(154,179,228)	1.6666	2,2
Bcl6	Ablim3	0.68294	44.41	0.409	rgb(221,139,140)	1.8692	None
Bcl6	Actn2	0.99907	50.85	0.848	rgb(226, 55, 57)	1.9982	None
Bcl6	Acvr1	0.94899	50.51	0.514	rgb(223,119,120)	1.9914	None
Bcl6	Acvr2a	0.90746	50.33	0.332	rgb(221,153,154)	1.9878	None
Bcl6	Adam12	-0.36797	37.14	-1.4E-01	rgb(188,199,222)	1.7237	None
Bcl6	Arhgap27	0.51723	40.05	0.049	rgb(218,208,208)	1.7819	None
Bcl6	Arhgap31	0.61462	43.21	0.209	rgb(219,177,178)	1.8452	None
Bcl6	Arrb1	0.41139	38.13	0.331	rgb(221,154,154)	1.7435	None
Bcl6	Asphd2	-0.6256	43.04	-3.6E-02	rgb(209,212,218)	1.8418	None
Bcl6	Atf3	0.72376	46.17	0.18	rgb(219,183,183)	1.9045	None
Bcl6	Atxn7	0.059255	30.31	0.307	rgb(220,158,159)	1.5869	None
Bcl6	Azin1	0.81916	48.37	0.365	rgb(221,147,148)	1.9485	None
Bcl6	B3galt2	0.57795	42.2	0.273	rgb(220,165,165)	1.825	None
Bcl6	Bhlhe40	0.53507	41.13	0.129	rgb(218,192,193)	1.8036	2,2
Bcl6	Bik	-0.77047	47.31	-3.1E-01	rgb(150,176,229)	1.9273	None
Bcl6	C4a	-0.028888	30.1	-1.0E-01	rgb(195,203,221)	1.5827	2,2
Bcl6	Cables1	0.41569	38.19	0.192	rgb(219,180,181)	1.7447	None
Bcl6	Cap2	0.91536	50.38	0.378	rgb(221,145,145)	1.9888	None
Bcl6	Cblb	0.8541	49.34	0.341	rgb(221,152,153)	1.968	None
