	ILC1_Bcl6_FC	CCR6-ILC3_Bcl6_FC	NK_Bcl6_FC
0610007P14Rik	-1.64937737788548	-0.773752600693828	0.506805743248051
0610009B22Rik	-0.265318265767139	-0.144478754576154	-1.36850138360039
0610009L18Rik	-0.0466872721568754	0.198643366688056	-0.18902806284472
0610009O20Rik	0.0285211617684024	-0.555290354051877	1.07168005301385
0610010F05Rik	0.462229689281278	-0.20096300567834	-0.600719160022586
0610010K14Rik	0.152710009756695	-0.955762123223564	-1.76781625053896
0610011F06Rik	0.0977776606134252	-0.0628108610475568	-1.0427577027204
0610012G03Rik	-0.421032972234001	-1.13958149906145	-0.195072095306079
0610030E20Rik	0.257855859502882	-0.144518122603597	-0.832351988648945
0610031J06Rik	0.449982545939366	-0.729654047701665	0.1334181613763
0610037L13Rik	-0.460129093929646	-0.517585132918606	-0.0236440593215998
0610040B10Rik	0.292451819955702	-0.000149347821106035	-0.0653173097094682
0610040F04Rik	0.269062805751118	-0.000313290778317193	1.2847622656338
0610040J01Rik	0.00205300915522159	0.375345664082331	-0.00502259068991123
1010001N08Rik	0.0311739974750315	-0.237191572126223	-0.0607774826286667
1110001J03Rik	-0.945745465793874	0.192651013914807	-1.08126041292357
1110002L01Rik	-0.39891369724767	0.0672391974295027	-0.652535929346741
1110004E09Rik	0.117685651487575	-0.617496315814528	-0.150583082684329
1110004F10Rik	0.238078559890594	-0.31517673617448	-0.186998850926596
1110007C09Rik	0.287054766672857	-0.0155943524690364	0.314029183436409
1110008F13Rik	0.0740135616653832	-0.173499171453784	-0.374049963238481
1110008L16Rik	-0.531315683354336	-0.552055634238285	0.88647870112659
1110008P14Rik	0.136302844911924	-0.749572424894721	-0.84714282985424
1110012L19Rik	-0.0179494024660068	-0.291104829792825	-1.4161818341036
1110019D14Rik	-0.194765929178667	-0.756096897350258	-0.00269512515329306
1110020A21Rik	1.00616436019395	-0.676282116155738	-1.14908419536135
1110028F11Rik	0.0410053414194444	0.0213965082359223	0.22401170606181
1110032A03Rik	0.0392236390266432	0.0803669874854524	-1.35750692193914
1110032F04Rik	-0.280181802955503	-0.000185357602579589	0.706077131391412
1110034G24Rik	-0.378835814568524	-0.264766286617657	1.01198991404984
1110037F02Rik	0.253585248249418	0.499138058627386	0.293747154120618
1110038B12Rik	1.11071112668324	-0.264505854855595	-0.623234389262494
1110038F14Rik	0.365115195985541	-0.126102014958313	-0.226903036900486
1110051M20Rik	0.425266573567873	0.486038753166693	-0.0562722057831265
1110054M08Rik	0.377529954173249	-0.926686882922677	0.537121144759568
1110057K04Rik	-0.867844574681405	0.307315961549576	-0.446088943241861
1110058L19Rik	-0.842979907455718	-0.693687181268406	-4.16953957318878
1110059E24Rik	0.30186112082021	-0.756550577493024	-0.131236213357638
1110059G10Rik	-0.336607485721285	-0.514765515459053	0.647503461854621
1110065P20Rik	0.463831925163276	0.142230602972689	-1.20452643132034
1190002F15Rik	-0.394908212151408	-0.27098435240078	1.3934665309919
1190002N15Rik	-0.532449079806956	0.0317448477485365	-0.364961028151089
1190007I07Rik	-0.653971226546702	-0.43268146046054	-0.381813093162686
1200014J11Rik	-0.262746167935113	-0.693156385424736	0.195052865073153
1300002E11Rik	0.263994735520044	0.0210289696091401	-0.790020184099373
1300002K09Rik	0.000804588360533159	-0.000116365494071187	0.499524676754632
1500004A13Rik	-0.959666501677294	0.31168061752058	-0.090848868790174
1500011B03Rik	-0.350214066574761	-0.178063642702712	-0.432216532921122
1500011K16Rik	-1.7126993349642	-0.839946936135238	-0.531396156148243
1500012F01Rik	-0.594546576402755	-0.684440511671899	-0.399097794989588
1500015A07Rik	0.606265499501852	-0.0846157865124905	0.469641177752521
1600002H07Rik	-0.201571270474962	-0.114952471117205	0.847754672817801
1600002K03Rik	-0.13434152395089	-0.117664472102291	-0.528828402023046
1600012H06Rik	-0.560878071148308	0.455772243996927	-0.0871712387579758
1600014C10Rik	-1.58614742986387	-1.01677163565567	-0.629963966654686
1600016N20Rik	-0.78629172949328	-0.843156158507667	0.189176731397419
1600020E01Rik	0.597018515278635	-0.452700599007436	-0.241446394386657
1600029O15Rik	-0.25912418459906	-0.0380154077770213	0.169546935248378
1700001G17Rik	-0.0773050300357708	-0.556122965042273	-0.00312264080266466
1700001L05Rik	-0.363824611497362	-0.0318451413201523	-0.511037574425271
1700007L15Rik	-0.275867908881368	-0.0556379691590003	-1.03022919101358
1700008J07Rik	-0.0581752052130554	0.153403695789517	-1.00176307877131
1700009P17Rik	-0.257181004954508	0.110377220370275	-0.361271764779472
1700010I14Rik	1.14496397215519	-1.25854725530741	-0.0728158625400851
1700011E24Rik	-0.462775408675799	-0.00669762636465998	-0.0607774826286669
1700012B07Rik	0.568383417487954	-0.844004400703647	-0.185081361474274
1700012D01Rik	0.0172973597248494	-0.588451056509976	-0.0401156414769223
1700016D06Rik	0.0311739974750315	-0.00830513024897723	-0.341374377535359
1700016L21Rik	0.000684061918393153	-9.90841295176334e-05	-0.00171703634278911
1700017B05Rik	1.00504685794996	0.35747176824421	1.27345646703364
1700018B24Rik	-0.249422897431661	-0.00830513024897728	-0.0607774826286666
1700019G17Rik	0.0586235198142923	-0.174879284469962	-1.26841313578816
1700019L03Rik	0.152728391263224	0.688675361311859	-0.0100625822925531
1700020I14Rik	0.0685637471567149	-0.337056669746211	-0.165009675485947
1700020L24Rik	0.928209387868114	-0.228551625859646	0.410437861338404
1700021F05Rik	0.485491074774602	-0.024999648378291	1.20025535788218
1700021K19Rik	-0.848359642233644	-0.714149079068485	-0.746011028149601
1700025G04Rik	-0.647949758263226	-0.324587766655735	-0.246274902428159
1700026L06Rik	-0.521547434733049	-0.37622935963112	0.422783065726431
1700028B04Rik	0.0311739974750314	-0.00830513024897727	-0.0607774826286667
1700028D13Rik	0.0311739974750315	-0.0083051302489772	0.219819412278025
1700028E10Rik	0.774990655375541	0.139256834429957	-0.827344209438578
1700028I16Rik	-0.0485267335350123	-0.00121015259605156	0.292857373680308
1700029I15Rik	0.373754244166918	0.138530962653023	-0.181536964480148
1700029N11Rik	0.0311739974750315	-0.280932585126929	-0.0607774826286667
