TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Nr1d2	S100a4	0.98909	50.7	0.705	rgb(225, 82, 84)	1.9952	None
Nr1d2	Aldh18a1	-0.98855	50.69	-6.9E-01	rgb( 68,126,243)	1.995	None
Nr1d2	Sfmbt2	0.97325	50.61	0.611	rgb(224,100,102)	1.9934	None
Nr1d2	Snx33	0.96737	50.58	0.582	rgb(223,106,107)	1.9928	None
Nr1d2	Spsb1	-0.96737	50.58	-5.8E-01	rgb( 91,140,239)	1.9928	None
Nr1d2	Gm4759	0.96619	50.58	0.578	rgb(223,107,108)	1.9928	None
Nr1d2	Tpst2	0.9634	50.57	0.566	rgb(223,109,110)	1.9926	None
Nr1d2	Atxn7	0.95838	50.55	0.549	rgb(223,112,113)	1.9922	None
Nr1d2	Gstcd	0.95592	50.54	0.536	rgb(223,115,116)	1.992	None
Nr1d2	Myof	0.95347	50.53	0.534	rgb(223,115,116)	1.9918	None
Nr1d2	Robo1	0.95347	50.53	0.533	rgb(223,115,116)	1.9918	None
Nr1d2	Ankrd12	0.94522	50.5	0.5	rgb(223,121,122)	1.9912	None
Nr1d2	Rprd1b	0.944	50.49	0.492	rgb(222,123,124)	1.991	None
Nr1d2	Rnf13	0.94246	50.49	0.517	rgb(223,118,119)	1.991	None
Nr1d2	Wipi1	-0.93565	50.46	-4.6E-01	rgb(118,157,234)	1.9904	2,2
Nr1d2	Ccr1	-0.93027	50.44	-4.4E-01	rgb(121,159,234)	1.99	None
Nr1d2	Fam155a	-0.93027	50.44	-4.4E-01	rgb(121,159,234)	1.99	None
Nr1d2	St7l	-0.93027	50.44	-4.4E-01	rgb(121,158,234)	1.99	None
Nr1d2	Peli1	0.92901	50.44	0.437	rgb(222,134,134)	1.99	None
Nr1d2	Glb1	0.92315	50.41	0.406	rgb(221,139,140)	1.9894	None
Nr1d2	Wls	0.92205	50.41	0.411	rgb(222,138,139)	1.9894	None
Nr1d2	Cytip	0.91974	50.4	0.401	rgb(221,140,141)	1.9892	None
Nr1d2	Ifih1	0.91672	50.38	0.377	rgb(221,145,146)	1.9888	None
Nr1d2	Xpr1	-0.90664	50.33	-3.3E-01	rgb(145,174,230)	1.9878	None
Nr1d2	Aff4	0.9015	50.29	0.287	rgb(220,162,163)	1.987	None
Nr1d2	Pde1c	0.89247	50.19	0.275	rgb(220,165,165)	1.985	None
