TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Egr1	Ctsw	0.99981	50.91	0.91	rgb(227, 43, 45)	1.9994	None
Egr1	Xcl1	0.99933	50.87	0.868	rgb(227, 51, 53)	1.9986	None
Egr1	Atp2a3	0.99907	50.85	0.853	rgb(226, 54, 56)	1.9982	None
Egr1	Slc28a2	0.99846	50.83	0.831	rgb(226, 58, 60)	1.9978	None
Egr1	Gpc1	0.99829	50.82	0.815	rgb(226, 61, 63)	1.9976	None
Egr1	Tmsb10	0.99829	50.82	0.823	rgb(226, 60, 61)	1.9976	None
Egr1	Bcl2a1b	0.99787	50.81	0.806	rgb(226, 63, 65)	1.9974	None
Egr1	Efhc2	0.99787	50.81	0.805	rgb(226, 63, 65)	1.9974	None
Egr1	Dnajc15	0.99651	50.78	0.781	rgb(226, 68, 69)	1.9968	None
Egr1	Hdgfrp3	0.99651	50.78	0.781	rgb(226, 68, 69)	1.9968	None
Egr1	Nrarp	0.99385	50.74	0.74	rgb(225, 76, 77)	1.996	None
Egr1	Pear1	0.99385	50.74	0.738	rgb(225, 76, 78)	1.996	None
Egr1	Ankra2	0.99243	50.73	0.729	rgb(225, 78, 79)	1.9958	None
Egr1	Ier5l	0.99243	50.73	0.728	rgb(225, 78, 79)	1.9958	None
Egr1	Card6	0.99084	50.71	0.71	rgb(225, 81, 83)	1.9954	None
Egr1	Sulf2	0.99039	50.71	0.713	rgb(225, 81, 82)	1.9954	None
Egr1	Gyg	0.98976	50.7	0.696	rgb(225, 84, 85)	1.9952	None
Egr1	Prkacb	0.98788	50.69	0.689	rgb(225, 85, 87)	1.995	None
Egr1	Rnf43	0.98788	50.69	0.693	rgb(225, 85, 86)	1.995	None
Egr1	Appl2	0.98665	50.68	0.677	rgb(224, 88, 89)	1.9948	None
Egr1	Card11	0.98563	50.67	0.742	rgb(225, 75, 77)	1.9946	None
Egr1	Acss2	0.98482	50.67	0.674	rgb(224, 88, 90)	1.9946	None
Egr1	Jade2	0.98249	50.65	0.647	rgb(224, 93, 95)	1.9942	None
Egr1	Jakmip1	0.98249	50.65	0.653	rgb(224, 92, 94)	1.9942	None
Egr1	Got1	0.98146	50.65	0.651	rgb(224, 93, 94)	1.9942	None
Egr1	L1cam	0.98146	50.65	0.648	rgb(224, 93, 94)	1.9942	None
Egr1	Tmsb15a	0.98146	50.65	0.647	rgb(224, 93, 95)	1.9942	None
Egr1	Dapk2	0.97945	50.64	0.645	rgb(224, 94, 95)	1.994	None
Egr1	Keap1	0.97945	50.64	0.638	rgb(224, 95, 96)	1.994	None
Egr1	Phf21b	0.97766	50.63	0.63	rgb(224, 97, 98)	1.9938	None
Egr1	Gxylt1	0.97325	50.61	0.614	rgb(224,100,101)	1.9934	None
