TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Klf13	Mov10	0.98724	50.68	0.679	rgb(224, 87, 89)	1.9948	None
Klf13	Thap6	0.98724	50.68	0.683	rgb(225, 87, 88)	1.9948	None
Klf13	Ptgs1	0.98563	50.67	0.669	rgb(224, 89, 91)	1.9946	None
Klf13	Rpa2	0.98482	50.67	0.67	rgb(224, 89, 90)	1.9946	None
Klf13	Gatad2a	0.98249	50.65	0.654	rgb(224, 92, 93)	1.9942	None
Klf13	Tonsl	0.98035	50.64	0.636	rgb(224, 96, 97)	1.994	None
Klf13	Ccbl2	0.971	50.6	0.598	rgb(224,103,104)	1.9932	None
Klf13	Aplp1	0.9634	50.57	0.57	rgb(223,108,109)	1.9926	None
Klf13	Mcm6	0.9634	50.57	0.568	rgb(223,109,110)	1.9926	None
Klf13	Samd3	0.96102	50.56	0.56	rgb(223,110,111)	1.9924	None
Klf13	Gbp4	0.95838	50.55	0.55	rgb(223,112,113)	1.9922	None
Klf13	Gna15	0.95838	50.55	0.545	rgb(223,113,114)	1.9922	None
Klf13	Il12rb2	0.95838	50.55	0.55	rgb(223,112,113)	1.9922	None
Klf13	Rin3	0.95838	50.55	0.546	rgb(223,113,114)	1.9922	None
Klf13	Gm12216	0.95041	50.52	0.517	rgb(223,118,119)	1.9916	None
Klf13	Abcg1	0.94763	50.51	0.514	rgb(223,119,120)	1.9914	2,2
Klf13	Ccr2	0.94522	50.5	0.503	rgb(223,121,122)	1.9912	None
Klf13	Arl5a	-0.94095	50.48	-4.8E-01	rgb(112,153,235)	1.9908	None
Klf13	Rhoc	0.94095	50.48	0.48	rgb(222,125,126)	1.9908	None
Klf13	Fbxo21	0.93838	50.47	0.468	rgb(222,128,129)	1.9906	None
Klf13	Zfp36l2	0.93691	50.47	0.473	rgb(222,127,128)	1.9906	None
Klf13	Ccr5	0.92901	50.44	0.439	rgb(222,133,134)	1.99	None
Klf13	Ccdc64	0.92663	50.43	0.426	rgb(222,136,137)	1.9898	None
Klf13	Rasgrf1	0.92315	50.41	0.405	rgb(221,140,140)	1.9894	None
Klf13	Arsb	0.91974	50.4	0.403	rgb(221,140,141)	1.9892	None
Klf13	Cdk14	0.91974	50.4	0.404	rgb(221,140,141)	1.9892	None
