TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Elk3	Cmklr1	0.99545	50.76	0.758	rgb(225, 72, 74)	1.9964	None
Elk3	Kbtbd11	0.99385	50.74	0.739	rgb(225, 76, 77)	1.996	None
Elk3	Kcnq5	0.99385	50.74	0.735	rgb(225, 77, 78)	1.996	None
Elk3	B3gnt5	0.99039	50.71	0.706	rgb(225, 82, 83)	1.9954	None
Elk3	Fam184a	0.99039	50.71	0.705	rgb(225, 82, 84)	1.9954	None
Elk3	Fnbp1	0.98563	50.67	0.673	rgb(224, 88, 90)	1.9946	None
Elk3	Klhl6	0.98482	50.67	0.674	rgb(224, 88, 90)	1.9946	None
Elk3	Cd27	-0.98249	50.65	-6.5E-01	rgb( 77,132,242)	1.9942	None
Elk3	Cdt1	0.98146	50.65	0.647	rgb(224, 93, 95)	1.9942	None
Elk3	Cd200r4	0.97945	50.64	0.64	rgb(224, 95, 96)	1.994	None
Elk3	Npc2	0.97853	50.63	0.631	rgb(224, 97, 98)	1.9938	None
Elk3	Cd247	0.97766	50.63	0.632	rgb(224, 96, 98)	1.9938	None
Elk3	Mcam	0.97766	50.63	0.628	rgb(224, 97, 98)	1.9938	None
Elk3	Pitpnm2	-0.97666	50.62	-6.2E-01	rgb( 82,135,241)	1.9936	None
Elk3	Mapkapk2	-0.97546	50.62	-6.2E-01	rgb( 82,135,241)	1.9936	None
Elk3	Appl1	-0.96965	50.59	-5.9E-01	rgb( 89,139,239)	1.993	None
Elk3	Ldlrap1	0.96856	50.59	0.594	rgb(224,103,105)	1.993	None
Elk3	Scg5	-0.96619	50.58	-5.8E-01	rgb( 91,140,239)	1.9928	None
Elk3	Swap70	-0.9634	50.57	-5.7E-01	rgb( 94,142,238)	1.9926	None
Elk3	Cbfa2t3	0.96102	50.56	0.558	rgb(223,110,111)	1.9924	None
Elk3	Pfkfb3	0.95838	50.55	0.545	rgb(223,113,114)	1.9922	None
Elk3	Ltb	-0.95347	50.53	-5.3E-01	rgb(101,147,237)	1.9918	None
Elk3	Ehd3	0.9522	50.52	0.525	rgb(223,117,118)	1.9916	None
Elk3	H2afz	0.9522	50.52	0.523	rgb(223,117,118)	1.9916	None
Elk3	Pam	0.9522	50.52	0.519	rgb(223,118,119)	1.9916	None
Elk3	Rb1	-0.94899	50.51	-5.1E-01	rgb(107,150,236)	1.9914	None
Elk3	Cd44	-0.94763	50.51	-5.1E-01	rgb(107,150,236)	1.9914	None
Elk3	Lcn4	0.94654	50.5	0.504	rgb(223,121,122)	1.9912	None
Elk3	Treml2	-0.94522	50.5	-5.0E-01	rgb(109,151,236)	1.9912	None
Elk3	Ugcg	-0.94522	50.5	-5.0E-01	rgb(108,151,236)	1.9912	None
Elk3	Itgav	-0.944	50.49	-4.9E-01	rgb(111,152,236)	1.991	None
Elk3	Fkbp1a	0.94246	50.49	0.501	rgb(223,121,122)	1.991	None
Elk3	Hspa13	-0.94095	50.48	-4.8E-01	rgb(112,153,235)	1.9908	None
Elk3	Tanc1	0.94095	50.48	0.478	rgb(222,126,127)	1.9908	None
Elk3	Trio	-0.94095	50.48	-4.8E-01	rgb(112,153,235)	1.9908	None
Elk3	Fam3c	0.93967	50.48	0.482	rgb(222,125,126)	1.9908	None
Elk3	Lta	0.93967	50.48	0.478	rgb(222,126,127)	1.9908	None
Elk3	Fbxl2	0.93838	50.47	0.47	rgb(222,127,128)	1.9906	None
Elk3	Nfatc2	0.93691	50.47	0.474	rgb(222,127,127)	1.9906	None
Elk3	Lef1	0.93565	50.46	0.458	rgb(222,130,130)	1.9904	None
Elk3	P2ry14	0.93565	50.46	0.46	rgb(222,129,130)	1.9904	None
Elk3	Mturn	0.93439	50.46	0.459	rgb(222,129,130)	1.9904	None
Elk3	Vamp1	-0.93439	50.46	-4.6E-01	rgb(117,156,234)	1.9904	None
Elk3	Ccr2	0.93183	50.45	0.62	rgb(224, 99,100)	1.9902	None
Elk3	Pdcd1lg2	-0.93183	50.45	-4.5E-01	rgb(120,158,234)	1.9902	None
Elk3	Dgat1	-0.93027	50.44	-4.4E-01	rgb(121,158,234)	1.99	None
Elk3	Lck	0.93027	50.44	0.441	rgb(222,133,134)	1.99	None
Elk3	Scrt1	-0.93027	50.44	-4.4E-01	rgb(121,159,234)	1.99	None
Elk3	Rnf157	-0.92901	50.44	-4.4E-01	rgb(122,159,234)	1.99	None
Elk3	Cish	-0.92315	50.41	-4.1E-01	rgb(128,163,233)	1.9894	None
Elk3	Ctif	-0.92315	50.41	-4.1E-01	rgb(127,162,233)	1.9894	None
Elk3	Arhgap25	0.92075	50.4	0.396	rgb(221,141,142)	1.9892	None
Elk3	Vegfc	0.92075	50.4	0.397	rgb(221,141,142)	1.9892	None
Elk3	Cldn10	0.91974	50.4	0.402	rgb(221,140,141)	1.9892	None
Elk3	Fam65b	0.91865	50.39	0.437	rgb(222,134,134)	1.989	None
Elk3	Lin54	-0.91865	50.39	-6.3E-01	rgb( 81,134,241)	1.989	None
Elk3	Gbp4	-0.91758	50.39	-3.9E-01	rgb(131,165,232)	1.989	None
Elk3	Pik3c2a	-0.91758	50.39	-3.9E-01	rgb(131,165,232)	1.989	None
Elk3	Gpr174	0.91536	50.38	0.379	rgb(221,145,145)	1.9888	None
Elk3	Bivm	-0.91342	50.37	-4.2E-01	rgb(126,162,233)	1.9886	None
Elk3	Nuak2	0.90975	50.35	0.348	rgb(221,150,151)	1.9882	None
Elk3	Sema4c	0.9091	50.34	0.336	rgb(221,153,153)	1.988	2,2
Elk3	Scimp	0.90664	50.33	0.325	rgb(221,155,156)	1.9878	None
Elk3	Samsn1	-0.9015	50.29	-2.9E-01	rgb(154,179,228)	1.987	None
Elk3	Tspan31	-0.89961	50.28	-3.9E-01	rgb(132,165,232)	1.9868	None
Elk3	Rac2	0.89751	50.26	0.259	rgb(220,167,168)	1.9864	None
Elk3	Tapbpl	-0.89704	50.25	-2.5E-01	rgb(164,185,226)	1.9862	None
Elk3	Nup210	0.895	50.23	0.238	rgb(220,171,172)	1.9858	None
Elk3	Rin3	0.89399	50.21	0.209	rgb(219,177,177)	1.9854	None
Elk3	Nf1	0.8909	50.14	0.149	rgb(219,189,189)	1.984	None
Elk3	Acp5	0.88895	50.02	0.356	rgb(221,149,150)	1.9816	None
Elk3	Suco	-0.88861	49.79	-7.9E-01	rgb( 47,113,247)	1.977	None
Elk3	Utp14b	-0.88359	49.59	-5.9E-01	rgb( 88,139,240)	1.973	None
Elk3	Atp6v1g3	0.88218	49.57	0.574	rgb(223,107,109)	1.9726	None
Elk3	Agtrap	0.8715	49.47	0.472	rgb(222,127,128)	1.9706	None
Elk3	Mical2	0.87075	49.47	0.466	rgb(222,128,129)	1.9706	None
Elk3	Plcb2	-0.87075	49.47	-4.7E-01	rgb(116,155,235)	1.9706	None
Elk3	Lpin1	0.87007	49.46	0.46	rgb(222,129,130)	1.9704	None
Elk3	Lfng	0.86533	49.42	0.421	rgb(222,137,137)	1.9696	None
Elk3	Ifitm5	-0.86457	49.43	-4.3E-01	rgb(124,160,233)	1.9698	None
Elk3	Arntl	-0.86396	49.41	-4.1E-01	rgb(127,162,233)	1.9694	None
Elk3	Camk2d	0.86208	49.41	0.414	rgb(222,138,139)	1.9694	None
Elk3	Rttn	-0.86075	49.4	-4.0E-01	rgb(130,164,232)	1.9692	None
Elk3	Cd2	0.86016	49.38	0.378	rgb(221,145,146)	1.9688	None
Elk3	Tmem37	0.85788	49.36	0.364	rgb(221,147,148)	1.9684	None
Elk3	Prkcq	0.85696	49.35	0.349	rgb(221,150,151)	1.9682	None
Elk3	St8sia4	-0.85651	49.36	-3.6E-01	rgb(138,169,231)	1.9684	None
Elk3	Vgll4	-0.85594	49.34	-4.5E-01	rgb(120,158,234)	1.968	None
Elk3	Rpf2	-0.85534	49.35	-3.5E-01	rgb(142,171,230)	1.9682	None
Elk3	Tnfsf8	0.85206	49.32	0.323	rgb(221,155,156)	1.9676	None
Elk3	Ccser2	0.85014	49.3	0.299	rgb(220,160,160)	1.9672	None
Elk3	Fam69a	0.84815	49.26	0.574	rgb(223,107,108)	1.9664	None
Elk3	Ms4a6b	0.84815	49.26	0.262	rgb(220,167,168)	1.9664	None
Elk3	Itpk1	0.84737	49.27	0.431	rgb(222,135,136)	1.9666	None
Elk3	Ptprv	0.84737	49.27	0.273	rgb(220,165,165)	1.9666	None
Elk3	Adap1	0.8467	49.26	0.26	rgb(220,167,168)	1.9664	None
Elk3	Antxr2	-0.84635	49.23	-2.3E-01	rgb(168,187,226)	1.9658	None
Elk3	Itga6	0.84579	49.22	0.218	rgb(219,175,176)	1.9656	None
Elk3	Crtam	0.84561	49.21	0.317	rgb(220,156,157)	1.9654	None
Elk3	Bin2	0.84413	49.18	0.184	rgb(219,182,182)	1.9648	None
Elk3	Ranbp2	-0.84339	49.16	-1.6E-01	rgb(183,196,223)	1.9644	None
Elk3	Syne3	0.84339	49.16	0.233	rgb(220,172,173)	1.9644	None
Elk3	Rassf3	0.84129	49.17	0.165	rgb(219,185,186)	1.9646	None
Elk3	Lax1	0.84043	49.02	0.077	rgb(218,202,202)	1.9616	None
Elk3	Asb14	-0.83529	48.59	-5.9E-01	rgb( 88,139,240)	1.9529	None
Elk3	Fam49a	0.83194	48.49	0.49	rgb(222,123,124)	1.9509	None
Elk3	Dars2	-0.83012	48.47	-4.7E-01	rgb(114,154,235)	1.9505	None
Elk3	Pold2	0.82819	48.45	0.45	rgb(222,131,132)	1.9501	None
Elk3	Bcl6	0.8199	48.41	0.413	rgb(222,138,139)	1.9493	None
Elk3	Tmppe	-0.81916	48.37	-3.7E-01	rgb(137,168,231)	1.9485	None
Elk3	Adh1	-0.81631	48.38	-5.0E-01	rgb(109,151,236)	1.9487	None
Elk3	Camk4	-0.81585	48.33	-3.3E-01	rgb(145,173,230)	1.9477	None
Elk3	Scin	-0.81161	48.33	-3.3E-01	rgb(146,174,229)	1.9477	None
Elk3	Dgkz	0.8088	48.3	0.301	rgb(220,160,160)	1.9471	None
Elk3	Tmcc3	0.80686	48.28	0.278	rgb(220,164,164)	1.9467	None
Elk3	Kdelc1	-0.80427	48.16	-1.6E-01	rgb(181,195,223)	1.9443	None
Elk3	Itgb2	-0.80284	48.11	-2.4E-01	rgb(165,185,226)	1.9433	None
