TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Foxa1	Pag1	-0.99804	50.81	-8.1E-01	rgb( 40,110,248)	1.9974	None
Foxa1	Dennd5a	0.99723	50.79	0.792	rgb(226, 66, 67)	1.997	None
Foxa1	Soat1	0.99723	50.79	0.786	rgb(226, 67, 68)	1.997	None
Foxa1	Cd82	0.99427	50.75	0.754	rgb(225, 73, 74)	1.9962	None
Foxa1	Fbxo34	0.99427	50.75	0.746	rgb(225, 74, 76)	1.9962	None
Foxa1	Mxi1	0.99427	50.75	0.749	rgb(225, 74, 75)	1.9962	None
Foxa1	Fam65b	-0.9935	50.74	-7.4E-01	rgb( 57,120,245)	1.996	None
Foxa1	Pglyrp2	-0.99299	50.73	-7.3E-01	rgb( 60,121,245)	1.9958	None
Foxa1	Spty2d1	0.99205	50.72	0.716	rgb(225, 80, 82)	1.9956	None
Foxa1	Klhl9	0.9914	50.72	0.725	rgb(225, 79, 80)	1.9956	None
Foxa1	Nfia	0.99039	50.71	0.707	rgb(225, 82, 83)	1.9954	None
Foxa1	Ddx60	0.98909	50.7	0.7	rgb(225, 83, 85)	1.9952	None
Foxa1	Gpr65	0.98724	50.68	0.676	rgb(224, 88, 89)	1.9948	None
Foxa1	Zscan2	-0.98724	50.68	-6.8E-01	rgb( 68,127,243)	1.9948	None
Foxa1	Tiparp	0.98563	50.67	0.67	rgb(224, 89, 90)	1.9946	None
Foxa1	A230073K19Rik	0.98482	50.67	0.668	rgb(224, 89, 91)	1.9946	2,2
Foxa1	Selt	0.98406	50.66	0.664	rgb(224, 90, 91)	1.9944	None
Foxa1	Akap7	0.98327	50.66	0.656	rgb(224, 92, 93)	1.9944	None
Foxa1	Cd28	-0.98327	50.66	-6.6E-01	rgb( 74,130,242)	1.9944	None
Foxa1	Slc7a6os	-0.98327	50.66	-6.6E-01	rgb( 73,130,242)	1.9944	None
Foxa1	Abhd17b	0.98249	50.65	0.653	rgb(224, 92, 94)	1.9942	None
Foxa1	Exoc6b	0.98146	50.65	0.652	rgb(224, 93, 94)	1.9942	None
Foxa1	Klrg1	-0.98146	50.65	-6.5E-01	rgb( 75,131,242)	1.9942	None
Foxa1	Ero1l	0.98035	50.64	0.638	rgb(224, 95, 96)	1.994	None
Foxa1	Klrk1	-0.98035	50.64	-6.4E-01	rgb( 79,133,241)	1.994	None
Foxa1	Casp4	0.97945	50.64	0.636	rgb(224, 96, 97)	1.994	None
Foxa1	Nxpe3	0.97945	50.64	0.644	rgb(224, 94, 95)	1.994	None
Foxa1	Fam111a	-0.97853	50.63	-6.3E-01	rgb( 79,133,241)	1.9938	None
Foxa1	Rab11fip1	0.97853	50.63	0.631	rgb(224, 96, 98)	1.9938	None
Foxa1	Tmbim4	0.97853	50.63	0.627	rgb(224, 97, 99)	1.9938	None
Foxa1	Tmem64	0.97853	50.63	0.629	rgb(224, 97, 98)	1.9938	None
Foxa1	Sfmbt1	0.97666	50.62	0.623	rgb(224, 98, 99)	1.9936	None
Foxa1	Rasa3	-0.97546	50.62	-6.2E-01	rgb( 81,135,241)	1.9936	None
Foxa1	Ube2e2	0.97445	50.61	0.609	rgb(224,101,102)	1.9934	None
Foxa1	Zcchc2	-0.97445	50.61	-6.1E-01	rgb( 84,136,240)	1.9934	None
Foxa1	Myo1c	-0.97325	50.61	-6.1E-01	rgb( 85,137,240)	1.9934	2,2
Foxa1	Pip5k1b	0.97325	50.61	0.607	rgb(224,101,102)	1.9934	None
Foxa1	Cd48	-0.97217	50.6	-6.0E-01	rgb( 87,138,240)	1.9932	None
Foxa1	Rgs12	0.97217	50.6	0.602	rgb(224,102,103)	1.9932	None
Foxa1	Birc2	0.971	50.6	0.602	rgb(224,102,103)	1.9932	2,2
Foxa1	Susd1	0.971	50.6	0.603	rgb(224,102,103)	1.9932	None
Foxa1	Ccr4	0.96965	50.59	0.587	rgb(223,105,106)	1.993	None
Foxa1	Il17a	0.96965	50.59	0.592	rgb(224,104,105)	1.993	None
Foxa1	Pde7a	0.96856	50.59	0.59	rgb(223,104,106)	1.993	None
Foxa1	Rabgap1l	0.96856	50.59	0.586	rgb(223,105,106)	1.993	None
Foxa1	Pitpnc1	-0.96737	50.58	-5.8E-01	rgb( 92,141,239)	1.9928	None
Foxa1	Usp38	0.96737	50.58	0.578	rgb(223,107,108)	1.9928	None
Foxa1	Bmp2k	-0.96469	50.57	-5.7E-01	rgb( 93,141,239)	1.9926	None
Foxa1	Cx3cl1	0.96469	50.57	0.566	rgb(223,109,110)	1.9926	None
Foxa1	Dnaja4	0.96469	50.57	0.565	rgb(223,109,110)	1.9926	None
Foxa1	Prkar1a	0.96469	50.57	0.567	rgb(223,109,110)	1.9926	None
Foxa1	Tfam	-0.96469	50.57	-5.7E-01	rgb( 94,142,239)	1.9926	None
Foxa1	Insr	0.9634	50.57	0.57	rgb(223,108,109)	1.9926	None
Foxa1	Mov10	0.9634	50.57	0.568	rgb(223,109,110)	1.9926	None
Foxa1	Kif23	0.96212	50.56	0.562	rgb(223,110,111)	1.9924	None
Foxa1	Bcl2	0.95977	50.55	0.552	rgb(223,112,113)	1.9922	None
Foxa1	Reep5	-0.95977	50.55	-5.5E-01	rgb( 98,145,238)	1.9922	None
Foxa1	Mdm1	0.95838	50.55	0.551	rgb(223,112,113)	1.9922	None
Foxa1	Nfkb1	0.95737	50.54	0.543	rgb(223,113,114)	1.992	None
Foxa1	Cdk14	-0.95592	50.54	-5.4E-01	rgb( 99,145,238)	1.992	None
Foxa1	Cep41	0.95592	50.54	0.537	rgb(223,114,115)	1.992	2,2
Foxa1	Cnot6l	0.95592	50.54	0.538	rgb(223,114,115)	1.992	None
Foxa1	Pdia5	0.95592	50.54	0.537	rgb(223,114,115)	1.992	None
Foxa1	Prkce	0.95347	50.53	0.526	rgb(223,117,118)	1.9918	None
Foxa1	Taf4b	0.95347	50.53	0.533	rgb(223,115,116)	1.9918	None
Foxa1	Tank	0.95347	50.53	0.532	rgb(223,115,116)	1.9918	None
Foxa1	Tnik	0.95347	50.53	0.526	rgb(223,116,118)	1.9918	None
Foxa1	Atxn7	0.9522	50.52	0.521	rgb(223,118,119)	1.9916	None
Foxa1	Baz2b	0.9522	50.52	0.521	rgb(223,117,118)	1.9916	None
Foxa1	Cpm	0.95041	50.52	0.519	rgb(223,118,119)	1.9916	None
Foxa1	Snx33	-0.95041	50.52	-5.2E-01	rgb(104,148,237)	1.9916	None
Foxa1	Ikzf3	-0.94899	50.51	-5.1E-01	rgb(106,150,236)	1.9914	None
Foxa1	Msi2	0.94899	50.51	0.51	rgb(223,120,121)	1.9914	None
Foxa1	Pdgfrb	0.94899	50.51	0.515	rgb(223,119,120)	1.9914	None
Foxa1	Rassf3	0.94763	50.51	0.508	rgb(223,120,121)	1.9914	None
Foxa1	Cd200r1	0.94654	50.5	0.496	rgb(222,122,123)	1.9912	None
Foxa1	Sgpl1	-0.94654	50.5	-5.0E-01	rgb(108,151,236)	1.9912	None
Foxa1	Akt3	0.944	50.49	0.494	rgb(222,123,124)	1.991	None
Foxa1	Avpi1	0.94246	50.49	0.486	rgb(222,124,125)	1.991	None
Foxa1	Fancc	0.94095	50.48	0.481	rgb(222,125,126)	1.9908	None
Foxa1	Racgap1	-0.93967	50.48	-4.8E-01	rgb(112,153,235)	1.9908	None
Foxa1	Dus2	-0.93838	50.47	-4.7E-01	rgb(114,155,235)	1.9906	None
Foxa1	Pdlim1	-0.93838	50.47	-4.7E-01	rgb(115,155,235)	1.9906	None
Foxa1	Ptpn1	-0.93838	50.47	-4.7E-01	rgb(114,154,235)	1.9906	None
Foxa1	Zbp1	-0.93691	50.47	-4.7E-01	rgb(114,154,235)	1.9906	None
Foxa1	Abcb9	0.93565	50.46	0.46	rgb(222,129,130)	1.9904	None
Foxa1	Inpp4b	0.93565	50.46	0.455	rgb(222,130,131)	1.9904	None
Foxa1	Pard3	0.93439	50.46	0.46	rgb(222,129,130)	1.9904	None
Foxa1	Ust	-0.93439	50.46	-4.6E-01	rgb(118,157,234)	1.9904	None
