TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Nr4a1	Gadd45b	0.9935	50.74	0.743	rgb(225, 75, 77)	1.996	2,2
Nr4a1	Pcyt1a	0.9935	50.74	0.735	rgb(225, 77, 78)	1.996	None
Nr4a1	Hilpda	0.98855	50.69	0.689	rgb(225, 85, 87)	1.995	None
Nr4a1	Ramp3	0.98724	50.68	0.682	rgb(225, 87, 88)	1.9948	None
Nr4a1	Csf2	0.98406	50.66	0.66	rgb(224, 91, 92)	1.9944	2,2
Nr4a1	Ggh	0.98406	50.66	0.66	rgb(224, 91, 92)	1.9944	None
Nr4a1	Med12l	-0.98327	50.66	-6.6E-01	rgb( 75,130,242)	1.9944	None
Nr4a1	Igsf5	0.98249	50.65	0.645	rgb(224, 94, 95)	1.9942	None
Nr4a1	Pde1c	0.98146	50.65	0.647	rgb(224, 93, 95)	1.9942	2,2
Nr4a1	Pms2	-0.98035	50.64	-6.4E-01	rgb( 78,132,241)	1.994	None
Nr4a1	C2	0.97853	50.63	0.633	rgb(224, 96, 97)	1.9938	None
Nr4a1	Acoxl	0.97766	50.63	0.628	rgb(224, 97, 98)	1.9938	None
Nr4a1	Hsd11b1	0.97766	50.63	0.63	rgb(224, 97, 98)	1.9938	None
Nr4a1	Lyrm4	0.97666	50.62	0.623	rgb(224, 98, 99)	1.9936	None
Nr4a1	Zfyve16	0.97445	50.61	0.613	rgb(224,100,101)	1.9934	None
Nr4a1	Foxn3	0.97217	50.6	0.602	rgb(224,102,103)	1.9932	None
Nr4a1	Gramd1b	0.97217	50.6	0.598	rgb(224,103,104)	1.9932	None
Nr4a1	Atp8a2	0.96856	50.59	0.595	rgb(224,103,105)	1.993	None
Nr4a1	Calm1	0.96619	50.58	0.585	rgb(223,105,106)	1.9928	None
Nr4a1	Ccl9	-0.96619	50.58	-5.8E-01	rgb( 91,140,239)	1.9928	2,2
Nr4a1	Elmo1	0.96469	50.57	0.568	rgb(223,109,110)	1.9926	None
Nr4a1	Med13l	-0.96102	50.56	-5.6E-01	rgb( 95,143,238)	1.9924	None
Nr4a1	Dkk3	0.95838	50.55	0.547	rgb(223,113,114)	1.9922	None
Nr4a1	Myl4	0.95592	50.54	0.542	rgb(223,113,115)	1.992	None
Nr4a1	Tnfsf10	0.95592	50.54	0.539	rgb(223,114,115)	1.992	None
Nr4a1	Dthd1	0.95347	50.53	0.526	rgb(223,117,118)	1.9918	None
Nr4a1	Nrde2	0.9522	50.52	0.524	rgb(223,117,118)	1.9916	None
Nr4a1	Sntb2	0.9522	50.52	0.521	rgb(223,118,119)	1.9916	None
Nr4a1	M6pr	0.95041	50.52	0.518	rgb(223,118,119)	1.9916	None
Nr4a1	Ptprj	-0.95041	50.52	-5.2E-01	rgb(104,148,237)	1.9916	2,2
Nr4a1	Nckap5	0.94899	50.51	0.508	rgb(223,120,121)	1.9914	None
Nr4a1	Tap1	-0.94763	50.51	-5.1E-01	rgb(107,150,236)	1.9914	None
Nr4a1	Bace2	0.94522	50.5	0.5	rgb(222,122,123)	1.9912	None
Nr4a1	Ralgps2	0.944	50.49	0.493	rgb(222,123,124)	1.991	None
Nr4a1	Soat2	0.944	50.49	0.491	rgb(222,123,124)	1.991	None
Nr4a1	Mgat5	0.94246	50.49	0.494	rgb(222,123,124)	1.991	None
Nr4a1	Frmd5	0.94095	50.48	0.482	rgb(222,125,126)	1.9908	None
Nr4a1	Mynn	0.93967	50.48	0.482	rgb(222,125,126)	1.9908	None
Nr4a1	Myo10	-0.93691	50.47	-4.7E-01	rgb(116,156,235)	1.9906	None
Nr4a1	Rnf130	0.93565	50.46	0.462	rgb(222,129,130)	1.9904	None
Nr4a1	Hs6st2	0.93183	50.45	0.448	rgb(222,131,132)	1.9902	None
Nr4a1	Mthfd2l	-0.93027	50.44	-4.4E-01	rgb(122,159,234)	1.99	None
Nr4a1	Smox	-0.92777	50.43	-4.3E-01	rgb(123,160,233)	1.9898	None
Nr4a1	Zfp770	0.92777	50.43	0.427	rgb(222,135,136)	1.9898	None
Nr4a1	Mical3	-0.92544	50.42	-4.2E-01	rgb(125,161,233)	1.9896	None
Nr4a1	Cdk2	-0.92431	50.42	-4.2E-01	rgb(126,162,233)	1.9896	None
Nr4a1	Ciapin1	-0.91758	50.39	-3.9E-01	rgb(133,166,232)	1.989	None
Nr4a1	Cxcl3	0.91758	50.39	0.385	rgb(221,143,144)	1.989	None
Nr4a1	Aldh1l1	0.91536	50.38	0.38	rgb(221,144,145)	1.9888	None
Nr4a1	Fam134b	0.91536	50.38	0.38	rgb(221,144,145)	1.9888	None
Nr4a1	Rad51b	0.91536	50.38	0.377	rgb(221,145,146)	1.9888	None
Nr4a1	Camk2d	0.90835	50.34	0.343	rgb(221,152,152)	1.988	None
Nr4a1	Ifi47	0.90664	50.33	0.329	rgb(221,154,155)	1.9878	None
Nr4a1	Lcp2	0.9058	50.32	0.316	rgb(220,157,157)	1.9876	None
Nr4a1	Fars2	0.90416	50.31	0.314	rgb(220,157,158)	1.9874	None
Nr4a1	Hadh	0.90416	50.31	0.307	rgb(220,158,159)	1.9874	None
Nr4a1	Polg2	0.90416	50.31	0.306	rgb(220,159,159)	1.9874	None
Nr4a1	Ptpn13	0.90416	50.31	0.31	rgb(220,158,158)	1.9874	None
Nr4a1	Ptprs	-0.89961	50.28	-2.8E-01	rgb(156,180,228)	1.9868	None
Nr4a1	Dlg5	0.89751	50.26	0.259	rgb(220,168,168)	1.9864	None
Nr4a1	Gm11981	0.89367	50.21	0.208	rgb(219,177,178)	1.9854	None
Nr4a1	Lfng	-0.89073	50.14	-2.1E-01	rgb(171,189,225)	1.984	None
Nr4a1	Itih5	-0.88704	49.67	-6.7E-01	rgb( 71,128,243)	1.9746	None
Nr4a1	Sntb1	0.88403	49.59	0.589	rgb(223,104,106)	1.973	None
Nr4a1	Irf1	0.88309	49.58	0.58	rgb(223,106,107)	1.9728	2,2
Nr4a1	Kif1b	0.88261	49.58	0.582	rgb(223,106,107)	1.9728	None
Nr4a1	Ddc	0.88138	49.56	0.564	rgb(223,109,110)	1.9724	None
Nr4a1	Tespa1	0.87911	49.54	0.538	rgb(223,114,115)	1.972	None
Nr4a1	Tg	0.87864	49.53	0.526	rgb(223,116,118)	1.9718	None
