TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Prdm1	Spns3	-0.99617	50.77	-7.7E-01	rgb( 51,116,246)	1.9966	None
Prdm1	Ezr	0.98724	50.68	0.681	rgb(224, 87, 88)	1.9948	None
Prdm1	Rpgrip1	-0.98563	50.67	-6.7E-01	rgb( 73,129,242)	1.9946	None
Prdm1	Grb7	0.97853	50.63	0.628	rgb(224, 97, 98)	1.9938	None
Prdm1	Phtf2	-0.97853	50.63	-6.3E-01	rgb( 80,134,241)	1.9938	None
Prdm1	Nrp1	-0.97666	50.62	-6.2E-01	rgb( 83,135,241)	1.9936	None
Prdm1	Slc38a6	-0.97666	50.62	-6.2E-01	rgb( 82,135,241)	1.9936	2,2
Prdm1	Osbpl8	0.97445	50.61	0.61	rgb(224,100,102)	1.9934	None
Prdm1	Sh3pxd2b	0.97445	50.61	0.614	rgb(224,100,101)	1.9934	None
Prdm1	Ndst1	0.97217	50.6	0.604	rgb(224,102,103)	1.9932	None
Prdm1	Rprm	0.97217	50.6	0.596	rgb(224,103,104)	1.9932	None
Prdm1	Dars2	-0.96737	50.58	-5.8E-01	rgb( 92,141,239)	1.9928	None
Prdm1	Lrrn2	0.96737	50.58	0.582	rgb(223,106,107)	1.9928	None
Prdm1	Nedd4	-0.96619	50.58	-5.8E-01	rgb( 92,141,239)	1.9928	None
Prdm1	Arhgap17	0.96469	50.57	0.574	rgb(223,107,108)	1.9926	None
Prdm1	Ephb6	-0.96469	50.57	-5.7E-01	rgb( 92,141,239)	1.9926	None
Prdm1	Arhgef6	-0.9634	50.57	-5.7E-01	rgb( 93,141,239)	1.9926	None
Prdm1	Cd164	0.9634	50.57	0.569	rgb(223,108,109)	1.9926	None
Prdm1	Tespa1	-0.9634	50.57	-5.7E-01	rgb( 94,142,239)	1.9926	None
Prdm1	Upp1	0.96212	50.56	0.558	rgb(223,110,112)	1.9924	None
Prdm1	Zbtb20	-0.96102	50.56	-5.6E-01	rgb( 96,144,238)	1.9924	None
Prdm1	Gm1976	-0.95838	50.55	-5.5E-01	rgb( 97,144,238)	1.9922	None
Prdm1	Plxna2	0.95347	50.53	0.531	rgb(223,115,117)	1.9918	None
Prdm1	Rcsd1	-0.9522	50.52	-5.2E-01	rgb(104,148,237)	1.9916	None
Prdm1	Chst1	0.94899	50.51	0.513	rgb(223,119,120)	1.9914	None
Prdm1	Slc2a9	-0.94763	50.51	-5.1E-01	rgb(107,150,236)	1.9914	2,2
Prdm1	Tmem8b	-0.94763	50.51	-5.1E-01	rgb(107,150,236)	1.9914	None
Prdm1	Zfp704	-0.94522	50.5	-5.0E-01	rgb(108,151,236)	1.9912	None
Prdm1	S1pr3	0.944	50.49	0.49	rgb(222,123,124)	1.991	None
Prdm1	Aatk	-0.94246	50.49	-4.9E-01	rgb(110,152,236)	1.991	None
Prdm1	Lrp5	-0.94246	50.49	-4.9E-01	rgb(111,152,236)	1.991	None
Prdm1	Chd7	0.93967	50.48	0.483	rgb(222,125,126)	1.9908	None
Prdm1	Ccr6	-0.93691	50.47	-4.7E-01	rgb(115,155,235)	1.9906	None
Prdm1	Cdk14	0.93691	50.47	0.474	rgb(222,126,127)	1.9906	None
Prdm1	Cmas	0.93691	50.47	0.47	rgb(222,127,128)	1.9906	None
Prdm1	Fam155a	0.93565	50.46	0.456	rgb(222,130,131)	1.9904	None
Prdm1	Afap1	-0.93439	50.46	-4.6E-01	rgb(118,157,234)	1.9904	None
Prdm1	Slc27a1	-0.93439	50.46	-4.6E-01	rgb(117,156,234)	1.9904	None
Prdm1	Cyp2j6	0.93306	50.45	0.45	rgb(222,131,132)	1.9902	None
Prdm1	Ppp1r11	0.93306	50.45	0.448	rgb(222,132,132)	1.9902	None
Prdm1	Dyrk3	-0.93183	50.45	-4.5E-01	rgb(119,157,234)	1.9902	None
Prdm1	Parvb	-0.93183	50.45	-4.5E-01	rgb(119,157,234)	1.9902	None
Prdm1	Pla1a	-0.93183	50.45	-4.5E-01	rgb(119,158,234)	1.9902	None
Prdm1	Cd81	-0.92901	50.44	-4.4E-01	rgb(121,159,234)	1.99	2,2
Prdm1	Nfam1	-0.92901	50.44	-4.4E-01	rgb(121,159,234)	1.99	None
Prdm1	Slc7a6os	0.92663	50.43	0.428	rgb(222,135,136)	1.9898	None
