TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Rora	Ptges	0.99963	50.89	0.892	rgb(227, 47, 48)	1.999	None
Rora	Il7r	0.99892	50.83	0.829	rgb(226, 59, 60)	1.9978	None
Rora	C2	0.99846	50.83	0.83	rgb(226, 58, 60)	1.9978	None
Rora	Lztfl1	0.99846	50.82	0.824	rgb(226, 60, 61)	1.9976	None
Rora	Tunar	0.99846	50.83	0.835	rgb(226, 58, 59)	1.9978	None
Rora	Syk	-0.99804	50.81	-8.1E-01	rgb( 42,111,248)	1.9974	None
Rora	Fam83a	0.99735	50.8	0.798	rgb(226, 64, 66)	1.9972	None
Rora	Rnf13	0.99735	50.8	0.801	rgb(226, 64, 66)	1.9972	None
Rora	Slc16a3	-0.99735	50.8	-8.0E-01	rgb( 43,111,248)	1.9972	None
Rora	Serinc2	0.99651	50.78	0.777	rgb(226, 69, 70)	1.9968	None
Rora	Arhgap25	-0.99617	50.77	-7.7E-01	rgb( 49,115,246)	1.9966	None
Rora	Chd6	0.99617	50.77	0.768	rgb(225, 70, 72)	1.9966	None
Rora	Nrip1	0.99617	50.77	0.773	rgb(226, 69, 71)	1.9966	None
Rora	Rnf144b	0.99617	50.77	0.766	rgb(225, 71, 72)	1.9966	None
Rora	Pram1	0.99545	50.76	0.758	rgb(225, 72, 74)	1.9964	None
Rora	Msi2	0.9949	50.76	0.758	rgb(225, 72, 74)	1.9964	None
Rora	Rps6ka3	0.9949	50.76	0.761	rgb(225, 72, 73)	1.9964	None
Rora	Coq10b	0.99462	50.75	0.75	rgb(225, 74, 75)	1.9962	None
Rora	Trpv2	0.99462	50.75	0.752	rgb(225, 73, 75)	1.9962	None
Rora	Tube1	0.99385	50.74	0.739	rgb(225, 76, 77)	1.996	None
Rora	Chsy1	-0.9935	50.74	-7.4E-01	rgb( 56,119,245)	1.996	None
Rora	Slc38a1	0.99299	50.73	0.726	rgb(225, 78, 80)	1.9958	None
Rora	Nfatc2	0.9914	50.72	0.721	rgb(225, 79, 81)	1.9956	None
Rora	S100a1	0.9914	50.72	0.718	rgb(225, 80, 81)	1.9956	None
Rora	Ahcyl2	0.99084	50.71	0.707	rgb(225, 82, 83)	1.9954	None
Rora	Lrrc58	0.99084	50.71	0.707	rgb(225, 82, 83)	1.9954	None
Rora	Lrrc8c	-0.99084	50.71	-7.1E-01	rgb( 62,123,244)	1.9954	None
Rora	Pkp4	0.99039	50.71	0.714	rgb(225, 81, 82)	1.9954	None
Rora	Snx33	0.98909	50.7	0.697	rgb(225, 84, 85)	1.9952	None
Rora	Birc3	0.98855	50.69	0.693	rgb(225, 85, 86)	1.995	None
Rora	Grtp1	0.98788	50.69	0.686	rgb(225, 86, 87)	1.995	None
Rora	Tns4	0.98788	50.69	0.693	rgb(225, 85, 86)	1.995	None
Rora	Itgb2	-0.98724	50.68	-6.8E-01	rgb( 70,128,243)	1.9948	None
Rora	Myd88	-0.98724	50.68	-6.8E-01	rgb( 71,128,243)	1.9948	None
Rora	Abcc1	0.98563	50.67	0.67	rgb(224, 89, 90)	1.9946	None
Rora	Taf1d	0.98563	50.67	0.666	rgb(224, 90, 91)	1.9946	None
Rora	Tjp2	-0.98563	50.67	-6.7E-01	rgb( 72,129,242)	1.9946	None
Rora	Klhl9	0.98406	50.66	0.658	rgb(224, 91, 93)	1.9944	None
Rora	Smc4	0.98249	50.65	0.649	rgb(224, 93, 94)	1.9942	None
Rora	Mbtd1	0.98146	50.65	0.649	rgb(224, 93, 94)	1.9942	None
Rora	Dkk3	0.98035	50.64	0.645	rgb(224, 94, 95)	1.994	None
Rora	Gstm7	0.97945	50.64	0.643	rgb(224, 94, 96)	1.994	None
Rora	Plcxd2	0.97945	50.64	0.642	rgb(224, 94, 96)	1.994	None
Rora	Rcor1	0.97945	50.64	0.639	rgb(224, 95, 96)	1.994	None
Rora	Txndc16	0.97945	50.64	0.642	rgb(224, 94, 96)	1.994	None
Rora	Ddx60	0.97853	50.63	0.632	rgb(224, 96, 97)	1.9938	None
Rora	Peak1	-0.97853	50.63	-6.3E-01	rgb( 79,133,241)	1.9938	None
Rora	Malt1	-0.97666	50.62	-6.2E-01	rgb( 82,135,241)	1.9936	None
Rora	Filip1l	0.97546	50.62	0.617	rgb(224, 99,100)	1.9936	None
Rora	Rgs9	0.97445	50.61	0.611	rgb(224,100,102)	1.9934	None
Rora	Ncoa7	0.97325	50.61	0.607	rgb(224,101,102)	1.9934	None
Rora	Spice1	0.97325	50.61	0.609	rgb(224,101,102)	1.9934	None
Rora	Pnpla7	0.97217	50.6	0.596	rgb(224,103,104)	1.9932	None
Rora	Bicd1	0.971	50.6	0.598	rgb(224,103,104)	1.9932	None
Rora	Hilpda	0.96965	50.59	0.591	rgb(223,104,105)	1.993	None
Rora	Pdgfrb	0.96965	50.59	0.591	rgb(223,104,105)	1.993	None
Rora	Clcn3	0.96856	50.59	0.594	rgb(224,104,105)	1.993	None
Rora	Zfp810	0.96856	50.59	0.591	rgb(224,104,105)	1.993	None
Rora	Gjb2	0.96737	50.58	0.577	rgb(223,107,108)	1.9928	None
Rora	Kif13a	0.96737	50.58	0.579	rgb(223,106,108)	1.9928	None
Rora	Fam110b	0.96619	50.58	0.581	rgb(223,106,107)	1.9928	None
Rora	Pik3cb	0.96619	50.58	0.582	rgb(223,106,107)	1.9928	None
Rora	Zfp658	0.96619	50.58	0.579	rgb(223,106,108)	1.9928	None
Rora	Emb	0.96469	50.57	0.572	rgb(223,108,109)	1.9926	None
Rora	Ptk2	0.96469	50.57	0.568	rgb(223,109,110)	1.9926	None
Rora	Senp6	0.96469	50.57	0.572	rgb(223,108,109)	1.9926	None
Rora	Tmem37	-0.96469	50.57	-5.7E-01	rgb( 94,142,239)	1.9926	None
Rora	Fxn	-0.9634	50.57	-5.7E-01	rgb( 94,142,239)	1.9926	None
Rora	Gm766	0.9634	50.57	0.574	rgb(223,107,109)	1.9926	None
Rora	Prim1	-0.9634	50.57	-5.7E-01	rgb( 92,141,239)	1.9926	None
Rora	Cbfa2t3	-0.96212	50.56	-5.6E-01	rgb( 95,143,238)	1.9924	None
Rora	Grik5	0.96212	50.56	0.559	rgb(223,110,111)	1.9924	None
Rora	Golim4	0.96102	50.56	0.565	rgb(223,109,110)	1.9924	None
Rora	Rasgrp1	0.96102	50.56	0.557	rgb(223,111,112)	1.9924	None
Rora	Susd1	-0.96102	50.56	-5.6E-01	rgb( 95,143,238)	1.9924	None
Rora	Fam189a1	0.95977	50.55	0.551	rgb(223,112,113)	1.9922	None
Rora	Mvb12b	-0.95977	50.55	-5.5E-01	rgb( 97,144,238)	1.9922	None
Rora	Fam129a	0.95838	50.55	0.549	rgb(223,112,113)	1.9922	None
Rora	Ift80	0.95838	50.55	0.551	rgb(223,112,113)	1.9922	None
Rora	Klra14-ps	-0.95838	50.55	-5.5E-01	rgb( 97,144,238)	1.9922	2,2
Rora	Nf1	0.95838	50.55	0.551	rgb(223,112,113)	1.9922	None
Rora	St3gal3	0.95838	50.55	0.555	rgb(223,111,112)	1.9922	None
Rora	Camk4	0.95737	50.54	0.542	rgb(223,113,114)	1.992	None
Rora	Clec2d	-0.95737	50.54	-5.4E-01	rgb(100,146,238)	1.992	None
Rora	Eml5	0.95737	50.54	0.543	rgb(223,113,114)	1.992	None
Rora	Ccser2	0.95592	50.54	0.54	rgb(223,114,115)	1.992	None
Rora	Stx1a	0.95592	50.54	0.544	rgb(223,113,114)	1.992	None
Rora	Iltifb	0.95347	50.53	0.533	rgb(223,115,116)	1.9918	None
Rora	Leng9	0.95347	50.53	0.534	rgb(223,115,116)	1.9918	None
Rora	Plb1	0.95347	50.53	0.53	rgb(223,116,117)	1.9918	None
Rora	Plcb4	0.95347	50.53	0.532	rgb(223,115,116)	1.9918	None
Rora	Plcg2	0.95347	50.53	0.529	rgb(223,116,117)	1.9918	None
Rora	Tmem176b	0.95347	50.53	0.535	rgb(223,115,116)	1.9918	None
Rora	Arrdc4	0.9522	50.52	0.518	rgb(223,118,119)	1.9916	None
Rora	Rabgap1l	0.9522	50.52	0.524	rgb(223,117,118)	1.9916	None
Rora	Adam12	0.95041	50.52	0.52	rgb(223,118,119)	1.9916	None
Rora	Panx1	-0.95041	50.52	-5.2E-01	rgb(104,148,237)	1.9916	None
Rora	Sgce	-0.95041	50.52	-5.2E-01	rgb(105,149,237)	1.9916	None
Rora	Apobec1	0.94899	50.51	0.506	rgb(223,120,121)	1.9914	None
Rora	Csn3	0.94899	50.51	0.511	rgb(223,119,120)	1.9914	None
Rora	Ecm1	0.94763	50.51	0.508	rgb(223,120,121)	1.9914	None
Rora	Ldha	0.94763	50.51	0.505	rgb(223,120,121)	1.9914	None
Rora	Lrrc9	0.94763	50.51	0.507	rgb(223,120,121)	1.9914	None
Rora	Ppfia1	0.94763	50.51	0.511	rgb(223,119,120)	1.9914	None
Rora	Ryk	0.94654	50.5	0.503	rgb(223,121,122)	1.9912	None
Rora	Zfp414	0.94654	50.5	0.498	rgb(222,122,123)	1.9912	None
Rora	Azin1	0.944	50.49	0.493	rgb(222,123,124)	1.991	None
Rora	Fam195a	0.944	50.49	0.494	rgb(222,123,124)	1.991	None
Rora	Slc41a3	0.944	50.49	0.494	rgb(222,123,124)	1.991	None
Rora	Abcb1b	-0.94246	50.49	-5.7E-01	rgb( 92,141,239)	1.991	None
Rora	Hormad2	0.94246	50.49	0.489	rgb(222,124,125)	1.991	None
Rora	Kit	0.94246	50.49	0.493	rgb(222,123,124)	1.991	None
Rora	Lrp12	0.94246	50.49	0.485	rgb(222,124,125)	1.991	None
Rora	Slc6a13	0.94246	50.49	0.495	rgb(222,122,123)	1.991	None
Rora	Cep57l1	0.94095	50.48	0.482	rgb(222,125,126)	1.9908	None
Rora	Gpi1	-0.94095	50.48	-4.8E-01	rgb(112,153,235)	1.9908	None
Rora	Mmgt2	0.94095	50.48	0.481	rgb(222,125,126)	1.9908	None
Rora	Tmc3	0.94095	50.48	0.482	rgb(222,125,126)	1.9908	None
Rora	Nrp1	0.93967	50.48	0.482	rgb(222,125,126)	1.9908	None
Rora	Pde7b	0.93967	50.48	0.48	rgb(222,125,126)	1.9908	None
Rora	Hbegf	0.93838	50.47	0.468	rgb(222,128,129)	1.9906	None
Rora	Ly6a	-0.93838	50.47	-4.7E-01	rgb(115,155,235)	1.9906	None
Rora	Adprh	-0.93691	50.47	-4.7E-01	rgb(114,155,235)	1.9906	None
Rora	Nbn	0.93691	50.47	0.471	rgb(222,127,128)	1.9906	None
Rora	Nr1d1	0.93691	50.47	0.471	rgb(222,127,128)	1.9906	None
Rora	Kdelc2	0.93565	50.46	0.461	rgb(222,129,130)	1.9904	None
Rora	Sel1l3	0.93565	50.46	0.46	rgb(222,129,130)	1.9904	None
Rora	Unc13c	0.93565	50.46	0.463	rgb(222,129,129)	1.9904	None
Rora	Pxylp1	-0.93439	50.46	-4.6E-01	rgb(118,157,234)	1.9904	None
Rora	Clnk	0.93306	50.45	0.45	rgb(222,131,132)	1.9902	None
Rora	Ppp1r14c	0.93306	50.45	0.449	rgb(222,131,132)	1.9902	None
Rora	Serpinb1c	0.93306	50.45	0.448	rgb(222,131,132)	1.9902	None
Rora	Slc7a6os	0.93306	50.45	0.455	rgb(222,130,131)	1.9902	None
Rora	Ttll1	0.93306	50.45	0.45	rgb(222,131,132)	1.9902	None
Rora	Zfp516	0.93183	50.45	0.445	rgb(222,132,133)	1.9902	None
Rora	Ffar2	0.93027	50.44	0.435	rgb(222,134,135)	1.99	None
Rora	Impg1	0.93027	50.44	0.441	rgb(222,133,134)	1.99	None
Rora	Rprm	0.93027	50.44	0.443	rgb(222,132,133)	1.99	None
Rora	Cd81	0.92901	50.44	0.436	rgb(222,134,135)	1.99	None
Rora	Colgalt2	0.92901	50.44	0.439	rgb(222,133,134)	1.99	None
Rora	Dnah6	0.92777	50.43	0.428	rgb(222,135,136)	1.9898	None
Rora	Ncor1	0.92777	50.43	0.43	rgb(222,135,136)	1.9898	None
Rora	Ptprm	0.92777	50.43	0.426	rgb(222,136,137)	1.9898	None
Rora	Sell	-0.92777	50.43	-4.3E-01	rgb(124,160,233)	1.9898	None
Rora	Slc23a2	0.92777	50.43	0.43	rgb(222,135,136)	1.9898	None
Rora	Slc6a7	-0.92777	50.43	-4.4E-01	rgb(121,158,234)	1.9898	None
Rora	Gucy1a3	0.92663	50.43	0.427	rgb(222,135,136)	1.9898	None
Rora	Ackr3	0.92544	50.42	0.419	rgb(222,137,138)	1.9896	None
Rora	Pofut2	0.92544	50.42	0.416	rgb(222,137,138)	1.9896	None
Rora	Eprs	0.92431	50.42	0.419	rgb(222,137,138)	1.9896	None
Rora	Gm6225	0.92431	50.42	0.423	rgb(222,136,137)	1.9896	None
Rora	Npnt	0.92431	50.42	0.42	rgb(222,137,138)	1.9896	None
Rora	Tnfrsf25	0.92431	50.42	0.424	rgb(222,136,137)	1.9896	None
Rora	Cd2ap	0.92315	50.41	0.41	rgb(222,139,140)	1.9894	None
Rora	Pigl	0.92205	50.41	0.406	rgb(221,139,140)	1.9894	None
Rora	Hdc	-0.92075	50.4	-4.0E-01	rgb(130,164,232)	1.9892	None
Rora	Icam2	0.92075	50.4	0.398	rgb(221,141,142)	1.9892	None
Rora	Set	-0.92075	50.4	-4.0E-01	rgb(129,164,232)	1.9892	None
Rora	Trim25	-0.92075	50.4	-4.0E-01	rgb(130,164,232)	1.9892	None
Rora	Cdh20	0.91865	50.39	0.393	rgb(221,142,143)	1.989	None
Rora	Fam167a	0.91865	50.39	0.394	rgb(221,142,143)	1.989	None
Rora	Mthfd1l	-0.91865	50.39	-3.9E-01	rgb(132,165,232)	1.989	None
Rora	St8sia4	-0.91865	50.39	-3.9E-01	rgb(131,165,232)	1.989	None
