TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Atf5	Aim1l	-0.99545	50.76	-7.6E-01	rgb( 52,116,246)	1.9964	None
Atf5	Pitpnc1	-0.9935	50.74	-7.4E-01	rgb( 56,119,245)	1.996	None
Atf5	Reep3	0.9935	50.74	0.737	rgb(225, 76, 78)	1.996	None
Atf5	Alpk1	0.99205	50.72	0.723	rgb(225, 79, 80)	1.9956	None
Atf5	Sipa1	-0.99205	50.72	-7.2E-01	rgb( 60,122,244)	1.9956	None
Atf5	Ostf1	0.98855	50.69	0.693	rgb(225, 85, 86)	1.995	None
Atf5	Lrp1	0.98563	50.67	0.668	rgb(224, 89, 91)	1.9946	None
Atf5	Ciapin1	-0.98482	50.67	-6.7E-01	rgb( 72,129,242)	1.9946	None
Atf5	Rabl2	0.97666	50.62	0.621	rgb(224, 98,100)	1.9936	None
Atf5	Arhgap18	-0.96965	50.59	-5.9E-01	rgb( 90,140,239)	1.993	None
Atf5	Hn1l	0.96856	50.59	0.588	rgb(223,105,106)	1.993	None
Atf5	Rnf144a	0.96856	50.59	0.585	rgb(223,105,106)	1.993	None
Atf5	Ankrd44	-0.96737	50.58	-5.8E-01	rgb( 92,141,239)	1.9928	None
Atf5	Ppap2a	0.96469	50.57	0.566	rgb(223,109,110)	1.9926	2,2
Atf5	Pi4k2a	0.96212	50.56	0.563	rgb(223,109,111)	1.9924	None
Atf5	Tacstd2	0.95838	50.55	0.549	rgb(223,112,113)	1.9922	None
Atf5	Malt1	-0.95737	50.54	-5.4E-01	rgb(101,146,237)	1.992	None
Atf5	Abhd6	0.95347	50.53	0.528	rgb(223,116,117)	1.9918	None
Atf5	Rassf3	0.95041	50.52	0.518	rgb(223,118,119)	1.9916	None
Atf5	Gm16712	0.94899	50.51	0.506	rgb(223,120,121)	1.9914	None
Atf5	Acyp2	0.94763	50.51	0.514	rgb(223,119,120)	1.9914	None
Atf5	Bst2	0.94763	50.51	0.509	rgb(223,120,121)	1.9914	None
Atf5	Ptprc	-0.94763	50.51	-5.1E-01	rgb(106,150,236)	1.9914	None
Atf5	Cd82	0.94522	50.5	0.496	rgb(222,122,123)	1.9912	None
Atf5	Rpl32	0.944	50.49	0.486	rgb(222,124,125)	1.991	None
Atf5	Lrp12	0.94246	50.49	0.494	rgb(222,123,124)	1.991	None
Atf5	Ctsh	0.94095	50.48	0.485	rgb(222,124,125)	1.9908	None
Atf5	Msrb3	0.93967	50.48	0.485	rgb(222,124,125)	1.9908	None
Atf5	Ifi204	-0.93838	50.47	-4.7E-01	rgb(114,154,235)	1.9906	None
Atf5	Shb	0.93838	50.47	0.526	rgb(223,116,118)	1.9906	None
Atf5	Pde7b	0.93691	50.47	0.466	rgb(222,128,129)	1.9906	None
Atf5	Cd164	0.93439	50.46	0.456	rgb(222,130,131)	1.9904	None
Atf5	Sema3d	0.93306	50.45	0.451	rgb(222,131,132)	1.9902	None
Atf5	Plekha1	-0.93027	50.44	-4.4E-01	rgb(121,159,234)	1.99	None
Atf5	Fnbp1l	0.92901	50.44	0.444	rgb(222,132,133)	1.99	None
Atf5	Selplg	-0.92901	50.44	-4.4E-01	rgb(122,159,234)	1.99	None
Atf5	Adra1b	0.92663	50.43	0.43	rgb(222,135,136)	1.9898	None
Atf5	Ptger2	0.92663	50.43	0.431	rgb(222,135,136)	1.9898	None
Atf5	Tnip3	0.92663	50.43	0.435	rgb(222,134,135)	1.9898	None
Atf5	Klrd1	-0.92315	50.41	-4.1E-01	rgb(127,162,233)	1.9894	None
Atf5	Bcr	0.92205	50.41	0.409	rgb(221,139,140)	1.9894	None
Atf5	Blk	0.92205	50.41	0.407	rgb(221,139,140)	1.9894	None
Atf5	Khdrbs3	0.92205	50.41	0.414	rgb(222,138,139)	1.9894	None
Atf5	Arhgap32	0.92075	50.4	0.399	rgb(221,141,142)	1.9892	None
Atf5	Taf1d	0.91865	50.39	0.394	rgb(221,142,143)	1.989	None
Atf5	Hbegf	0.91672	50.38	0.384	rgb(221,144,144)	1.9888	None
Atf5	Synpo	0.91248	50.36	0.356	rgb(221,149,150)	1.9884	None
Atf5	Otulin	-0.90975	50.35	-3.5E-01	rgb(142,171,230)	1.9882	None
Atf5	Slc38a1	0.90835	50.34	0.342	rgb(221,152,152)	1.988	None
Atf5	Dars2	0.90746	50.33	0.334	rgb(221,153,154)	1.9878	None
Atf5	Mpp6	-0.90746	50.33	-3.3E-01	rgb(146,174,229)	1.9878	None
Atf5	Xcl1	-0.90664	50.33	-3.3E-01	rgb(146,174,230)	1.9878	None
Atf5	Itga2	-0.9058	50.32	-3.2E-01	rgb(148,175,229)	1.9876	None
Atf5	Rcn1	-0.90416	50.31	-3.1E-01	rgb(150,176,229)	1.9874	None
Atf5	Fbxl21	0.90354	50.31	0.31	rgb(220,158,158)	1.9874	None
Atf5	Plcb2	-0.9015	50.29	-2.9E-01	rgb(153,178,228)	1.987	None
Atf5	Cntln	0.89961	50.28	0.283	rgb(220,163,163)	1.9868	None
Atf5	Flrt2	0.89961	50.28	0.281	rgb(220,163,164)	1.9868	None
Atf5	Hopx	-0.89961	50.28	-2.8E-01	rgb(156,180,228)	1.9868	None
Atf5	Idi2	0.89807	50.26	0.261	rgb(220,167,168)	1.9864	None
Atf5	Tango6	0.89751	50.26	0.257	rgb(220,168,169)	1.9864	None
Atf5	Pla1a	0.89662	50.25	0.327	rgb(221,155,155)	1.9862	None
Atf5	Plek	-0.89662	50.25	-2.5E-01	rgb(162,184,227)	1.9862	None
Atf5	Ramp3	0.89618	50.24	0.271	rgb(220,165,166)	1.986	None
Atf5	Zdhhc15	-0.89533	50.23	-2.3E-01	rgb(168,187,226)	1.9858	None
Atf5	Plin2	0.89399	50.21	0.213	rgb(219,176,177)	1.9854	None
Atf5	Tlr1	0.89302	50.2	0.203	rgb(219,178,179)	1.9852	None
Atf5	Mvb12a	-0.89247	50.19	-3.5E-01	rgb(141,171,230)	1.985	None
Atf5	Cd244	-0.89194	50.17	-1.7E-01	rgb(181,195,223)	1.9846	None
Atf5	Icam1	0.88992	50.09	0.111	rgb(218,196,196)	1.983	None
Atf5	Dstn	-0.88905	50.05	-5.4E-02	rgb(205,210,219)	1.9822	None
Atf5	Tube1	0.88828	49.78	0.785	rgb(226, 67, 69)	1.9768	None
Atf5	Slc11a2	-0.88724	49.66	-6.6E-01	rgb( 73,130,242)	1.9744	None
Atf5	Tmsb15a	0.88403	49.59	0.585	rgb(223,105,106)	1.973	None
Atf5	Enpp6	-0.87999	49.55	-5.5E-01	rgb( 99,145,238)	1.9722	None
Atf5	Fam83a	0.87075	49.47	0.474	rgb(222,126,127)	1.9706	None
Atf5	Mmp23	0.86457	49.43	0.427	rgb(222,135,136)	1.9698	2,2
Atf5	Tcf4	0.86396	49.41	0.407	rgb(221,139,140)	1.9694	None
Atf5	Prss30	0.86315	49.42	0.417	rgb(222,137,138)	1.9696	None
Atf5	Ebi3	0.86261	49.4	0.404	rgb(221,140,141)	1.9692	None
Atf5	Fmnl2	0.86208	49.41	0.407	rgb(221,139,140)	1.9694	None
Atf5	Cand2	0.86075	49.4	0.397	rgb(221,141,142)	1.9692	None
Atf5	Serpinb1a	0.85594	49.34	0.343	rgb(221,151,152)	1.968	None
Atf5	Slco3a1	0.85344	49.32	0.401	rgb(221,140,141)	1.9676	None
Atf5	Ifng	-0.85146	49.3	-3.0E-01	rgb(152,178,228)	1.9672	None
Atf5	Chsy1	-0.85065	49.29	-2.9E-01	rgb(153,178,228)	1.967	None
Atf5	Sh2d1b1	-0.84967	49.28	-5.3E-01	rgb(103,148,237)	1.9668	None
Atf5	Olfr288	0.84883	49.27	0.311	rgb(220,158,158)	1.9666	None
Atf5	Arhgap35	0.84561	49.21	0.208	rgb(219,177,178)	1.9654	None
Atf5	Sh3kbp1	0.84495	49.2	0.203	rgb(219,178,179)	1.9652	None
Atf5	Prickle1	0.8447	49.19	0.195	rgb(219,180,180)	1.965	None
Atf5	Man2a2	0.84084	49.05	0.049	rgb(218,208,208)	1.9622	None
Atf5	Gria3	0.83937	48.66	0.664	rgb(224, 90, 91)	1.9543	None
Atf5	Lrrk1	-0.83917	49.1	-9.7E-02	rgb(196,204,221)	1.9632	None
Atf5	Gstm5	0.83819	49.03	0.029	rgb(217,212,212)	1.9618	None
Atf5	Eif4e	-0.83663	48.56	-5.6E-01	rgb( 94,142,238)	1.9523	None
Atf5	Rgs2	-0.82859	48.46	-4.6E-01	rgb(117,156,235)	1.9503	None
Atf5	Ccl17	0.82565	48.47	0.473	rgb(222,127,128)	1.9505	None
Atf5	Vipr2	0.82347	48.41	0.406	rgb(221,139,140)	1.9493	None
Atf5	Tnfsf8	0.82194	48.43	0.428	rgb(222,135,136)	1.9497	None
Atf5	Tbck	0.82139	48.39	0.388	rgb(221,143,144)	1.9489	None
Atf5	March3	0.8174	48.39	0.394	rgb(221,142,142)	1.9489	None
Atf5	Samd9l	-0.8127	48.34	-3.4E-01	rgb(143,172,230)	1.9479	2,2
Atf5	Mtmr7	0.81114	48.28	0.283	rgb(220,163,163)	1.9467	None
Atf5	Ppm1l	0.80768	48.23	0.226	rgb(219,174,174)	1.9457	None
Atf5	Mbd2	-0.80656	48.21	-2.1E-01	rgb(171,189,225)	1.9453	None
Atf5	Plag1	0.80575	48.2	0.202	rgb(219,178,179)	1.9451	None
