TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Foxc2	Bcl2a1d	0.99877	50.84	0.844	rgb(226, 56, 57)	1.998	None
Foxc2	Gdi2	0.99586	50.77	0.775	rgb(226, 69, 71)	1.9966	None
Foxc2	Pde4d	0.98909	50.7	0.704	rgb(225, 83, 84)	1.9952	None
Foxc2	Smco4	-0.98909	50.7	-7.0E-01	rgb( 66,125,243)	1.9952	None
Foxc2	Elovl5	0.98788	50.69	0.691	rgb(225, 85, 86)	1.995	None
Foxc2	Kit	0.98788	50.69	0.694	rgb(225, 84, 86)	1.995	None
Foxc2	Hsd11b1	-0.98665	50.68	-6.8E-01	rgb( 70,128,243)	1.9948	None
Foxc2	Cage1	0.98482	50.67	0.671	rgb(224, 89, 90)	1.9946	None
Foxc2	Fads1	0.98327	50.66	0.661	rgb(224, 91, 92)	1.9944	None
Foxc2	Fryl	0.98327	50.66	0.664	rgb(224, 90, 92)	1.9944	None
Foxc2	Rb1	0.98327	50.66	0.665	rgb(224, 90, 91)	1.9944	None
Foxc2	Stab2	-0.98327	50.66	-6.6E-01	rgb( 73,129,242)	1.9944	None
Foxc2	Il18rap	0.98146	50.65	0.65	rgb(224, 93, 94)	1.9942	None
Foxc2	Prkag2	-0.98146	50.65	-6.5E-01	rgb( 77,132,242)	1.9942	None
Foxc2	Sla	-0.97945	50.64	-6.4E-01	rgb( 78,133,241)	1.994	None
Foxc2	Tiprl	0.97945	50.64	0.636	rgb(224, 96, 97)	1.994	None
Foxc2	Zfp800	0.97945	50.64	0.643	rgb(224, 94, 96)	1.994	None
Foxc2	Ern1	0.97766	50.63	0.629	rgb(224, 97, 98)	1.9938	None
Foxc2	Serpinb1a	0.97766	50.63	0.634	rgb(224, 96, 97)	1.9938	None
Foxc2	Impa1	-0.97546	50.62	-6.2E-01	rgb( 83,136,240)	1.9936	None
Foxc2	Sema6d	0.97546	50.62	0.615	rgb(224, 99,101)	1.9936	None
Foxc2	Acvr2a	0.97325	50.61	0.611	rgb(224,100,101)	1.9934	None
Foxc2	Vgll4	0.97325	50.61	0.606	rgb(224,101,102)	1.9934	None
Foxc2	Lpin1	0.971	50.6	0.604	rgb(224,102,103)	1.9932	None
