TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Tgif1	1700012B07Rik	0.39356	37.07	0.07	rgb(218,204,204)	1.7223	2,2
Vdr	1700012B07Rik	0.53632	41.16	0.16	rgb(219,186,187)	1.8042	2,2
Irf7	2010300C02Rik	0.70485	45.4	0.4	rgb(221,141,141)	1.8891	2,2
Maf	2010300C02Rik	0.041025	30.2	0.203	rgb(219,178,179)	1.5847	2,2
Irf7	4930503L19Rik	0.77664	47.37	0.366	rgb(221,147,148)	1.9285	2,2
Nr2f6	4930503L19Rik	0.22583	33.31	0.307	rgb(220,158,159)	1.647	2,2
Vdr	4930503L19Rik	0.8433	49.15	0.148	rgb(219,189,189)	1.9642	2,2
Maf	6330403A02Rik	0.21865	34.12	0.123	rgb(218,194,194)	1.6632	2,2
Nr2f6	6330403A02Rik	0.43993	38.15	0.15	rgb(219,188,189)	1.7439	2,2
Maf	AI661453	0.060128	31.23	0.231	rgb(220,173,173)	1.6053	2,2
Tgif1	AI661453	0.81686	48.34	0.342	rgb(221,152,152)	1.9479	2,2
Maf	Abi3bp	0.95347	50.53	0.525	rgb(223,117,118)	1.9918	None
Nr2f6	Abi3bp	0.85788	49.36	0.362	rgb(221,148,149)	1.9684	None
Bcl6	Ablim3	0.68294	44.41	0.409	rgb(221,139,140)	1.8692	None
Nr2f6	Ablim3	0.8107	48.32	0.324	rgb(221,155,156)	1.9475	None
Vdr	Ablim3	0.85014	49.3	0.299	rgb(220,160,161)	1.9672	None
Bcl6	Ackr3	0.70319	45.24	0.244	rgb(220,170,171)	1.8859	None
Nr2f6	Ackr3	0.96212	50.56	0.561	rgb(223,110,111)	1.9924	None
Bcl6	Acoxl	0.52063	40.42	0.421	rgb(222,137,137)	1.7893	None
Maf	Acoxl	0.3515	36.13	0.127	rgb(218,193,193)	1.7034	None
Bcl6	Acpp	0.41865	38.22	0.215	rgb(219,176,176)	1.7453	None
Maf	Acpp	0.99545	50.76	0.761	rgb(225, 72, 73)	1.9964	None
Bcl6	Acsf2	0.49397	40.11	0.105	rgb(218,197,197)	1.7831	None
Maf	Acsf2	0.89533	50.23	0.232	rgb(220,173,173)	1.9858	None
Tgif1	Acsf2	0.97325	50.61	0.607	rgb(224,101,102)	1.9934	None
Bcl6	Actn2	0.99907	50.85	0.848	rgb(226, 55, 57)	1.9982	None
Vdr	Actn2	0.98976	50.7	0.701	rgb(225, 83, 84)	1.9952	None
Irf7	Actrt3	0.56586	41.5	0.497	rgb(222,122,123)	1.811	2,2
Maf	Actrt3	0.92663	50.43	0.429	rgb(222,135,136)	1.9898	None
Nr2f6	Actrt3	0.93838	50.47	0.468	rgb(222,128,129)	1.9906	None
Bcl6	Acvr1	0.94899	50.51	0.514	rgb(223,119,120)	1.9914	None
Vdr	Acvr1	0.59573	42.4	0.4	rgb(221,141,141)	1.829	2,2
Bcl6	Acvr2a	0.90746	50.33	0.332	rgb(221,153,154)	1.9878	None
Tgif1	Acvr2a	0.48841	39.23	0.232	rgb(220,173,173)	1.7655	None
Bcl6	Acyp2	0.80575	48.2	0.195	rgb(219,180,180)	1.9451	None
Maf	Acyp2	0.94522	50.5	0.497	rgb(222,122,123)	1.9912	None
Maf	Adam12	0.31014	35.2	0.197	rgb(219,179,180)	1.6848	None
Nr2f6	Adam12	0.7728	47.25	0.247	rgb(220,170,170)	1.9261	None
