TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Irf7	Arap2	0.78189	47.42	0.421	rgb(222,137,138)	1.9295	None
Nr2f6	Arap2	0.83958	48.67	0.666	rgb(224, 90, 91)	1.9545	None
Tgif1	Arap2	0.37764	37.25	0.253	rgb(220,169,169)	1.7259	None
Vdr	Arap2	0.037613	31.01	0.011	rgb(217,215,215)	1.6009	None
Bcl6	Arhgap26	0.7254	46.2	0.201	rgb(219,179,179)	1.9051	None
Irf7	Arhgap26	0.91672	50.38	0.378	rgb(221,145,146)	1.9888	None
Nr2f6	Arhgap26	0.81686	48.34	0.341	rgb(221,152,153)	1.9479	None
Tgif1	Arhgap26	0.54286	41.25	0.248	rgb(220,170,170)	1.806	None
Bcl6	Cd200r4	0.28208	35.24	0.242	rgb(220,171,171)	1.6856	None
Irf7	Cd200r4	0.80232	48.22	0.219	rgb(219,175,176)	1.9455	2,2
Maf	Cd200r4	0.89618	50.24	0.269	rgb(220,166,166)	1.986	None
Nr2f6	Cd200r4	0.99462	50.75	0.746	rgb(225, 74, 76)	1.9962	None
Bcl6	Cyp2j6	0.30368	35.12	0.116	rgb(218,195,195)	1.6832	None
Irf7	Cyp2j6	0.70897	45.44	0.437	rgb(222,134,134)	1.8899	None
Maf	Cyp2j6	0.95838	50.55	0.549	rgb(223,112,113)	1.9922	None
Nr2f6	Cyp2j6	0.90664	50.33	0.347	rgb(221,151,151)	1.9878	None
Bcl6	Fhl2	0.76536	47.05	0.045	rgb(217,208,208)	1.9221	None
Maf	Fhl2	0.93565	50.46	0.458	rgb(222,129,130)	1.9904	None
Nr2f6	Fhl2	0.48571	39.2	0.195	rgb(219,180,180)	1.7649	None
Vdr	Fhl2	0.63189	43.41	0.408	rgb(221,139,140)	1.8492	None
Bcl6	Fkbp1a	0.91144	50.36	0.36	rgb(221,148,149)	1.9884	None
Maf	Fkbp1a	0.27169	34.28	0.277	rgb(220,164,165)	1.6664	None
Nr2f6	Fkbp1a	0.1095	32.16	0.158	rgb(219,187,187)	1.6239	None
Vdr	Fkbp1a	0.85104	49.31	0.311	rgb(220,158,158)	1.9674	None
Bcl6	Gng2	0.56619	41.25	0.254	rgb(220,168,169)	1.806	None
Maf	Gng2	0.70154	45.22	0.22	rgb(219,175,176)	1.8855	None
Tgif1	Gng2	0.55682	41.07	0.066	rgb(218,204,205)	1.8024	None
Vdr	Gng2	0.54205	41.24	0.238	rgb(220,172,172)	1.8058	None
Irf7	Golim4	0.2146	34.05	0.055	rgb(218,207,207)	1.6618	None
Maf	Golim4	0.12507	32.27	0.271	rgb(220,165,166)	1.6262	None
Nr2f6	Golim4	0.91248	50.36	0.363	rgb(221,148,148)	1.9884	None
Vdr	Golim4	0.9058	50.32	0.323	rgb(221,155,156)	1.9876	None
Bcl6	Gpr183	0.30271	35.39	0.394	rgb(221,142,142)	1.6886	None
Maf	Gpr183	0.48084	39.42	0.417	rgb(222,137,138)	1.7693	None
Tgif1	Gpr183	0.8493	49.29	0.291	rgb(220,161,162)	1.967	None
Vdr	Gpr183	0.85594	49.34	0.335	rgb(221,153,154)	1.968	None
Irf7	Igf1r	0.89662	50.25	0.245	rgb(220,170,171)	1.9862	None
Maf	Igf1r	0.26592	35.05	0.045	rgb(217,208,208)	1.6818	None
Nr2f6	Igf1r	0.15251	32.14	0.139	rgb(219,190,191)	1.6235	None
Vdr	Igf1r	0.91248	50.36	0.36	rgb(221,148,149)	1.9884	None
Maf	Lamc1	0.97217	50.6	0.601	rgb(224,102,103)	1.9932	None
Nr2f6	Lamc1	0.033188	30.14	0.136	rgb(219,191,191)	1.5835	None
Tgif1	Lamc1	0.39663	37.13	0.13	rgb(218,192,192)	1.7235	None
