TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Tgif1	1700012B07Rik	0.39356	37.07	0.07	rgb(218,204,204)	1.7223	2,2
Vdr	1700012B07Rik	0.53632	41.16	0.16	rgb(219,186,187)	1.8042	2,2
Irf7	1810055G02Rik	0.64529	43.37	0.371	rgb(221,146,147)	1.8484	2,2
Irf7	1810058I24Rik	0.7101	45.45	0.447	rgb(222,132,132)	1.8901	2,2
Irf7	2010300C02Rik	0.70485	45.4	0.4	rgb(221,141,141)	1.8891	2,2
Maf	2010300C02Rik	0.041025	30.2	0.203	rgb(219,178,179)	1.5847	2,2
Bcl6	4833412C05Rik	0.027096	30.08	0.079	rgb(218,202,202)	1.5823	2,2
Maf	4921524J17Rik	0.093643	31.48	0.482	rgb(222,125,126)	1.6103	2,2
Irf7	4930503L19Rik	0.77664	47.37	0.366	rgb(221,147,148)	1.9285	2,2
Nr2f6	4930503L19Rik	0.22583	33.31	0.307	rgb(220,158,159)	1.647	2,2
Vdr	4930503L19Rik	0.8433	49.15	0.148	rgb(219,189,189)	1.9642	2,2
Bcl6	4930550C14Rik	0.85888	49.37	0.373	rgb(221,146,146)	1.9686	2,2
Tgif1	4930594C11Rik	0.78654	47.4	0.397	rgb(221,141,142)	1.9291	2,2
Maf	4933431E20Rik	0.43252	38.35	0.354	rgb(221,149,150)	1.7479	2,2
Maf	5830411N06Rik	0.75067	46.5	0.498	rgb(222,122,123)	1.9111	2,2
Maf	6330403A02Rik	0.21865	34.12	0.123	rgb(218,194,194)	1.6632	2,2
Nr2f6	6330403A02Rik	0.43993	38.15	0.15	rgb(219,188,189)	1.7439	2,2
Irf7	6430531B16Rik	0.32297	35.31	0.307	rgb(220,158,159)	1.687	2,2
Maf	6430571L13Rik	0.21284	34.02	0.019	rgb(217,213,213)	1.6612	2,2
Bcl6	9130015A21Rik	0.22529	34.19	0.185	rgb(219,182,182)	1.6646	2,2
Bcl6	A1bg	0.78568	47.39	0.389	rgb(221,143,144)	1.9289	None
Nr2f6	A4galt	0.65542	43.49	0.492	rgb(222,123,124)	1.8508	None
Bcl6	A930024E05Rik	0.51279	40.35	0.35	rgb(221,150,151)	1.7879	2,2
Maf	AI661453	0.060128	31.23	0.231	rgb(220,173,173)	1.6053	2,2
Tgif1	AI661453	0.81686	48.34	0.342	rgb(221,152,152)	1.9479	2,2
Irf7	Abcg1	0.57901	42.22	0.224	rgb(219,174,175)	1.8254	2,2
Tgif1	Abhd17c	0.22451	34.06	0.304	rgb(220,159,160)	1.662	None
Vdr	Abhd2	0.25146	34.06	0.055	rgb(218,206,207)	1.662	None
Irf7	Abi3	0.19279	33.34	0.336	rgb(221,153,154)	1.6476	2,2
Maf	Abi3bp	0.95347	50.53	0.525	rgb(223,117,118)	1.9918	None
Nr2f6	Abi3bp	0.85788	49.36	0.362	rgb(221,148,149)	1.9684	None
Bcl6	Ablim3	0.68294	44.41	0.409	rgb(221,139,140)	1.8692	None
Nr2f6	Ablim3	0.8107	48.32	0.324	rgb(221,155,156)	1.9475	None
Vdr	Ablim3	0.85014	49.3	0.299	rgb(220,160,161)	1.9672	None
Tgif1	Abr	0.59543	42.16	0.164	rgb(219,186,186)	1.8242	None
Tgif1	Acacb	0.90215	50.3	0.299	rgb(220,160,160)	1.9872	None
