TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Pa2g4	2010204K13Rik	0.6127	43.18	0.176	rgb(219,183,184)	1.8446	2,2
Prmt3	2010204K13Rik	0.21401	33.23	0.228	rgb(220,173,174)	1.6454	2,2
Pa2g4	2810004N23Rik	0.3256	36.19	0.192	rgb(219,180,181)	1.7046	2,2
Prmt3	2810004N23Rik	0.71142	45.34	0.34	rgb(221,152,153)	1.8879	2,2
Tfap4	2810004N23Rik	0.20929	33.19	0.187	rgb(219,181,182)	1.6446	2,2
Pa2g4	Aatf	0.95592	50.54	0.544	rgb(223,113,114)	1.992	2,2
Prmt3	Aatf	0.35263	36.15	0.146	rgb(219,189,189)	1.7038	2,2
Champ1	Alg3	0.045559	30.23	0.226	rgb(219,174,174)	1.5853	2,2
Pa2g4	Alg3	0.58188	41.43	0.425	rgb(222,136,137)	1.8096	2,2
Pa2g4	Ampd2	0.0062481	29.36	0.36	rgb(221,148,149)	1.5679	2,2
Tfap4	Ampd2	0.25028	34.04	0.11	rgb(218,196,196)	1.6616	2,2
Pa2g4	Atad3a	0.99039	50.71	0.708	rgb(225, 82, 83)	1.9954	2,2
Tfap4	Atad3a	0.14554	32.04	0.177	rgb(219,183,184)	1.6215	2,2
Pa2g4	Atic	0.48225	39.43	0.425	rgb(222,136,137)	1.7695	2,2
Tfap4	Atic	0.65757	44.3	0.303	rgb(220,159,160)	1.867	2,2
Champ1	BC048403	0.35586	36.19	0.194	rgb(219,180,180)	1.7046	2,2
Prmt3	BC048403	0.65918	43.6	0.598	rgb(224,103,104)	1.853	2,2
Champ1	Bag2	0.51488	40.37	0.446	rgb(222,132,133)	1.7883	2,2
Pa2g4	Bag2	0.29637	35.34	0.343	rgb(221,152,152)	1.6876	2,2
Pa2g4	C1qbp	0.97325	50.61	0.613	rgb(224,100,101)	1.9934	2,2
Prmt3	C1qbp	0.77719	47.3	0.514	rgb(223,119,120)	1.9271	2,2
Prmt3	Cdca7	0.15343	32.15	0.145	rgb(219,189,190)	1.6237	2,2
Tfap4	Cdca7	0.95977	50.55	0.545	rgb(223,113,114)	1.9922	2,2
Champ1	D030028A08Rik	0.86923	49.46	0.544	rgb(223,113,114)	1.9704	2,2
Pa2g4	D030028A08Rik	0.78654	47.4	0.4	rgb(221,141,141)	1.9291	2,2
Pa2g4	D19Bwg1357e	0.36549	36.28	0.276	rgb(220,164,165)	1.7064	2,2
Prmt3	D19Bwg1357e	0.98035	50.64	0.642	rgb(224, 94, 96)	1.994	2,2
Pa2g4	Dctd	0.41271	38.15	0.145	rgb(219,189,190)	1.7439	2,2
Prmt3	Dctd	0.32962	36.23	0.229	rgb(220,173,174)	1.7054	2,2
Tfap4	Dctd	0.74928	46.39	0.393	rgb(221,142,143)	1.9089	2,2
Prmt3	Ddx51	0.58562	41.47	0.47	rgb(222,127,128)	1.8104	2,2
Tfap4	Ddx51	0.35904	36.22	0.221	rgb(219,175,175)	1.7052	2,2
Champ1	Ecsit	0.53334	41.1	0.293	rgb(220,161,162)	1.803	2,2
Pa2g4	Ecsit	0.7792	47.32	0.394	rgb(221,142,143)	1.9275	2,2
Pa2g4	Erap1	0.68069	44.61	0.614	rgb(224,100,101)	1.8732	2,2
Prmt3	Erap1	0.64729	43.39	0.385	rgb(221,143,144)	1.8488	2,2
Pa2g4	Farsb	0.73892	46.27	0.266	rgb(220,166,167)	1.9065	2,2
Prmt3	Farsb	0.78244	47.36	0.364	rgb(221,147,148)	1.9283	2,2
Champ1	Gart	0.38817	37.34	0.335	rgb(221,153,154)	1.7277	2,2
Pa2g4	Gart	0.76161	47.17	0.492	rgb(222,123,124)	1.9245	2,2
Tfap4	Gart	0.35424	36.17	0.386	rgb(221,143,144)	1.7042	2,2
Pa2g4	Gnl3	0.64984	44.2	0.205	rgb(219,178,178)	1.865	2,2
Prmt3	Gnl3	0.80008	47.61	0.606	rgb(224,101,103)	1.9333	2,2
Pa2g4	Heatr3	0.74375	46.33	0.329	rgb(221,154,155)	1.9077	2,2
Prmt3	Heatr3	0.17597	33.23	0.227	rgb(219,174,174)	1.6454	2,2
Champ1	Ikbkap	0.54531	40.41	0.408	rgb(221,139,140)	1.7891	2,2
Prmt3	Ikbkap	0.51694	40.02	0.316	rgb(220,157,157)	1.7813	2,2
Champ1	Ipo5	0.86457	49.43	0.426	rgb(222,136,137)	1.9698	2,2
Pa2g4	Ipo5	0.96856	50.59	0.589	rgb(223,104,106)	1.993	2,2
Pa2g4	Kat2a	0.67317	44.46	0.463	rgb(222,129,130)	1.8702	2,2
Tfap4	Kat2a	0.86719	49.44	0.44	rgb(222,133,134)	1.97	2,2
Champ1	Lap3	0.035525	30.16	0.161	rgb(219,186,187)	1.5839	2,2
Pa2g4	Lap3	0.22583	33.31	0.307	rgb(220,158,159)	1.647	2,2
Champ1	Larp1	0.64984	44.2	0.197	rgb(219,179,180)	1.865	2,2
Pa2g4	Larp1	0.6076	42.33	0.469	rgb(222,127,128)	1.8276	2,2
Champ1	Lrpprc	0.46778	39.29	0.295	rgb(220,161,161)	1.7667	2,2
Pa2g4	Lrpprc	0.30578	35.15	0.147	rgb(219,189,189)	1.6838	2,2
Prmt3	Lrpprc	0.4802	39.41	0.415	rgb(222,138,139)	1.7691	2,2
Pa2g4	Mars2	0.32602	35.33	0.361	rgb(221,148,149)	1.6874	2,2
Tfap4	Mars2	0.83108	48.48	0.479	rgb(222,125,126)	1.9507	2,2
Champ1	Mdn1	0.4648	39.26	0.26	rgb(220,167,168)	1.7661	2,2
Pa2g4	Mdn1	0.95347	50.53	0.531	rgb(223,116,117)	1.9918	2,2
Champ1	Mrps2	0.11465	32.2	0.204	rgb(219,178,178)	1.6247	2,2
Pa2g4	Mrps2	0.42792	38.31	0.305	rgb(220,159,159)	1.7471	2,2
Pa2g4	Mthfd1	0.91672	50.38	0.385	rgb(221,144,144)	1.9888	2,2
Prmt3	Mthfd1	0.41669	38.2	0.209	rgb(219,177,177)	1.7449	2,2
Tfap4	Mthfd1	0.48841	39.23	0.265	rgb(220,166,167)	1.7655	2,2
Pa2g4	Nifk	0.63487	43.26	0.265	rgb(220,166,167)	1.8462	2,2
Prmt3	Nifk	0.22057	33.28	0.304	rgb(220,159,160)	1.6464	2,2
Pa2g4	Nop2	0.83108	48.48	0.485	rgb(222,124,125)	1.9507	2,2
Tfap4	Nop2	0.75067	46.5	0.498	rgb(222,122,123)	1.9111	2,2
Pa2g4	Npm1	0.53761	40.34	0.399	rgb(221,141,142)	1.7877	2,2
Prmt3	Npm1	0.54656	41.29	0.294	rgb(220,161,161)	1.8068	2,2
Prmt3	Nupl2	0.50154	39.36	0.361	rgb(221,148,149)	1.7681	2,2
Tfap4	Nupl2	0.70575	45.41	0.407	rgb(221,139,140)	1.8893	2,2
Champ1	Pa2g4	0.56323	41.46	0.461	rgb(222,129,130)	1.8102	2,2
Prmt3	Pa2g4	0.89751	50.26	0.467	rgb(222,128,129)	1.9864	2,2
Champ1	Per2	0.1095	32.16	0.16	rgb(219,186,187)	1.6239	2,2
Prmt3	Per2	0.24082	33.42	0.417	rgb(222,137,138)	1.6492	2,2
Prmt3	Polq	0.87417	49.49	0.578	rgb(223,107,108)	1.971	2,2
Tfap4	Polq	0.077314	31.33	0.326	rgb(221,155,155)	1.6073	2,2
Pa2g4	Polr1e	0.49813	39.33	0.33	rgb(221,154,155)	1.7675	2,2
Tfap4	Polr1e	0.35745	36.47	0.469	rgb(222,127,128)	1.7103	2,2
Champ1	Ppan	0.69791	45.33	0.328	rgb(221,154,155)	1.8877	2,2
Pa2g4	Ppan	0.46885	39.3	0.299	rgb(220,160,160)	1.7669	2,2
Prmt3	Ppan	0.11851	31.31	0.314	rgb(220,157,158)	1.6069	2,2
Pa2g4	Pus7	0.39374	37.08	0.084	rgb(218,201,201)	1.7225	2,2
Prmt3	Pus7	0.72505	45.5	0.496	rgb(222,122,123)	1.8911	2,2
Champ1	Rcc1	0.27831	34.33	0.329	rgb(221,154,155)	1.6674	2,2
Tfap4	Rcc1	0.81538	48.37	0.375	rgb(221,145,146)	1.9485	2,2
Champ1	Rnmtl1	0.98724	50.68	0.68	rgb(224, 87, 88)	1.9948	2,2
Prmt3	Rnmtl1	0.16306	32.23	0.227	rgb(219,174,174)	1.6254	2,2
Champ1	Rpap1	0.18883	32.42	0.423	rgb(222,136,137)	1.6292	2,2
Tfap4	Rpap1	0.067653	30.36	0.355	rgb(221,149,150)	1.5879	2,2
Pa2g4	Rpf2	0.93838	50.47	0.467	rgb(222,128,129)	1.9906	2,2
Prmt3	Rpf2	0.76973	47.3	0.3	rgb(220,160,160)	1.9271	2,2
Champ1	Rrp1b	0.77047	47.31	0.48	rgb(222,125,126)	1.9273	2,2
Pa2g4	Rrp1b	0.69316	45.28	0.28	rgb(220,163,164)	1.8867	2,2
Pa2g4	Rtcb	0.041025	30.2	0.198	rgb(219,179,179)	1.5847	2,2
Prmt3	Rtcb	0.48272	39.15	0.205	rgb(219,178,178)	1.7639	2,2
Champ1	Sdad1	0.016111	30.32	0.34	rgb(221,152,153)	1.5871	2,2
Pa2g4	Sdad1	0.71237	45.35	0.4	rgb(221,141,141)	1.8881	2,2
Prmt3	Telo2	0.41776	38.21	0.215	rgb(219,176,176)	1.7451	2,2
Tfap4	Telo2	0.76862	47.29	0.29	rgb(220,162,162)	1.9269	2,2
Pa2g4	Tomm5	0.66324	44.14	0.208	rgb(219,177,178)	1.8638	2,2
Prmt3	Tomm5	0.4191	37.36	0.359	rgb(221,148,149)	1.7281	2,2
Champ1	Tomm70a	0.46778	39.29	0.288	rgb(220,162,163)	1.7667	2,2
Pa2g4	Tomm70a	0.15698	32.18	0.207	rgb(219,177,178)	1.6243	2,2
Prmt3	Tomm70a	0.66848	44.41	0.414	rgb(222,138,139)	1.8692	2,2
Pa2g4	Trmt61a	0.47993	39.1	0.19	rgb(219,181,181)	1.7629	2,2
Prmt3	Trmt61a	0.16874	33.18	0.175	rgb(219,184,184)	1.6444	2,2
Tfap4	Trmt61a	0.46329	38.38	0.38	rgb(221,144,145)	1.7485	2,2
Champ1	Tsr1	0.79466	47.5	0.503	rgb(223,121,122)	1.9311	2,2
Pa2g4	Tsr1	0.34964	36.1	0.223	rgb(219,174,175)	1.7028	2,2
Pa2g4	Umps	0.55696	41.08	0.122	rgb(218,194,194)	1.8026	2,2
Prmt3	Umps	0.75026	46.4	0.405	rgb(221,140,141)	1.9091	2,2
Pa2g4	Utp20	0.88613	49.63	0.626	rgb(224, 97, 99)	1.9738	2,2
Prmt3	Utp20	0.086476	31.06	0.224	rgb(219,174,175)	1.6019	2,2
Prmt3	Vangl2	0.17085	32.28	0.276	rgb(220,164,165)	1.6264	2,2
Tfap4	Vangl2	0.47094	39.32	0.318	rgb(220,156,157)	1.7673	2,2
Pa2g4	Wdr46	0.67317	44.46	0.462	rgb(222,129,130)	1.8702	2,2
