TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Pa2g4	2810004N23Rik	0.3256	36.19	0.192	rgb(219,180,181)	1.7046	2,2
Prmt3	2810004N23Rik	0.71142	45.34	0.34	rgb(221,152,153)	1.8879	2,2
Tfap4	2810004N23Rik	0.20929	33.19	0.187	rgb(219,181,182)	1.6446	2,2
Pa2g4	Dctd	0.41271	38.15	0.145	rgb(219,189,190)	1.7439	2,2
Prmt3	Dctd	0.32962	36.23	0.229	rgb(220,173,174)	1.7054	2,2
Tfap4	Dctd	0.74928	46.39	0.393	rgb(221,142,143)	1.9089	2,2
Champ1	Gart	0.38817	37.34	0.335	rgb(221,153,154)	1.7277	2,2
Pa2g4	Gart	0.76161	47.17	0.492	rgb(222,123,124)	1.9245	2,2
Tfap4	Gart	0.35424	36.17	0.386	rgb(221,143,144)	1.7042	2,2
Champ1	Lrpprc	0.46778	39.29	0.295	rgb(220,161,161)	1.7667	2,2
Pa2g4	Lrpprc	0.30578	35.15	0.147	rgb(219,189,189)	1.6838	2,2
Prmt3	Lrpprc	0.4802	39.41	0.415	rgb(222,138,139)	1.7691	2,2
Pa2g4	Mthfd1	0.91672	50.38	0.385	rgb(221,144,144)	1.9888	2,2
Prmt3	Mthfd1	0.41669	38.2	0.209	rgb(219,177,177)	1.7449	2,2
Tfap4	Mthfd1	0.48841	39.23	0.265	rgb(220,166,167)	1.7655	2,2
Champ1	Ppan	0.69791	45.33	0.328	rgb(221,154,155)	1.8877	2,2
Pa2g4	Ppan	0.46885	39.3	0.299	rgb(220,160,160)	1.7669	2,2
Prmt3	Ppan	0.11851	31.31	0.314	rgb(220,157,158)	1.6069	2,2
Champ1	Tomm70a	0.46778	39.29	0.288	rgb(220,162,163)	1.7667	2,2
Pa2g4	Tomm70a	0.15698	32.18	0.207	rgb(219,177,178)	1.6243	2,2
Prmt3	Tomm70a	0.66848	44.41	0.414	rgb(222,138,139)	1.8692	2,2
Pa2g4	Trmt61a	0.47993	39.1	0.19	rgb(219,181,181)	1.7629	2,2
Prmt3	Trmt61a	0.16874	33.18	0.175	rgb(219,184,184)	1.6444	2,2
Tfap4	Trmt61a	0.46329	38.38	0.38	rgb(221,144,145)	1.7485	2,2
