TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Prmt3	1110004E09Rik	0.54322	40.39	0.395	rgb(221,142,142)	1.7887	2,2
Prmt3	1700028E10Rik	0.25788	34.45	0.453	rgb(222,130,131)	1.6698	2,2
Tfap4	2010016I18Rik	0.23054	34.23	0.233	rgb(220,172,173)	1.6654	2,2
Pa2g4	2010204K13Rik	0.6127	43.18	0.176	rgb(219,183,184)	1.8446	2,2
Prmt3	2010204K13Rik	0.21401	33.23	0.228	rgb(220,173,174)	1.6454	2,2
Tfap4	2310009B15Rik	0.40355	37.23	0.282	rgb(220,163,164)	1.7255	2,2
Champ1	2410016O06Rik	0.74808	46.38	0.435	rgb(222,134,135)	1.9087	2,2
Tfap4	2610301B20Rik	0.32602	35.33	0.333	rgb(221,153,154)	1.6874	2,2
Tfap4	2610318N02Rik	0.54868	40.45	0.516	rgb(223,118,119)	1.7899	2,2
Pa2g4	2810004N23Rik	0.3256	36.19	0.192	rgb(219,180,181)	1.7046	2,2
Prmt3	2810004N23Rik	0.71142	45.34	0.34	rgb(221,152,153)	1.8879	2,2
Tfap4	2810004N23Rik	0.20929	33.19	0.187	rgb(219,181,182)	1.6446	2,2
Tfap4	6030443J06Rik	0.82613	48.43	0.476	rgb(222,126,127)	1.9497	2,2
Pa2g4	9530091C08Rik	0.038189	30.18	0.183	rgb(219,182,182)	1.5843	2,2
Prmt3	A130010J15Rik	0.96856	50.59	0.588	rgb(223,105,106)	1.993	2,2
Champ1	AI506816	0.1179	32.22	0.225	rgb(219,174,175)	1.6252	2,2
Pa2g4	Aatf	0.95592	50.54	0.544	rgb(223,113,114)	1.992	2,2
Prmt3	Aatf	0.35263	36.15	0.146	rgb(219,189,189)	1.7038	2,2
Tfap4	Abcb8	0.53119	40.28	0.334	rgb(221,153,154)	1.7865	2,2
Champ1	Abcc1	0.14489	32.4	0.397	rgb(221,141,142)	1.6288	2,2
Prmt3	Abhd14a	0.33961	36.31	0.31	rgb(220,158,158)	1.707	2,2
Tfap4	Adamts5	0.4246	38.28	0.276	rgb(220,164,165)	1.7465	2,2
Prmt3	Adamts7	0.37206	36.33	0.334	rgb(221,153,154)	1.7074	2,2
Prmt3	Adi1	0.39182	37.37	0.37	rgb(221,146,147)	1.7283	2,2
Pa2g4	Aimp2	0.14445	32.03	0.033	rgb(217,211,211)	1.6213	2,2
Champ1	Alg3	0.045559	30.23	0.226	rgb(219,174,174)	1.5853	2,2
Pa2g4	Alg3	0.58188	41.43	0.425	rgb(222,136,137)	1.8096	2,2
Pa2g4	Ampd2	0.0062481	29.36	0.36	rgb(221,148,149)	1.5679	2,2
Tfap4	Ampd2	0.25028	34.04	0.11	rgb(218,196,196)	1.6616	2,2
Tfap4	Ankrd13b	0.44434	38.47	0.473	rgb(222,127,128)	1.7503	2,2
Champ1	Ankrd52	0.48674	39.21	0.206	rgb(219,178,178)	1.7651	2,2
