TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Mxi1	2510009E07Rik	0.10435	32.11	0.134	rgb(218,191,192)	1.6229	2,2
Zfp1	2510009E07Rik	0.86396	49.41	0.413	rgb(222,138,139)	1.9694	2,2
Mxi1	Dusp14	0.017716	30.33	0.33	rgb(221,154,155)	1.5873	2,2
Nme2	Dusp14	0.16756	32.26	0.264	rgb(220,167,167)	1.626	2,2
Dach2	Eef1b2	0.77315	47.34	0.336	rgb(221,153,154)	1.9279	2,2
Nme2	Eef1b2	0.63341	43.24	0.345	rgb(221,151,152)	1.8458	2,2
Zfp1	Eef1b2	0.91144	50.36	0.364	rgb(221,148,148)	1.9884	2,2
Dach2	Gnb2l1	0.65248	44.24	0.238	rgb(220,172,172)	1.8658	2,2
Mxi1	Gnb2l1	0.75796	46.75	0.751	rgb(225, 74, 75)	1.9161	2,2
Nme2	Gnb2l1	0.96965	50.59	0.589	rgb(223,104,106)	1.993	2,2
Zfp1	Gnb2l1	0.35263	36.15	0.155	rgb(219,187,188)	1.7038	2,2
Mxi1	Hlf	0.52222	40.17	0.174	rgb(219,184,184)	1.7843	2,2
Zfp1	Hlf	0.9522	50.52	0.523	rgb(223,117,118)	1.9916	2,2
Mxi1	Il3	0.72678	45.53	0.527	rgb(223,116,117)	1.8917	2,2
Zfp1	Il3	0.25558	34.13	0.127	rgb(218,193,193)	1.6634	2,2
Mxi1	Ldha	0.36549	36.28	0.285	rgb(220,163,163)	1.7064	2,2
Nme2	Ldha	0.93565	50.46	0.544	rgb(223,113,114)	1.9904	2,2
Nme2	Mmp25	0.74718	46.37	0.372	rgb(221,146,147)	1.9085	2,2
Zfp1	Mmp25	0.64854	43.4	0.398	rgb(221,141,142)	1.849	2,2
Nme2	Rexo2	0.971	50.6	0.596	rgb(224,103,104)	1.9932	2,2
Zfp1	Rexo2	0.63341	43.24	0.24	rgb(220,171,172)	1.8458	2,2
Mxi1	Rpl14	0.46232	38.37	0.367	rgb(221,147,148)	1.7483	2,2
Nme2	Rpl14	0.92901	50.44	0.551	rgb(223,112,113)	1.99	2,2
Mxi1	Rpl18	0.50252	39.37	0.373	rgb(221,146,146)	1.7683	2,2
Nme2	Rpl18	0.56812	41.54	0.537	rgb(223,114,116)	1.8118	2,2
Mxi1	Rpl18a	0.79388	47.58	0.61	rgb(224,100,102)	1.9327	2,2
Nme2	Rpl18a	0.75106	46.41	0.412	rgb(222,138,139)	1.9093	2,2
Mxi1	Rpl22	0.72909	45.61	0.615	rgb(224,100,101)	1.8933	2,2
Nme2	Rpl22	0.99385	50.74	0.738	rgb(225, 76, 78)	1.996	2,2
Mxi1	Rpl23	0.83707	48.57	0.646	rgb(224, 94, 95)	1.9525	2,2
Nme2	Rpl23	0.37373	36.34	0.355	rgb(221,149,150)	1.7076	2,2
Dach2	Rpl29	0.27552	35.18	0.18	rgb(219,183,183)	1.6844	2,2
Nme2	Rpl29	0.93967	50.48	0.477	rgb(222,126,127)	1.9908	2,2
Zfp1	Rpl29	0.26198	34.2	0.201	rgb(219,179,179)	1.6648	2,2
Dach2	Rpl31	0.14489	32.4	0.397	rgb(221,141,142)	1.6288	2,2
Nme2	Rpl31	0.85146	49.3	0.304	rgb(220,159,159)	1.9672	2,2
Mxi1	Rpl32	0.22583	33.31	0.307	rgb(220,158,159)	1.647	2,2
Nme2	Rpl32	0.23462	33.37	0.37	rgb(221,146,147)	1.6482	2,2
Mxi1	Rpl37	0.095061	31.16	0.329	rgb(221,154,155)	1.6039	2,2
Nme2	Rpl37	0.70897	45.44	0.444	rgb(222,132,133)	1.8899	2,2
Mxi1	Rpl38	0.44933	38.61	0.613	rgb(224,100,101)	1.7531	2,2
Nme2	Rpl38	0.3485	36.38	0.376	rgb(221,145,146)	1.7085	2,2
Dach2	Rpl4	0.64476	44.06	0.059	rgb(218,206,206)	1.8622	2,2
Mxi1	Rpl4	0.43211	37.55	0.549	rgb(223,112,113)	1.7319	2,2
Nme2	Rpl4	0.98563	50.67	0.671	rgb(224, 89, 90)	1.9946	2,2
Zfp1	Rpl4	0.73579	46.21	0.211	rgb(219,177,177)	1.9053	2,2
Mxi1	Rpl41	0.50586	39.4	0.4	rgb(221,141,141)	1.7689	2,2
Nme2	Rpl41	0.96212	50.56	0.558	rgb(223,111,112)	1.9924	2,2
Mxi1	Rpl7	0.55475	41.37	0.373	rgb(221,146,146)	1.8084	2,2
Nme2	Rpl7	0.78945	47.51	0.513	rgb(223,119,120)	1.9313	2,2
