TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Dach2	Eef1b2	0.77315	47.34	0.336	rgb(221,153,154)	1.9279	2,2
Nme2	Eef1b2	0.63341	43.24	0.345	rgb(221,151,152)	1.8458	2,2
Zfp1	Eef1b2	0.91144	50.36	0.364	rgb(221,148,148)	1.9884	2,2
Dach2	Gnb2l1	0.65248	44.24	0.238	rgb(220,172,172)	1.8658	2,2
Mxi1	Gnb2l1	0.75796	46.75	0.751	rgb(225, 74, 75)	1.9161	2,2
Nme2	Gnb2l1	0.96965	50.59	0.589	rgb(223,104,106)	1.993	2,2
Zfp1	Gnb2l1	0.35263	36.15	0.155	rgb(219,187,188)	1.7038	2,2
Dach2	Rpl29	0.27552	35.18	0.18	rgb(219,183,183)	1.6844	2,2
Nme2	Rpl29	0.93967	50.48	0.477	rgb(222,126,127)	1.9908	2,2
Zfp1	Rpl29	0.26198	34.2	0.201	rgb(219,179,179)	1.6648	2,2
Dach2	Rpl4	0.64476	44.06	0.059	rgb(218,206,206)	1.8622	2,2
Mxi1	Rpl4	0.43211	37.55	0.549	rgb(223,112,113)	1.7319	2,2
Nme2	Rpl4	0.98563	50.67	0.671	rgb(224, 89, 90)	1.9946	2,2
Zfp1	Rpl4	0.73579	46.21	0.211	rgb(219,177,177)	1.9053	2,2
Dach2	Rps15	0.77195	47.24	0.353	rgb(221,149,150)	1.9259	2,2
Mxi1	Rps15	0.066656	31.27	0.269	rgb(220,166,166)	1.6061	2,2
Nme2	Rps15	0.86859	49.45	0.525	rgb(223,117,118)	1.9702	2,2
Zfp1	Rps15	0.39476	37.1	0.104	rgb(218,197,197)	1.7229	2,2
Mxi1	Rps3	0.72909	45.61	0.614	rgb(224,100,101)	1.8933	2,2
Nme2	Rps3	0.61206	42.4	0.397	rgb(221,141,142)	1.829	2,2
Zfp1	Rps3	0.15251	32.14	0.139	rgb(219,190,191)	1.6235	2,2
