TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Nme2	1500012F01Rik	0.25312	34.09	0.093	rgb(218,199,199)	1.6626	2,2
Zfp1	1700061F12Rik	0.37825	36.38	0.379	rgb(221,145,145)	1.7085	2,2
Mxi1	2510009E07Rik	0.10435	32.11	0.134	rgb(218,191,192)	1.6229	2,2
Zfp1	2510009E07Rik	0.86396	49.41	0.413	rgb(222,138,139)	1.9694	2,2
Mxi1	2700060E02Rik	0.48411	39.18	0.177	rgb(219,183,184)	1.7645	2,2
Zfp1	3110062M04Rik	0.59261	42.37	0.371	rgb(221,146,147)	1.8284	2,2
Zfp1	4921529L05Rik	0.28755	35.28	0.28	rgb(220,164,164)	1.6864	2,2
Dach2	4930404I05Rik	0.23208	34.24	0.239	rgb(220,171,172)	1.6656	2,2
Zfp1	4930562F07Rik	0.023247	30.37	0.369	rgb(221,147,147)	1.5881	2,2
Dach2	9230102O04Rik	0.57409	42.14	0.144	rgb(219,190,190)	1.8238	2,2
Zfp1	A430090L17Rik	0.24713	34.35	0.349	rgb(221,150,151)	1.6678	2,2
Zfp1	Aarsd1	0.29863	35.02	0.024	rgb(217,212,212)	1.6812	2,2
Nme2	Abhd14a	0.35813	36.21	0.211	rgb(219,177,177)	1.705	2,2
Nme2	Acbd7	0.88309	49.58	0.583	rgb(223,106,107)	1.9728	2,2
Nme2	Acer2	0.031458	30.45	0.451	rgb(222,131,132)	1.5897	2,2
Zfp1	Adam19	0.7728	47.25	0.247	rgb(220,170,170)	1.9261	None
Zfp1	Adrb2	0.92901	50.44	0.442	rgb(222,133,134)	1.99	None
Zfp1	Aff4	0.58839	42.33	0.329	rgb(221,154,155)	1.8276	2,2
Zfp1	Aimp1	0.73892	46.27	0.267	rgb(220,166,167)	1.9065	2,2
Nme2	Aprt	0.74506	46.43	0.432	rgb(222,134,135)	1.9097	2,2
Dach2	Arhgef10l	0.12127	32.24	0.236	rgb(220,172,172)	1.6256	2,2
Zfp1	Arid5b	0.76639	47.26	0.262	rgb(220,167,167)	1.9263	None
Mxi1	Atg16l2	0.19213	32.45	0.447	rgb(222,132,133)	1.6298	2,2
Dach2	B430212C06Rik	0.076784	30.44	0.438	rgb(222,133,134)	1.5895	2,2
Mxi1	Bambi	0.36089	36.24	0.242	rgb(220,171,171)	1.7056	2,2
