TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
E2f6	1700061F12Rik	0.8715	49.47	0.47	rgb(222,127,128)	1.9706	2,2
Klf5	1700061F12Rik	0.84434	49.23	0.227	rgb(220,174,174)	1.9658	2,2
E2f1	Acsl3	0.87864	49.53	0.533	rgb(223,115,116)	1.9718	None
E2f6	Acsl3	0.84523	49.24	0.238	rgb(220,172,172)	1.966	None
Klf5	Acsl3	0.72133	46.1	0.104	rgb(218,197,197)	1.9031	None
E2f1	Adcy3	0.7442	46.42	0.424	rgb(222,136,137)	1.9095	None
Klf5	Adcy3	0.7189	45.42	0.42	rgb(222,137,138)	1.8895	None
E2f1	Adcy9	0.90489	50.32	0.319	rgb(221,156,157)	1.9876	None
E2f6	Adcy9	0.55012	41.33	0.335	rgb(221,153,154)	1.8076	None
Klf5	Adcy9	0.16081	32.21	0.205	rgb(219,178,178)	1.6249	None
E2f6	Adora2a	0.95347	50.53	0.526	rgb(223,117,118)	1.9918	None
Klf5	Adora2a	0.9914	50.72	0.723	rgb(225, 79, 80)	1.9956	None
E2f1	Agap1	0.35041	36.11	0.107	rgb(218,197,197)	1.703	None
E2f6	Agap1	0.7651	47.24	0.238	rgb(220,171,172)	1.9259	None
E2f1	Aim1	0.72702	46.23	0.232	rgb(220,173,173)	1.9057	None
Klf5	Aim1	0.9914	50.72	0.715	rgb(225, 80, 82)	1.9956	None
E2f6	Aldoa	0.73059	46.04	0.042	rgb(217,209,209)	1.9019	None
Klf5	Aldoa	0.13931	31.47	0.473	rgb(222,127,128)	1.6101	None
E2f1	Ankrd13b	0.90975	50.35	0.351	rgb(221,150,151)	1.9882	None
Klf5	Ankrd13b	0.98249	50.65	0.652	rgb(224, 92, 94)	1.9942	None
E2f1	Apbb2	0.99735	50.8	0.796	rgb(226, 65, 67)	1.9972	None
Klf5	Apbb2	0.68554	45.17	0.167	rgb(219,185,185)	1.8845	None
E2f6	Aprt	0.82093	48.38	0.377	rgb(221,145,146)	1.9487	None
Klf5	Aprt	0.9935	50.74	0.738	rgb(225, 76, 77)	1.996	None
E2f6	Ar	0.81631	48.38	0.383	rgb(221,144,145)	1.9487	None
Klf5	Ar	0.92431	50.42	0.423	rgb(222,136,137)	1.9896	None
E2f1	Art4	0.944	50.49	0.49	rgb(222,123,124)	1.991	None
E2f6	Art4	0.91758	50.39	0.392	rgb(221,142,143)	1.989	None
E2f1	Cacna1d	0.15698	32.18	0.184	rgb(219,182,182)	1.6243	None
Klf5	Cacna1d	0.61173	43.16	0.158	rgb(219,187,187)	1.8442	None
E2f1	Cacna2d2	0.45929	39.2	0.202	rgb(219,178,179)	1.7649	None
E2f6	Cacna2d2	0.9091	50.34	0.347	rgb(221,151,151)	1.988	None
Klf5	Cacna2d2	0.32847	36.22	0.313	rgb(220,157,158)	1.7052	None
E2f6	Casc4	0.91435	50.37	0.37	rgb(221,146,147)	1.9886	None
Klf5	Casc4	0.84883	49.27	0.275	rgb(220,165,165)	1.9666	None
E2f1	Ccnd2	0.51734	40.06	0.218	rgb(219,175,176)	1.7821	None
E2f6	Ccnd2	0.94899	50.51	0.506	rgb(223,120,121)	1.9914	None
Klf5	Ccnd2	0.52133	40.15	0.15	rgb(219,188,189)	1.7839	None
E2f1	Celsr1	0.022421	30.36	0.357	rgb(221,149,149)	1.5879	2,2
Klf5	Celsr1	0.39374	37.08	0.075	rgb(218,203,203)	1.7225	None
E2f1	Chaf1b	0.98035	50.64	0.637	rgb(224, 95, 97)	1.994	None
E2f6	Chaf1b	0.8127	48.34	0.339	rgb(221,152,153)	1.9479	None
Klf5	Chaf1b	0.43439	38.03	0.213	rgb(219,176,177)	1.7415	None
E2f1	Chdh	0.98909	50.7	0.698	rgb(225, 84, 85)	1.9952	None
Klf5	Chdh	0.42792	38.31	0.314	rgb(220,157,158)	1.7471	None
E2f6	Chsy3	0.92901	50.44	0.436	rgb(222,134,135)	1.99	None
Klf5	Chsy3	0.14327	32.39	0.392	rgb(221,142,143)	1.6286	None
E2f1	Cuedc1	0.49187	40.05	0.053	rgb(218,207,207)	1.7819	None
Klf5	Cuedc1	0.81916	48.37	0.368	rgb(221,147,148)	1.9485	None
E2f1	Dctd	0.80531	48.26	0.256	rgb(220,168,169)	1.9463	None
E2f6	Dctd	0.97766	50.63	0.628	rgb(224, 97, 98)	1.9938	None
E2f6	Dctn6	0.44547	38.23	0.235	rgb(220,172,173)	1.7455	None
Klf5	Dctn6	0.63118	43.2	0.196	rgb(219,179,180)	1.845	None
E2f1	Ddit4	0.88403	49.59	0.587	rgb(223,105,106)	1.973	None
Klf5	Ddit4	0.28084	35.23	0.231	rgb(220,173,173)	1.6854	None
E2f1	Dgat2	0.89854	50.27	0.274	rgb(220,165,165)	1.9866	None
Klf5	Dgat2	0.97666	50.62	0.618	rgb(224, 99,100)	1.9936	None
E2f6	Dleu2	0.16151	33.1	0.096	rgb(218,199,199)	1.6428	None
Klf5	Dleu2	0.65542	43.49	0.486	rgb(222,124,125)	1.8508	None
E2f1	Eef2	0.96856	50.59	0.591	rgb(223,104,105)	1.993	None
E2f6	Eef2	0.14917	32.1	0.096	rgb(218,199,199)	1.6227	None
Klf5	Eef2	0.971	50.6	0.602	rgb(224,102,103)	1.9932	None
E2f1	Efnb2	0.85014	49.3	0.307	rgb(220,158,159)	1.9672	None
Klf5	Efnb2	0.91248	50.36	0.356	rgb(221,149,150)	1.9884	None
E2f6	Emp3	0.6081	43.06	0.058	rgb(218,206,206)	1.8422	None
Klf5	Emp3	0.93838	50.47	0.467	rgb(222,128,129)	1.9906	None
E2f1	Eva1b	0.058461	31.22	0.215	rgb(219,176,176)	1.6051	2,2
Klf5	Eva1b	0.9027	50.3	0.301	rgb(220,159,160)	1.9872	None
