TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Foxm1	1700037H04Rik	0.026691	30.07	0.073	rgb(218,203,203)	1.5821	2,2
Zfp367	1700037H04Rik	0.67392	44.47	0.466	rgb(222,128,129)	1.8704	2,2
E2f2	2810417H13Rik	0.095824	31.53	0.531	rgb(223,116,117)	1.6113	2,2
Klf8	2810417H13Rik	0.50544	40.28	0.281	rgb(220,163,164)	1.7865	2,2
Zfp367	2810417H13Rik	0.93439	50.46	0.46	rgb(222,129,130)	1.9904	2,2
E2f2	Aff3	0.13674	32.34	0.344	rgb(221,151,152)	1.6276	2,2
Klf8	Aff3	0.64364	44.02	0.044	rgb(217,209,209)	1.8614	None
Foxm1	Axl	0.50506	39.39	0.386	rgb(221,143,144)	1.7687	2,2
Zfp367	Axl	0.073652	31.31	0.307	rgb(220,158,159)	1.6069	2,2
E2f2	Ccnb2	0.6132	42.39	0.389	rgb(221,143,143)	1.8288	2,2
Foxm1	Ccnb2	0.8753	49.5	0.503	rgb(223,121,122)	1.9712	2,2
E2f2	Cd2	0.21027	33.52	0.524	rgb(223,117,118)	1.6512	2,2
Klf8	Cd2	0.84071	49.04	0.124	rgb(218,193,194)	1.962	None
E2f2	Cdca7	0.00098161	30.24	0.245	rgb(220,170,171)	1.5855	2,2
Klf8	Cdca7	0.62398	43.32	0.319	rgb(221,156,157)	1.8474	2,2
E2f2	Cenpe	0.53824	41.18	0.205	rgb(219,178,178)	1.8046	2,2
Foxm1	Cenpe	0.41175	38.14	0.141	rgb(219,190,190)	1.7437	2,2
Zfp367	Cenpe	0.31597	35.25	0.419	rgb(222,137,138)	1.6858	2,2
E2f2	Dnajc9	0.57934	41.4	0.405	rgb(221,140,140)	1.809	2,2
Foxm1	Dnajc9	0.3945	37.09	0.092	rgb(218,199,200)	1.7227	2,2
Klf8	Dnajc9	0.42565	38.29	0.292	rgb(220,161,162)	1.7467	2,2
E2f2	Dtl	0.3256	36.19	0.188	rgb(219,181,181)	1.7046	2,2
Klf8	Dtl	0.61293	43.19	0.186	rgb(219,182,182)	1.8448	2,2
Zfp367	Dtl	0.097569	31.18	0.271	rgb(220,165,166)	1.6043	2,2
E2f2	Fam122b	0.94899	50.51	0.546	rgb(223,113,114)	1.9914	2,2
Zfp367	Fam122b	0.35813	36.21	0.207	rgb(219,177,178)	1.705	2,2
E2f2	Fgf13	0.2469	33.52	0.52	rgb(223,118,119)	1.6512	2,2
Klf8	Fgf13	0.08579	31.39	0.39	rgb(221,142,143)	1.6085	2,2
E2f2	Foxm1	0.10263	32.09	0.093	rgb(218,199,199)	1.6225	2,2
Klf8	Foxm1	0.068479	31.28	0.278	rgb(220,164,164)	1.6063	2,2
Zfp367	Foxm1	0.58353	41.45	0.451	rgb(222,131,132)	1.81	2,2
E2f2	Fry	0.1837	32.37	0.423	rgb(222,136,137)	1.6282	2,2
Klf8	Fry	0.73523	46.33	0.331	rgb(221,154,154)	1.9077	None
E2f2	Gata2	0.68933	44.49	0.488	rgb(222,124,125)	1.8708	2,2
Zfp367	Gata2	0.22345	34.17	0.192	rgb(219,180,181)	1.6642	2,2
Foxm1	Gmnn	0.62957	43.17	0.311	rgb(220,158,158)	1.8444	2,2
Zfp367	Gmnn	0.71692	45.4	0.419	rgb(222,137,138)	1.8891	2,2
E2f2	Gpr137b-ps	0.76192	46.62	0.619	rgb(224, 99,100)	1.9135	2,2
Klf8	Gpr137b-ps	0.024945	30.38	0.378	rgb(221,145,146)	1.5883	2,2
E2f2	H2-DMb1	0.7095	45.32	0.322	rgb(221,155,156)	1.8875	2,2
Klf8	H2-DMb1	0.70897	45.44	0.444	rgb(222,132,133)	1.8899	2,2
E2f2	Impa2	0.03431	30.15	0.147	rgb(219,189,189)	1.5837	2,2
Foxm1	Impa2	0.013509	30.31	0.42	rgb(222,137,138)	1.5869	2,2
Foxm1	Kif15	0.32481	35.32	0.322	rgb(221,155,156)	1.6872	2,2
Zfp367	Kif15	0.75584	46.47	0.548	rgb(223,112,113)	1.9105	2,2
Foxm1	Klf8	0.0069648	30.27	0.271	rgb(220,165,166)	1.5861	2,2
Klf8	Klf8	0.029698	30.11	0.11	rgb(218,196,196)	1.5829	None
E2f2	Kntc1	0.40986	37.28	0.312	rgb(220,157,158)	1.7265	2,2
Foxm1	Kntc1	0.31014	35.2	0.203	rgb(219,178,179)	1.6848	2,2
Zfp367	Kntc1	0.22255	33.29	0.287	rgb(220,162,163)	1.6466	2,2
Klf8	Lgals1	0.78101	47.34	0.338	rgb(221,152,153)	1.9279	None
Zfp367	Lgals1	0.1304	32.3	0.296	rgb(220,160,161)	1.6268	2,2
Foxm1	Mmp19	0.50025	39.35	0.353	rgb(221,150,150)	1.7679	2,2
Klf8	Mmp19	0.59804	42.43	0.426	rgb(222,136,137)	1.8296	2,2
Foxm1	Mrvi1	0.061592	31.24	0.244	rgb(220,170,171)	1.6055	2,2
Zfp367	Mrvi1	0.22057	33.32	0.317	rgb(220,157,157)	1.6472	2,2
E2f2	Ndc80	0.47063	38.46	0.465	rgb(222,128,129)	1.7501	2,2
Klf8	Ndc80	0.79975	48.17	0.17	rgb(219,185,185)	1.9445	2,2
Klf8	Nlrc3	0.049922	31.15	0.152	rgb(219,188,188)	1.6037	None
Zfp367	Nlrc3	0.080227	31.35	0.351	rgb(221,150,151)	1.6077	2,2
Foxm1	Polq	0.37495	36.35	0.345	rgb(221,151,152)	1.7078	2,2
Zfp367	Polq	0.5424	40.38	0.472	rgb(222,127,128)	1.7885	2,2
Klf8	Pqlc3	0.98146	50.65	0.647	rgb(224, 93, 95)	1.9942	None
Zfp367	Pqlc3	0.51253	39.49	0.49	rgb(222,123,124)	1.7707	2,2
Klf8	Pydc3	0.77315	47.34	0.344	rgb(221,151,152)	1.9279	2,2
Zfp367	Pydc3	0.86396	49.41	0.41	rgb(222,139,139)	1.9694	2,2
E2f2	Rab3d	0.80768	48.23	0.225	rgb(219,174,174)	1.9457	2,2
