TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
E2f2	2810417H13Rik	0.095824	31.53	0.531	rgb(223,116,117)	1.6113	2,2
Klf8	2810417H13Rik	0.50544	40.28	0.281	rgb(220,163,164)	1.7865	2,2
Zfp367	2810417H13Rik	0.93439	50.46	0.46	rgb(222,129,130)	1.9904	2,2
E2f2	Cenpe	0.53824	41.18	0.205	rgb(219,178,178)	1.8046	2,2
Foxm1	Cenpe	0.41175	38.14	0.141	rgb(219,190,190)	1.7437	2,2
Zfp367	Cenpe	0.31597	35.25	0.419	rgb(222,137,138)	1.6858	2,2
E2f2	Dnajc9	0.57934	41.4	0.405	rgb(221,140,140)	1.809	2,2
Foxm1	Dnajc9	0.3945	37.09	0.092	rgb(218,199,200)	1.7227	2,2
Klf8	Dnajc9	0.42565	38.29	0.292	rgb(220,161,162)	1.7467	2,2
E2f2	Dtl	0.3256	36.19	0.188	rgb(219,181,181)	1.7046	2,2
Klf8	Dtl	0.61293	43.19	0.186	rgb(219,182,182)	1.8448	2,2
Zfp367	Dtl	0.097569	31.18	0.271	rgb(220,165,166)	1.6043	2,2
E2f2	Foxm1	0.10263	32.09	0.093	rgb(218,199,199)	1.6225	2,2
Klf8	Foxm1	0.068479	31.28	0.278	rgb(220,164,164)	1.6063	2,2
Zfp367	Foxm1	0.58353	41.45	0.451	rgb(222,131,132)	1.81	2,2
E2f2	Kntc1	0.40986	37.28	0.312	rgb(220,157,158)	1.7265	2,2
Foxm1	Kntc1	0.31014	35.2	0.203	rgb(219,178,179)	1.6848	2,2
Zfp367	Kntc1	0.22255	33.29	0.287	rgb(220,162,163)	1.6466	2,2
E2f2	Rad51	0.79358	47.57	0.571	rgb(223,108,109)	1.9325	2,2
Foxm1	Rad51	0.11027	31.26	0.26	rgb(220,167,168)	1.6059	2,2
Zfp367	Rad51	0.82565	48.47	0.473	rgb(222,127,128)	1.9505	2,2
E2f2	Sept10	0.75746	46.49	0.492	rgb(222,123,124)	1.9109	2,2
Foxm1	Sept10	0.49131	39.26	0.265	rgb(220,166,167)	1.7661	2,2
Zfp367	Sept10	0.82859	48.46	0.461	rgb(222,129,130)	1.9503	2,2
E2f2	Uhrf1	0.30271	35.39	0.519	rgb(223,118,119)	1.6886	2,2
Klf8	Uhrf1	0.91974	50.4	0.399	rgb(221,141,142)	1.9892	2,2
Zfp367	Uhrf1	0.20725	33.17	0.172	rgb(219,184,184)	1.6442	2,2
E2f2	Wdr62	0.35682	36.2	0.202	rgb(219,179,179)	1.7048	2,2
Foxm1	Wdr62	0.12022	31.32	0.318	rgb(220,156,157)	1.6071	2,2
Klf8	Wdr62	0.24314	34.32	0.317	rgb(220,156,157)	1.6672	2,2
