TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
E2f2	0610009L18Rik	0.47801	39.05	0.335	rgb(221,153,154)	1.7619	2,2
Foxm1	1700037H04Rik	0.026691	30.07	0.073	rgb(218,203,203)	1.5821	2,2
Zfp367	1700037H04Rik	0.67392	44.47	0.466	rgb(222,128,129)	1.8704	2,2
Zfp367	2610018G03Rik	0.83194	48.49	0.512	rgb(223,119,120)	1.9509	2,2
E2f2	2610318N02Rik	0.50078	40.22	0.385	rgb(221,143,144)	1.7853	2,2
E2f2	2810417H13Rik	0.095824	31.53	0.531	rgb(223,116,117)	1.6113	2,2
Klf8	2810417H13Rik	0.50544	40.28	0.281	rgb(220,163,164)	1.7865	2,2
Zfp367	2810417H13Rik	0.93439	50.46	0.46	rgb(222,129,130)	1.9904	2,2
E2f2	A430078G23Rik	0.82239	48.44	0.443	rgb(222,132,133)	1.9499	2,2
Foxm1	Abca2	0.39	36.54	0.538	rgb(223,114,115)	1.7117	2,2
Klf8	Abcb10	0.7137	45.49	0.493	rgb(222,123,124)	1.8909	2,2
E2f2	Abcc4	0.4062	37.25	0.383	rgb(221,144,145)	1.7259	2,2
Klf8	Abtb2	0.98788	50.69	0.692	rgb(225, 85, 86)	1.995	None
Zfp367	Acacb	0.46232	38.37	0.375	rgb(221,145,146)	1.7483	2,2
Foxm1	Acox3	0.60558	42.32	0.319	rgb(221,156,157)	1.8274	2,2
Klf8	Acp5	0.73736	46.35	0.35	rgb(221,150,151)	1.9081	None
Klf8	Acss2	0.50742	40.3	0.299	rgb(220,160,160)	1.7869	2,2
E2f2	Actn2	0.40355	37.23	0.228	rgb(220,173,174)	1.7255	2,2
Zfp367	Acvr1b	0.68816	44.47	0.467	rgb(222,128,129)	1.8704	2,2
Zfp367	Acyp1	0.71789	45.41	0.504	rgb(223,121,122)	1.8893	2,2
Klf8	Adamts10	0.85594	49.34	0.341	rgb(221,152,153)	1.968	None
Klf8	Adamts14	0.62795	43.13	0.13	rgb(218,192,192)	1.8436	None
Klf8	Adamts7	0.46683	39.28	0.276	rgb(220,164,165)	1.7665	2,2
Klf8	Adap1	0.88866	49.86	0.858	rgb(226, 53, 55)	1.9784	None
E2f2	Aff3	0.13674	32.34	0.344	rgb(221,151,152)	1.6276	2,2
Klf8	Aff3	0.64364	44.02	0.044	rgb(217,209,209)	1.8614	None
Zfp367	Agtpbp1	0.26097	34.19	0.191	rgb(219,181,181)	1.6646	2,2
Klf8	Aim1	0.91536	50.38	0.384	rgb(221,144,144)	1.9888	None
E2f2	Akip1	0.12766	31.36	0.356	rgb(221,149,150)	1.6079	2,2
E2f2	Alox5ap	0.039529	31.05	0.051	rgb(218,207,207)	1.6017	2,2
E2f2	Amz1	0.062434	30.33	0.335	rgb(221,153,154)	1.5873	2,2
Klf8	Angptl2	0.027516	30.4	0.398	rgb(221,141,142)	1.5887	2,2
E2f2	Angptl4	0.12359	32.26	0.267	rgb(220,166,167)	1.626	2,2
Klf8	Ankrd13b	0.80614	48.27	0.266	rgb(220,166,167)	1.9465	None
E2f2	Anp32b	0.63189	43.41	0.41	rgb(222,139,140)	1.8492	2,2
E2f2	Anxa1	0.66483	44.37	0.366	rgb(221,147,148)	1.8684	2,2
Klf8	Anxa2	0.61173	43.16	0.164	rgb(219,186,186)	1.8442	None
Foxm1	Arhgap27	0.12214	31.33	0.327	rgb(221,155,155)	1.6073	2,2
Klf8	Atad5	0.28475	35.26	0.264	rgb(220,167,167)	1.686	2,2
E2f2	Atp1b3	0.38817	37.34	0.343	rgb(221,151,152)	1.7277	2,2
Foxm1	Axl	0.50506	39.39	0.386	rgb(221,143,144)	1.7687	2,2
Zfp367	Axl	0.073652	31.31	0.307	rgb(220,158,159)	1.6069	2,2
Klf8	B4galt5	0.83599	48.55	0.554	rgb(223,111,112)	1.9521	None
Klf8	Baiap2l1	0.026691	30.07	0.072	rgb(218,203,203)	1.5821	None
Zfp367	Birc5	0.17225	32.29	0.285	rgb(220,162,163)	1.6266	2,2
Zfp367	Btla	0.38769	36.49	0.486	rgb(222,124,125)	1.7107	2,2
Klf8	Bysl	0.72985	46.27	0.283	rgb(220,163,164)	1.9065	None
Zfp367	C030034L19Rik	0.78289	47.43	0.473	rgb(222,127,128)	1.9297	2,2
Klf8	C530008M17Rik	0.17597	33.23	0.227	rgb(219,174,174)	1.6454	2,2
E2f2	Capn5	0.60305	42.51	0.509	rgb(223,120,121)	1.8312	2,2
Klf8	Car5b	0.5629	41.2	0.2	rgb(219,179,179)	1.805	None
Zfp367	Ccdc53	0.50025	39.36	0.356	rgb(221,149,150)	1.7681	2,2
Klf8	Ccl5	0.95041	50.52	0.518	rgb(223,118,119)	1.9916	None
E2f2	Ccnb2	0.6132	42.39	0.389	rgb(221,143,143)	1.8288	2,2
Foxm1	Ccnb2	0.8753	49.5	0.503	rgb(223,121,122)	1.9712	2,2
E2f2	Cd2	0.21027	33.52	0.524	rgb(223,117,118)	1.6512	2,2
Klf8	Cd2	0.84071	49.04	0.124	rgb(218,193,194)	1.962	None
Klf8	Cd48	0.96856	50.59	0.586	rgb(223,105,106)	1.993	None
E2f2	Cd86	0.11851	31.31	0.314	rgb(220,157,158)	1.6069	2,2
Zfp367	Cdc25b	0.055407	31.2	0.196	rgb(219,180,180)	1.6047	2,2
Zfp367	Cdc42ep3	0.85594	49.34	0.34	rgb(221,152,153)	1.968	2,2
Foxm1	Cdca2	0.88481	49.6	0.599	rgb(224,103,104)	1.9732	2,2
E2f2	Cdca7	0.00098161	30.24	0.245	rgb(220,170,171)	1.5855	2,2
Klf8	Cdca7	0.62398	43.32	0.319	rgb(221,156,157)	1.8474	2,2
E2f2	Cdca7l	0.50871	39.43	0.431	rgb(222,135,135)	1.7695	2,2
Klf8	Cdk6	0.49617	40.16	0.157	rgb(219,187,187)	1.7841	None
Zfp367	Cdkn2aipnl	0.82038	48.42	0.418	rgb(222,137,138)	1.9495	2,2
E2f2	Cdkn2d	0.66254	44.35	0.378	rgb(221,145,146)	1.868	2,2
Klf8	Celsr1	0.040667	31.06	0.057	rgb(218,206,206)	1.6019	None
Foxm1	Celsr2	0.28755	35.28	0.392	rgb(221,142,143)	1.6864	2,2
E2f2	Cenpe	0.53824	41.18	0.205	rgb(219,178,178)	1.8046	2,2
Foxm1	Cenpe	0.41175	38.14	0.141	rgb(219,190,190)	1.7437	2,2
Zfp367	Cenpe	0.31597	35.25	0.419	rgb(222,137,138)	1.6858	2,2
