TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Eea1	4930405J17Rik	0.22844	33.33	0.335	rgb(221,153,154)	1.6474	2,2
Zfp800	4930405J17Rik	0.67923	44.57	0.568	rgb(223,108,110)	1.8724	2,2
Nr2c2	AA987161	0.52906	40.26	0.256	rgb(220,168,169)	1.7861	2,2
Zfp397	AA987161	0.63487	43.26	0.436	rgb(222,134,135)	1.8462	2,2
Eea1	Ankrd12	0.57462	41.35	0.43	rgb(222,135,136)	1.808	2,2
Nr2c2	Ankrd12	0.18772	32.41	0.413	rgb(222,138,139)	1.629	2,2
Purb	Ankrd12	0.49131	39.26	0.259	rgb(220,167,168)	1.7661	2,2
Zfp260	Ankrd12	0.08794	31.41	0.414	rgb(222,138,139)	1.6089	2,2
Zfp800	Ankrd12	0.93439	50.46	0.464	rgb(222,128,129)	1.9904	2,2
Eea1	Apc	0.24419	34.33	0.332	rgb(221,154,154)	1.6674	2,2
Nr2c2	Apc	0.6478	44.15	0.195	rgb(219,180,180)	1.864	2,2
Eea1	BC005561	0.70704	45.29	0.287	rgb(220,162,163)	1.8869	2,2
Nr2c2	BC005561	0.27493	34.3	0.3	rgb(220,160,160)	1.6668	2,2
Eea1	Casp8ap2	0.98788	50.69	0.694	rgb(225, 84, 86)	1.995	2,2
Zfp397	Casp8ap2	0.80453	48.25	0.28	rgb(220,163,164)	1.9461	2,2
Zfp397	Cwf19l2	0.34266	35.49	0.492	rgb(222,123,124)	1.6906	2,2
Zfp800	Cwf19l2	0.48272	39.15	0.149	rgb(219,188,189)	1.7639	2,2
Eea1	D930016D06Rik	0.10435	31.23	0.232	rgb(220,173,173)	1.6053	2,2
Zfp397	D930016D06Rik	0.38579	37.32	0.316	rgb(220,157,157)	1.7273	2,2
Eea1	Dnajc21	0.029698	30.11	0.107	rgb(218,197,197)	1.5829	2,2
Purb	Dnajc21	0.4246	38.28	0.314	rgb(220,157,158)	1.7465	2,2
Eea1	Dnm1l	0.93691	50.47	0.476	rgb(222,126,127)	1.9906	2,2
Zfp800	Dnm1l	0.49282	40.08	0.079	rgb(218,202,202)	1.7825	2,2
Eea1	E330033B04Rik	0.44434	38.47	0.469	rgb(222,127,128)	1.7503	2,2
Nr2c2	E330033B04Rik	0.057697	30.3	0.462	rgb(222,129,130)	1.5867	2,2
Eea1	Eif5b	0.83012	48.51	0.514	rgb(223,119,120)	1.9513	2,2
Zfp397	Eif5b	0.32893	35.35	0.578	rgb(223,107,108)	1.6878	2,2
Zfp800	Eif5b	0.89367	50.21	0.215	rgb(219,176,176)	1.9854	2,2
Nr2c2	Fam126b	0.37373	36.34	0.337	rgb(221,153,153)	1.7076	2,2
Zfp260	Fam126b	0.57901	42.22	0.218	rgb(219,175,176)	1.8254	2,2
Zfp397	Fam126b	0.301	35.07	0.075	rgb(218,203,203)	1.6822	2,2
Zfp260	Gcc2	0.97666	50.62	0.624	rgb(224, 98, 99)	1.9936	2,2
Zfp397	Gcc2	0.09034	31.11	0.105	rgb(218,197,197)	1.6029	2,2
Zfp800	Gcc2	0.89704	50.25	0.246	rgb(220,170,171)	1.9862	2,2
Zfp260	Gm20300	0.32195	35.3	0.397	rgb(221,141,142)	1.6868	2,2
Zfp397	Gm20300	0.39776	37.15	0.15	rgb(219,188,189)	1.7239	2,2
Eea1	Itsn2	0.94763	50.51	0.509	rgb(223,120,121)	1.9914	2,2
Nr2c2	Itsn2	0.25028	34.04	0.195	rgb(219,180,180)	1.6616	2,2
Zfp800	Itsn2	0.059255	30.31	0.31	rgb(220,158,158)	1.5869	2,2
Eea1	Kcnq1ot1	0.33646	35.41	0.411	rgb(222,139,139)	1.689	2,2
