TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Nr2c2	2810474O19Rik	0.49378	40.1	0.208	rgb(219,177,178)	1.7829	2,2
Eea1	4930405J17Rik	0.22844	33.33	0.335	rgb(221,153,154)	1.6474	2,2
Zfp800	4930405J17Rik	0.67923	44.57	0.568	rgb(223,108,110)	1.8724	2,2
Zfp800	4930478L05Rik	0.12694	32.28	0.278	rgb(220,164,164)	1.6264	2,2
Purb	4930503L19Rik	0.013509	30.31	0.312	rgb(220,157,158)	1.5869	2,2
Eea1	4932438A13Rik	0.059255	30.31	0.31	rgb(220,158,158)	1.5869	2,2
Zfp260	4933411K20Rik	0.87273	49.48	0.476	rgb(222,126,127)	1.9708	2,2
Zfp800	5830418K08Rik	0.77772	47.38	0.384	rgb(221,144,144)	1.9287	2,2
Eea1	9930021J03Rik	0.32602	35.39	0.386	rgb(221,143,144)	1.6886	2,2
Eea1	A730098P11Rik	0.35813	36.21	0.214	rgb(219,176,177)	1.705	2,2
Nr2c2	AA987161	0.52906	40.26	0.256	rgb(220,168,169)	1.7861	2,2
Zfp397	AA987161	0.63487	43.26	0.436	rgb(222,134,135)	1.8462	2,2
Eea1	Acsl4	0.78945	47.51	0.509	rgb(223,120,121)	1.9313	2,2
Nr2c2	Adam22	0.037021	30.17	0.171	rgb(219,184,185)	1.5841	2,2
Zfp397	Adam30	0.11376	31.28	0.284	rgb(220,163,163)	1.6063	2,2
Zfp800	Ahi1	0.95592	50.54	0.543	rgb(223,113,114)	1.992	2,2
Eea1	Airn	0.63936	43.51	0.514	rgb(223,119,120)	1.8512	2,2
Zfp800	Akap11	0.095061	31.16	0.159	rgb(219,187,187)	1.6039	2,2
Eea1	Ankrd12	0.57462	41.35	0.43	rgb(222,135,136)	1.808	2,2
Nr2c2	Ankrd12	0.18772	32.41	0.413	rgb(222,138,139)	1.629	2,2
Purb	Ankrd12	0.49131	39.26	0.259	rgb(220,167,168)	1.7661	2,2
Zfp260	Ankrd12	0.08794	31.41	0.414	rgb(222,138,139)	1.6089	2,2
Zfp800	Ankrd12	0.93439	50.46	0.464	rgb(222,128,129)	1.9904	2,2
Eea1	Apc	0.24419	34.33	0.332	rgb(221,154,154)	1.6674	2,2
Nr2c2	Apc	0.6478	44.15	0.195	rgb(219,180,180)	1.864	2,2
Eea1	Arid4b	0.39402	37.39	0.392	rgb(221,142,143)	1.7287	2,2
Eea1	BC005561	0.70704	45.29	0.287	rgb(220,162,163)	1.8869	2,2
Nr2c2	BC005561	0.27493	34.3	0.3	rgb(220,160,160)	1.6668	2,2
Zfp260	BC030336	0.67583	44.5	0.5	rgb(223,121,122)	1.871	2,2
Nr2c2	Bach2	0.4638	39.25	0.254	rgb(220,168,169)	1.7659	2,2
Eea1	Basp1	0.14194	31.54	0.539	rgb(223,114,115)	1.6115	2,2
Nr2c2	Baz2b	0.54868	40.45	0.45	rgb(222,131,132)	1.7899	2,2
Purb	Bcl2a1b	0.31306	35.55	0.548	rgb(223,112,113)	1.6918	2,2
Zfp260	C230091D08Rik	0.22978	33.34	0.339	rgb(221,152,153)	1.6476	2,2
Purb	C430049B03Rik	0.065005	31.26	0.262	rgb(220,167,168)	1.6059	2,2
Purb	Camk2n1	0.28208	35.24	0.242	rgb(220,171,171)	1.6856	2,2
Zfp397	Camsap3	0.2828	34.36	0.36	rgb(221,148,149)	1.668	2,2
Zfp260	Card6	0.26653	34.24	0.243	rgb(220,171,171)	1.6656	2,2
Eea1	Casp8ap2	0.98788	50.69	0.694	rgb(225, 84, 86)	1.995	2,2
Zfp397	Casp8ap2	0.80453	48.25	0.28	rgb(220,163,164)	1.9461	2,2
Zfp260	Ccdc73	0.18024	33.26	0.292	rgb(220,161,162)	1.646	2,2
Eea1	Ccdc82	0.75513	46.46	0.566	rgb(223,109,110)	1.9103	2,2
Nr2c2	Cd84	0.24216	33.43	0.454	rgb(222,130,131)	1.6494	2,2
Zfp800	Cdc73	0.51165	40.34	0.338	rgb(221,152,153)	1.7877	2,2
Eea1	Cep170	0.82859	48.46	0.46	rgb(222,129,130)	1.9503	2,2
Nr2c2	Cep350	0.98249	50.65	0.653	rgb(224, 92, 94)	1.9942	2,2
Nr2c2	Chd3os	0.05254	30.27	0.269	rgb(220,166,166)	1.5861	2,2
Zfp800	Chm	0.28007	34.34	0.339	rgb(221,152,153)	1.6676	2,2
Eea1	Cltc	0.64949	43.41	0.411	rgb(222,139,139)	1.8492	2,2
Eea1	Cmip	0.35586	36.19	0.188	rgb(219,181,181)	1.7046	2,2
Eea1	Cndp2	0.52501	40.21	0.302	rgb(220,159,160)	1.7851	2,2
Zfp397	Cnn3	0.1407	31.5	0.496	rgb(222,122,123)	1.6107	2,2
Eea1	Cnot4	0.307	35.43	0.432	rgb(222,135,135)	1.6894	2,2
Nr2c2	Cpne3	0.47362	38.51	0.51	rgb(223,120,121)	1.7511	2,2
Eea1	Cstf3	0.5344	40.31	0.306	rgb(220,159,159)	1.7871	2,2
Eea1	Ctage5	0.11376	31.28	0.285	rgb(220,163,163)	1.6063	2,2
Zfp800	Cul5	0.3998	37.18	0.178	rgb(219,183,183)	1.7245	2,2
Eea1	Cwc22	0.78841	47.42	0.417	rgb(222,137,138)	1.9295	2,2
Zfp397	Cwf19l2	0.34266	35.49	0.492	rgb(222,123,124)	1.6906	2,2
Zfp800	Cwf19l2	0.48272	39.15	0.149	rgb(219,188,189)	1.7639	2,2
Nr2c2	Cxadr	0.35904	36.22	0.339	rgb(221,152,153)	1.7052	2,2
Eea1	D930016D06Rik	0.10435	31.23	0.232	rgb(220,173,173)	1.6053	2,2
Zfp397	D930016D06Rik	0.38579	37.32	0.316	rgb(220,157,157)	1.7273	2,2
Zfp397	Ddx17	0.83663	48.56	0.562	rgb(223,110,111)	1.9523	2,2
Purb	Ddx6	0.22912	34.22	0.44	rgb(222,133,134)	1.6652	2,2
Nr2c2	Dhx33	0.23462	33.37	0.371	rgb(221,146,147)	1.6482	2,2
Purb	Diap2	0.56014	41.42	0.438	rgb(222,133,134)	1.8094	2,2
Nr2c2	Dido1	0.70617	45.28	0.283	rgb(220,163,164)	1.8867	2,2
Purb	Dnajb5	0.18024	33.26	0.256	rgb(220,168,169)	1.646	2,2
Eea1	Dnajc2	0.82764	48.49	0.488	rgb(222,124,125)	1.9509	2,2
Eea1	Dnajc21	0.029698	30.11	0.107	rgb(218,197,197)	1.5829	2,2
Purb	Dnajc21	0.4246	38.28	0.314	rgb(220,157,158)	1.7465	2,2
Eea1	Dnm1l	0.93691	50.47	0.476	rgb(222,126,127)	1.9906	2,2
Zfp800	Dnm1l	0.49282	40.08	0.079	rgb(218,202,202)	1.7825	2,2
Nr2c2	Dync1i2	0.38344	36.43	0.43	rgb(222,135,136)	1.7095	2,2
Eea1	E330033B04Rik	0.44434	38.47	0.469	rgb(222,127,128)	1.7503	2,2
Nr2c2	E330033B04Rik	0.057697	30.3	0.462	rgb(222,129,130)	1.5867	2,2
Purb	Eea1	0.65757	44.3	0.297	rgb(220,160,161)	1.867	2,2
Eea1	Eif5b	0.83012	48.51	0.514	rgb(223,119,120)	1.9513	2,2
Zfp397	Eif5b	0.32893	35.35	0.578	rgb(223,107,108)	1.6878	2,2
Zfp800	Eif5b	0.89367	50.21	0.215	rgb(219,176,176)	1.9854	2,2
Zfp800	Erbb2ip	0.73607	46.22	0.217	rgb(219,176,176)	1.9055	2,2
Eea1	Esco1	0.53824	41.18	0.324	rgb(221,155,156)	1.8046	2,2
Zfp397	Etohi1	0.82502	48.42	0.49	rgb(222,123,124)	1.9495	2,2
Nr2c2	Fam126b	0.37373	36.34	0.337	rgb(221,153,153)	1.7076	2,2
Zfp260	Fam126b	0.57901	42.22	0.218	rgb(219,175,176)	1.8254	2,2
Zfp397	Fam126b	0.301	35.07	0.075	rgb(218,203,203)	1.6822	2,2
Eea1	Fam161b	0.23948	33.41	0.407	rgb(221,139,140)	1.649	2,2
Nr2c2	Fam178a	0.73867	46.26	0.259	rgb(220,168,168)	1.9063	2,2
Zfp800	Fank1	0.11633	32.21	0.206	rgb(219,178,178)	1.6249	2,2
Purb	Fblim1	0.036694	30.57	0.573	rgb(223,108,109)	1.5921	2,2
Eea1	Fbxo28	0.58423	41.46	0.456	rgb(222,130,131)	1.8102	2,2
Nr2c2	Fchsd1	0.37437	37.22	0.375	rgb(221,145,146)	1.7253	2,2
Purb	Fgfr2	0.070162	30.38	0.384	rgb(221,144,144)	1.5883	2,2
Eea1	Ficd	0.13931	31.47	0.472	rgb(222,127,128)	1.6101	2,2
Nr2c2	Fip1l1	0.68211	44.4	0.401	rgb(221,140,141)	1.869	2,2
Eea1	Foxj1	0.61826	42.45	0.454	rgb(222,130,131)	1.83	2,2
Nr2c2	Gatad2b	0.9634	50.57	0.574	rgb(223,107,109)	1.9926	2,2
Zfp260	Gcc2	0.97666	50.62	0.624	rgb(224, 98, 99)	1.9936	2,2
Zfp397	Gcc2	0.09034	31.11	0.105	rgb(218,197,197)	1.6029	2,2
Zfp800	Gcc2	0.89704	50.25	0.246	rgb(220,170,171)	1.9862	2,2
Purb	Gm15713	0.13598	31.43	0.425	rgb(222,136,137)	1.6093	2,2
Nr2c2	Gm15880	0.41865	38.22	0.302	rgb(220,159,160)	1.7453	2,2
Eea1	Gm16907	0.69316	45.28	0.281	rgb(220,163,164)	1.8867	2,2
Zfp397	Gm17066	0.15251	32.14	0.14	rgb(219,190,190)	1.6235	2,2
Zfp260	Gm20300	0.32195	35.3	0.397	rgb(221,141,142)	1.6868	2,2
Zfp397	Gm20300	0.39776	37.15	0.15	rgb(219,188,189)	1.7239	2,2
Nr2c2	Gm4759	0.3242	36.18	0.501	rgb(223,121,122)	1.7044	2,2
Purb	Gng4	0.58353	41.45	0.451	rgb(222,131,132)	1.81	2,2
Zfp260	Gnpda2	0.65472	43.48	0.478	rgb(222,126,127)	1.8506	2,2
Eea1	Golgb1	0.76862	47.29	0.433	rgb(222,134,135)	1.9269	2,2
Eea1	Gpr171	0.61999	42.48	0.478	rgb(222,126,127)	1.8306	2,2
Eea1	H2afy3	0.91974	50.4	0.46	rgb(222,129,130)	1.9892	2,2
