TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Ehf	2310057J18Rik	0.88581	49.62	0.616	rgb(224, 99,101)	1.9736	2,2
Onecut2	2310057J18Rik	0.48147	39.12	0.144	rgb(219,189,190)	1.7633	2,2
Ehf	A4gnt	0.98665	50.68	0.682	rgb(225, 87, 88)	1.9948	2,2
Onecut2	A4gnt	0.21513	33.24	0.244	rgb(220,170,171)	1.6456	2,2
Ehf	Aatf	0.095996	31.55	0.549	rgb(223,112,113)	1.6117	2,2
Onecut2	Aatf	0.18239	32.36	0.361	rgb(221,148,149)	1.628	2,2
Elf3	Adamts1	0.13674	32.34	0.343	rgb(221,151,152)	1.6276	2,2
Onecut2	Adamts1	0.069461	30.37	0.374	rgb(221,146,146)	1.5881	2,2
Ehf	Adh1	0.423	37.4	0.403	rgb(221,140,141)	1.7289	2,2
Onecut2	Adh1	0.081661	31.36	0.363	rgb(221,148,148)	1.6079	2,2
Ehf	BC048546	0.068479	31.28	0.28	rgb(220,164,164)	1.6063	2,2
Onecut2	BC048546	0.30167	35.38	0.377	rgb(221,145,146)	1.6884	2,2
Ehf	Ceacam1	0.35999	36.23	0.265	rgb(220,166,167)	1.7054	2,2
Elf3	Ceacam1	0.26055	34.49	0.486	rgb(222,124,125)	1.6706	2,2
Ehf	Ckmt1	0.86533	49.42	0.421	rgb(222,137,137)	1.9696	2,2
Elf3	Ckmt1	0.083328	31.37	0.368	rgb(221,147,148)	1.6081	2,2
Onecut2	Ckmt1	0.438	38.12	0.216	rgb(219,176,176)	1.7433	2,2
Ehf	Ctrb1	0.32158	36.15	0.242	rgb(220,171,171)	1.7038	2,2
Onecut2	Ctrb1	0.57462	41.35	0.359	rgb(221,148,149)	1.808	2,2
Ehf	Cyr61	0.09034	31.11	0.113	rgb(218,195,196)	1.6029	2,2
Elf3	Cyr61	0.47407	39.35	0.354	rgb(221,149,150)	1.7679	2,2
Ehf	Esrp1	0.44953	38.27	0.269	rgb(220,166,166)	1.7463	2,2
Elf3	Esrp1	0.98406	50.66	0.659	rgb(224, 91, 92)	1.9944	2,2
Ehf	Gkn3	0.50506	39.39	0.395	rgb(221,142,142)	1.7687	2,2
Onecut2	Gkn3	0.81354	48.35	0.345	rgb(221,151,152)	1.9481	2,2
Ehf	Glp1r	0.7605	46.54	0.545	rgb(223,113,114)	1.9119	2,2
Onecut2	Glp1r	0.3033	35.11	0.314	rgb(220,157,158)	1.683	2,2
Ehf	Gpa33	0.22057	33.28	0.283	rgb(220,163,164)	1.6464	2,2
Elf3	Gpa33	0.68211	44.4	0.398	rgb(221,141,142)	1.869	2,2
Onecut2	Gpa33	0.6022	42.27	0.274	rgb(220,165,165)	1.8264	2,2
Ehf	Krt19	0.44833	38.26	0.277	rgb(220,164,165)	1.7461	2,2
Elf3	Krt19	0.90489	50.32	0.404	rgb(221,140,141)	1.9876	2,2
Ehf	Mib1	0.066656	31.27	0.269	rgb(220,166,166)	1.6061	2,2
Elf3	Mib1	0.6022	42.27	0.267	rgb(220,166,167)	1.8264	2,2
Ehf	Pgc	0.79074	47.45	0.489	rgb(222,124,125)	1.9301	2,2
Onecut2	Pgc	0.22255	33.29	0.326	rgb(221,155,155)	1.6466	2,2
Elf3	Pigr	0.78568	47.39	0.474	rgb(222,126,127)	1.9289	2,2
Onecut2	Pigr	0.40481	37.24	0.348	rgb(221,151,151)	1.7257	2,2
Ehf	Tff2	0.81585	48.33	0.346	rgb(221,151,152)	1.9477	2,2
Onecut2	Tff2	0.60668	42.32	0.323	rgb(221,155,156)	1.8274	2,2
Ehf	Tmprss2	0.20259	33.1	0.101	rgb(218,198,198)	1.6428	2,2
Elf3	Tmprss2	0.81686	48.34	0.378	rgb(221,145,146)	1.9479	2,2
Onecut2	Tmprss2	0.36549	36.28	0.312	rgb(220,157,158)	1.7064	2,2
Ehf	Ttr	0.40481	37.24	0.272	rgb(220,165,166)	1.7257	2,2
Onecut2	Ttr	0.37206	36.33	0.334	rgb(221,153,154)	1.7074	2,2
Ehf	Wfdc18	0.97217	50.6	0.599	rgb(224,103,104)	1.9932	2,2
Onecut2	Wfdc18	0.75584	46.47	0.471	rgb(222,127,128)	1.9105	2,2
