TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Elf1	1700056E22Rik	0.35745	36.47	0.47	rgb(222,127,128)	1.7103	2,2
Pbx2	1700056E22Rik	0.44953	38.27	0.268	rgb(220,166,166)	1.7463	2,2
Gata3	4930412O13Rik	0.90746	50.33	0.334	rgb(221,153,154)	1.9878	2,2
Pou2f2	4930412O13Rik	0.84495	49.2	0.196	rgb(219,180,180)	1.9652	2,2
Elf1	Abcc8	0.93691	50.47	0.47	rgb(222,127,128)	1.9906	None
Pou2f2	Abcc8	0.99299	50.73	0.733	rgb(225, 77, 78)	1.9958	None
Elf1	Abhd17c	0.95347	50.53	0.534	rgb(223,115,116)	1.9918	None
Pou2f2	Abhd17c	0.86719	49.44	0.779	rgb(226, 68, 70)	1.97	None
Elf1	Abr	0.66186	44.09	0.087	rgb(218,200,201)	1.8628	None
Stat1	Abr	0.89106	50.15	0.151	rgb(219,188,189)	1.9842	None
Elf1	Acbd7	0.96469	50.57	0.569	rgb(223,108,109)	1.9926	None
Ikzf1	Acbd7	0.95347	50.53	0.531	rgb(223,116,117)	1.9918	None
Elf1	Acer2	0.18024	33.26	0.261	rgb(220,167,168)	1.646	2,2
Ikzf1	Acer2	0.80734	48.22	0.216	rgb(219,176,176)	1.9455	None
Pou2f2	Acer2	0.97325	50.61	0.609	rgb(224,101,102)	1.9934	None
Stat1	Acer2	0.14445	32.03	0.032	rgb(217,211,211)	1.6213	None
Ikzf1	Acot2	0.012932	29.41	0.409	rgb(222,139,140)	1.5689	2,2
Pbx2	Acot2	0.77817	47.31	0.311	rgb(220,158,158)	1.9273	2,2
Elf1	Acp5	0.84434	49.23	0.23	rgb(220,173,174)	1.9658	None
Pou2f2	Acp5	0.49773	40.18	0.181	rgb(219,182,183)	1.7845	None
Ikzf1	Actr8	0.9091	50.34	0.344	rgb(221,151,152)	1.988	None
Pou2f2	Actr8	0.90835	50.34	0.343	rgb(221,151,152)	1.988	None
Elf1	Adamts20	0.80383	48.24	0.244	rgb(220,170,171)	1.9459	None
Pbx2	Adamts20	0.61067	42.36	0.357	rgb(221,149,150)	1.8282	2,2
Ikzf1	Adar	0.11309	32.19	0.192	rgb(219,180,181)	1.6245	2,2
Stat1	Adar	0.6505	44.21	0.21	rgb(219,177,177)	1.8652	None
Elf1	Ahcyl2	0.57462	41.35	0.347	rgb(221,151,151)	1.808	None
Gata3	Ahcyl2	0.75816	47.03	0.026	rgb(217,212,212)	1.9217	None
Stat1	Ahcyl2	0.95592	50.54	0.543	rgb(223,113,114)	1.992	None
Elf1	Ahr	0.67029	44.27	0.268	rgb(220,166,166)	1.8664	None
Gata3	Ahr	0.8541	49.34	0.337	rgb(221,153,153)	1.968	None
Elf1	Akr1c13	0.84263	49.13	0.132	rgb(218,192,192)	1.9638	None
Pou2f2	Akr1c13	0.86016	49.38	0.381	rgb(221,144,145)	1.9688	None
Ikzf1	Alad	0.88886	50.04	0.038	rgb(217,210,210)	1.982	None
Stat1	Alad	0.98788	50.69	0.691	rgb(225, 85, 86)	1.995	None
Elf1	Aldh1l1	0.81828	48.4	0.398	rgb(221,141,142)	1.9491	None
Stat1	Aldh1l1	0.77195	47.24	0.245	rgb(220,170,171)	1.9259	None
Elf1	Alox5	0.91536	50.38	0.381	rgb(221,144,145)	1.9888	None
Gata3	Alox5	0.99984	50.92	0.92	rgb(227, 41, 43)	1.9996	None
Elf1	Angpt1	0.33581	36.28	0.28	rgb(220,164,164)	1.7064	None
Ikzf1	Angpt1	0.8088	48.3	0.305	rgb(220,159,159)	1.9471	None
Pbx2	Angpt1	0.23261	33.36	0.355	rgb(221,149,150)	1.648	None
Pou2f2	Angpt1	0.04235	31.08	0.083	rgb(218,201,201)	1.6023	None
Gata3	Anks6	0.84737	49.27	0.275	rgb(220,164,165)	1.9666	None
Pou2f2	Anks6	0.94654	50.5	0.502	rgb(223,121,122)	1.9912	None
Pou2f2	Ap1s3	0.89704	50.25	0.25	rgb(220,169,170)	1.9862	None
Stat1	Ap1s3	0.81033	48.27	0.272	rgb(220,165,166)	1.9465	None
Elf1	Areg	0.88886	50.04	0.043	rgb(217,209,209)	1.982	None
Pou2f2	Areg	0.9914	50.72	0.722	rgb(225, 79, 81)	1.9956	None
Elf1	Arg1	0.41811	37.35	0.349	rgb(221,150,151)	1.7279	None
Gata3	Arg1	0.78743	47.41	0.413	rgb(222,138,139)	1.9293	None
Elf1	Arhgap15	0.31909	36.11	0.13	rgb(218,192,192)	1.703	None
Stat1	Arhgap15	0.25519	34.42	0.424	rgb(222,136,137)	1.6692	None
Gata3	Arhgap32	0.89807	50.26	0.259	rgb(220,167,168)	1.9864	None
Pou2f2	Arhgap32	0.45217	38.29	0.291	rgb(220,161,162)	1.7467	None
Gata3	Arhgef6	0.85014	49.3	0.296	rgb(220,160,161)	1.9672	None
Ikzf1	Arhgef6	0.81881	48.36	0.36	rgb(221,148,149)	1.9483	None
Elf1	Arid5b	0.8493	49.29	0.286	rgb(220,162,163)	1.967	None
Pou2f2	Arid5b	0.57066	42.02	0.143	rgb(219,190,190)	1.8214	None
Elf1	Art2a-ps	0.92901	50.44	0.445	rgb(222,132,133)	1.99	None
Gata3	Art2a-ps	0.71692	45.4	0.396	rgb(221,141,142)	1.8891	None
