TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Elf1	Acer2	0.18024	33.26	0.261	rgb(220,167,168)	1.646	2,2
Ikzf1	Acer2	0.80734	48.22	0.216	rgb(219,176,176)	1.9455	None
Pou2f2	Acer2	0.97325	50.61	0.609	rgb(224,101,102)	1.9934	None
Stat1	Acer2	0.14445	32.03	0.032	rgb(217,211,211)	1.6213	None
Elf1	Angpt1	0.33581	36.28	0.28	rgb(220,164,164)	1.7064	None
Ikzf1	Angpt1	0.8088	48.3	0.305	rgb(220,159,159)	1.9471	None
Pbx2	Angpt1	0.23261	33.36	0.355	rgb(221,149,150)	1.648	None
Pou2f2	Angpt1	0.04235	31.08	0.083	rgb(218,201,201)	1.6023	None
Elf1	Art2a-ps	0.92901	50.44	0.445	rgb(222,132,133)	1.99	None
Gata3	Art2a-ps	0.71692	45.4	0.396	rgb(221,141,142)	1.8891	None
Pbx2	Art2a-ps	0.21645	33.25	0.249	rgb(220,169,170)	1.6458	2,2
Pou2f2	Art2a-ps	0.62033	43.28	0.276	rgb(220,164,165)	1.8466	None
Elf1	Atp8a2	0.91144	50.36	0.397	rgb(221,141,142)	1.9884	None
Gata3	Atp8a2	0.10393	32.1	0.104	rgb(218,197,197)	1.6227	None
Pbx2	Atp8a2	0.91342	50.37	0.37	rgb(221,146,147)	1.9886	None
Stat1	Atp8a2	0.86208	49.41	0.414	rgb(222,138,139)	1.9694	2,2
Elf1	Chn2	0.74928	46.39	0.392	rgb(221,142,143)	1.9089	None
Gata3	Chn2	0.27775	35.2	0.201	rgb(219,179,179)	1.6848	None
Ikzf1	Chn2	0.90746	50.33	0.331	rgb(221,154,154)	1.9878	None
Pbx2	Chn2	0.92075	50.4	0.417	rgb(222,137,138)	1.9892	None
Stat1	Chn2	0.64238	43.6	0.602	rgb(224,102,103)	1.853	None
Elf1	Creb3l1	0.71098	45.46	0.46	rgb(222,129,130)	1.8903	None
Pbx2	Creb3l1	0.057697	30.3	0.304	rgb(220,159,160)	1.5867	2,2
Pou2f2	Creb3l1	0.95347	50.53	0.529	rgb(223,116,117)	1.9918	None
Stat1	Creb3l1	0.92663	50.43	0.435	rgb(222,134,135)	1.9898	None
Elf1	Cybb	0.5036	40.26	0.258	rgb(220,168,168)	1.7861	None
Gata3	Cybb	0.3205	36.14	0.142	rgb(219,190,190)	1.7036	None
Pou2f2	Cybb	0.68841	45.22	0.223	rgb(219,174,175)	1.8855	None
Stat1	Cybb	0.45276	39.08	0.083	rgb(218,201,201)	1.7625	None
Elf1	Dctn6	0.766	47.07	0.066	rgb(218,204,204)	1.9225	None
Gata3	Dctn6	0.97853	50.63	0.625	rgb(224, 98, 99)	1.9938	None
Pbx2	Dctn6	0.61173	43.16	0.165	rgb(219,186,186)	1.8442	None
Stat1	Dctn6	0.68462	45.15	0.198	rgb(219,179,180)	1.8841	None
Elf1	Deptor	0.91672	50.38	0.383	rgb(221,144,145)	1.9888	None
Gata3	Deptor	0.96965	50.59	0.588	rgb(223,105,106)	1.993	None
Ikzf1	Deptor	0.93306	50.45	0.449	rgb(222,131,132)	1.9902	None
Pbx2	Deptor	0.93306	50.45	0.452	rgb(222,131,132)	1.9902	None
Elf1	Fam213a	0.90746	50.33	0.326	rgb(221,155,155)	1.9878	None
Ikzf1	Fam213a	0.89062	50.12	0.12	rgb(218,194,194)	1.9836	None
Pou2f2	Fam213a	0.85788	49.36	0.363	rgb(221,148,148)	1.9684	None
Stat1	Fam213a	0.22194	34.16	0.161	rgb(219,186,187)	1.664	None
Elf1	Gramd1c	0.94246	50.49	0.493	rgb(222,123,124)	1.991	None
