TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Pbx2	1110019D14Rik	0.11309	32.19	0.188	rgb(219,181,182)	1.6245	2,2
Elf1	1700056E22Rik	0.35745	36.47	0.47	rgb(222,127,128)	1.7103	2,2
Pbx2	1700056E22Rik	0.44953	38.27	0.268	rgb(220,166,166)	1.7463	2,2
Gata3	1700061F12Rik	0.80686	48.28	0.28	rgb(220,164,164)	1.9467	2,2
Pbx2	2810459M11Rik	0.75584	46.47	0.465	rgb(222,128,129)	1.9105	2,2
Elf1	4921511C10Rik	0.7137	45.49	0.488	rgb(222,124,125)	1.8909	2,2
Gata3	4930412O13Rik	0.90746	50.33	0.334	rgb(221,153,154)	1.9878	2,2
Pou2f2	4930412O13Rik	0.84495	49.2	0.196	rgb(219,180,180)	1.9652	2,2
Pbx2	4930430F08Rik	0.36145	36.56	0.561	rgb(223,110,111)	1.7121	2,2
Elf1	4930579G24Rik	0.58839	42.33	0.335	rgb(221,153,154)	1.8276	2,2
Gata3	9230102O04Rik	0.92663	50.43	0.43	rgb(222,135,136)	1.9898	2,2
Pbx2	A830010M20Rik	0.19402	33.35	0.347	rgb(221,151,151)	1.6478	2,2
Pbx2	AW011738	0.69275	44.55	0.553	rgb(223,111,112)	1.872	2,2
Stat1	Abca1	0.43149	38.34	0.342	rgb(221,152,152)	1.7477	None
Pou2f2	Abcb1a	0.40189	37.49	0.491	rgb(222,123,124)	1.7307	None
Stat1	Abcb9	0.71982	46.02	0.259	rgb(220,167,168)	1.9015	None
Pbx2	Abcc5	0.37719	37.24	0.237	rgb(220,172,172)	1.7257	2,2
Elf1	Abcc8	0.93691	50.47	0.47	rgb(222,127,128)	1.9906	None
Pou2f2	Abcc8	0.99299	50.73	0.733	rgb(225, 77, 78)	1.9958	None
Elf1	Abhd17c	0.95347	50.53	0.534	rgb(223,115,116)	1.9918	None
Pou2f2	Abhd17c	0.86719	49.44	0.779	rgb(226, 68, 70)	1.97	None
Elf1	Abi3	0.25266	34.4	0.404	rgb(221,140,141)	1.6688	None
Elf1	Abr	0.66186	44.09	0.087	rgb(218,200,201)	1.8628	None
Stat1	Abr	0.89106	50.15	0.151	rgb(219,188,189)	1.9842	None
Elf1	Acbd7	0.96469	50.57	0.569	rgb(223,108,109)	1.9926	None
Ikzf1	Acbd7	0.95347	50.53	0.531	rgb(223,116,117)	1.9918	None
Elf1	Acer2	0.18024	33.26	0.261	rgb(220,167,168)	1.646	2,2
Ikzf1	Acer2	0.80734	48.22	0.216	rgb(219,176,176)	1.9455	None
Pou2f2	Acer2	0.97325	50.61	0.609	rgb(224,101,102)	1.9934	None
Stat1	Acer2	0.14445	32.03	0.032	rgb(217,211,211)	1.6213	None
Ikzf1	Acot2	0.012932	29.41	0.409	rgb(222,139,140)	1.5689	2,2
Pbx2	Acot2	0.77817	47.31	0.311	rgb(220,158,158)	1.9273	2,2
Elf1	Acoxl	0.35682	36.2	0.344	rgb(221,151,152)	1.7048	None
Elf1	Acp5	0.84434	49.23	0.23	rgb(220,173,174)	1.9658	None
Pou2f2	Acp5	0.49773	40.18	0.181	rgb(219,182,183)	1.7845	None
Pou2f2	Acsl3	0.85534	49.35	0.351	rgb(221,150,151)	1.9682	None
Gata3	Acsl4	0.87864	49.53	0.607	rgb(224,101,102)	1.9718	None
Elf1	Actn2	0.92315	50.41	0.412	rgb(222,138,139)	1.9894	None
Ikzf1	Actn3	0.39266	37.05	0.053	rgb(218,207,207)	1.7219	2,2
Ikzf1	Actr8	0.9091	50.34	0.344	rgb(221,151,152)	1.988	None
Pou2f2	Actr8	0.90835	50.34	0.343	rgb(221,151,152)	1.988	None
Pou2f2	Acvr1b	0.64081	43.33	0.331	rgb(221,154,154)	1.8476	None
Pou2f2	Acvr2a	0.83981	48.69	0.686	rgb(225, 86, 87)	1.9549	None
Stat1	Ada	0.62033	43.28	0.281	rgb(220,163,164)	1.8466	2,2
Stat1	Adam19	0.6478	44.15	0.15	rgb(219,188,189)	1.864	None
Pou2f2	Adam8	0.17597	33.23	0.229	rgb(220,173,174)	1.6454	None
Elf1	Adamts20	0.80383	48.24	0.244	rgb(220,170,171)	1.9459	None
Pbx2	Adamts20	0.61067	42.36	0.357	rgb(221,149,150)	1.8282	2,2
Ikzf1	Adar	0.11309	32.19	0.192	rgb(219,180,181)	1.6245	2,2
Stat1	Adar	0.6505	44.21	0.21	rgb(219,177,177)	1.8652	None
Pou2f2	Adcy9	0.26888	35.1	0.125	rgb(218,193,193)	1.6828	None
Elf1	Adh1	0.9914	50.72	0.718	rgb(225, 80, 81)	1.9956	None
Pbx2	Adora2a	0.87999	49.55	0.552	rgb(223,112,113)	1.9722	None
Gata3	Adrb2	0.89807	50.26	0.26	rgb(220,167,168)	1.9864	None
Ikzf1	Adrbk2	0.27831	34.33	0.328	rgb(221,154,155)	1.6674	2,2
Elf1	Aff1	0.99299	50.73	0.73	rgb(225, 78, 79)	1.9958	None
Pbx2	Agpat4	0.74886	46.48	0.482	rgb(222,125,126)	1.9107	None
Elf1	Ahcyl2	0.57462	41.35	0.347	rgb(221,151,151)	1.808	None
Gata3	Ahcyl2	0.75816	47.03	0.026	rgb(217,212,212)	1.9217	None
Stat1	Ahcyl2	0.95592	50.54	0.543	rgb(223,113,114)	1.992	None
Elf1	Ahr	0.67029	44.27	0.268	rgb(220,166,166)	1.8664	None
Gata3	Ahr	0.8541	49.34	0.337	rgb(221,153,153)	1.968	None
