TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Nfib	Adamts4	0.51379	40.36	0.355	rgb(221,149,150)	1.7881	2,2
Sox7	Adamts4	0.91758	50.39	0.579	rgb(223,106,108)	1.989	2,2
Nfib	Adcy6	0.82396	48.45	0.453	rgb(222,131,131)	1.9501	2,2
Tsc22d1	Adcy6	0.28821	34.41	0.411	rgb(222,138,139)	1.669	2,2
Nfib	Amotl1	0.79224	47.55	0.551	rgb(223,112,113)	1.9321	2,2
Sox7	Amotl1	0.60089	42.25	0.251	rgb(220,169,170)	1.826	2,2
Tsc22d1	Amotl1	0.77664	47.37	0.506	rgb(223,120,121)	1.9285	2,2
Foxf1	Angptl7	0.64529	43.37	0.367	rgb(221,147,148)	1.8484	2,2
Sox7	Angptl7	0.69316	45.28	0.299	rgb(220,160,161)	1.8867	2,2
Nfib	Arhgef12	0.21011	33.51	0.508	rgb(223,120,121)	1.651	2,2
Sox7	Arhgef12	0.37602	36.36	0.359	rgb(221,148,149)	1.708	2,2
Nfib	Axl	0.33241	36.25	0.253	rgb(220,169,169)	1.7058	2,2
Sox7	Axl	0.1297	31.38	0.383	rgb(221,144,145)	1.6083	2,2
Nfib	Birc5	0.2933	35.32	0.321	rgb(221,156,156)	1.6872	2,2
Sox7	Birc5	0.060767	30.32	0.319	rgb(221,156,157)	1.5871	2,2
Sox7	Cd34	0.54023	40.36	0.378	rgb(221,145,146)	1.7881	2,2
Tsc22d1	Cd34	0.53658	40.33	0.327	rgb(221,154,155)	1.7875	2,2
Nfib	Ckap4	0.95737	50.54	0.541	rgb(223,114,115)	1.992	2,2
Tsc22d1	Ckap4	0.46139	38.36	0.36	rgb(221,148,149)	1.7481	2,2
Nfib	Col4a2	0.75145	46.51	0.505	rgb(223,120,122)	1.9113	2,2
Sox7	Col4a2	0.5766	41.37	0.372	rgb(221,146,147)	1.8084	2,2
Tsc22d1	Col4a2	0.79877	47.57	0.572	rgb(223,108,109)	1.9325	2,2
Foxf1	Col6a4	0.9522	50.52	0.516	rgb(223,118,119)	1.9916	2,2
Sox7	Col6a4	0.56681	41.26	0.258	rgb(220,168,168)	1.8062	2,2
Foxf1	Cxcl12	0.12594	31.35	0.35	rgb(221,150,151)	1.6077	2,2
Nfib	Cxcl12	0.34992	36.39	0.394	rgb(221,142,142)	1.7087	2,2
Tsc22d1	Cxcl12	0.086476	31.06	0.178	rgb(219,183,183)	1.6019	2,2
Foxf1	Cyr61	0.94522	50.5	0.504	rgb(223,121,122)	1.9912	2,2
Nfib	Cyr61	0.7308	46.28	0.275	rgb(220,164,165)	1.9067	2,2
Sox7	Cyr61	0.63981	43.32	0.382	rgb(221,144,145)	1.8474	2,2
Sox7	Dapk1	0.44651	38.24	0.242	rgb(220,171,171)	1.7457	2,2
Tsc22d1	Dapk1	0.6132	42.39	0.393	rgb(221,142,143)	1.8288	2,2
Nfib	Dcn	0.92663	50.43	0.426	rgb(222,136,136)	1.9898	2,2
Sox7	Dcn	0.96102	50.56	0.564	rgb(223,109,110)	1.9924	2,2
Foxf1	Dll4	0.36186	36.27	0.265	rgb(220,166,167)	1.7062	2,2
Tsc22d1	Dll4	0.82764	48.49	0.528	rgb(223,116,117)	1.9509	2,2
Foxf1	Dmd	0.70525	45.27	0.272	rgb(220,165,166)	1.8865	2,2
Nfib	Dmd	0.66483	44.37	0.371	rgb(221,146,147)	1.8684	2,2
Sox7	Dmd	0.35999	36.23	0.226	rgb(219,174,174)	1.7054	2,2
Foxf1	Dysf	0.54205	41.24	0.297	rgb(220,160,161)	1.8058	2,2
Tsc22d1	Dysf	0.10846	31.25	0.248	rgb(220,170,170)	1.6057	2,2
Foxf1	Ednra	0.74115	46.31	0.313	rgb(220,157,158)	1.9073	2,2
Nfib	Ednra	0.59171	42.36	0.361	rgb(221,148,149)	1.8282	2,2
Sox7	Ednra	0.84883	49.27	0.272	rgb(220,165,166)	1.9666	2,2
Foxf1	Eln	0.50252	39.37	0.371	rgb(221,146,147)	1.7683	2,2
Sox7	Eln	0.67202	44.29	0.314	rgb(220,157,158)	1.8668	2,2
Foxf1	Ephb4	0.16756	32.26	0.264	rgb(220,167,167)	1.626	2,2
Sox7	Ephb4	0.44182	38.18	0.179	rgb(219,183,183)	1.7445	2,2
Foxf1	Ereg	0.92901	50.44	0.438	rgb(222,133,134)	1.99	2,2
Nfib	Ereg	0.37764	37.25	0.25	rgb(220,169,170)	1.7259	2,2
Sox7	Ereg	0.87273	49.48	0.477	rgb(222,126,127)	1.9708	2,2
Tsc22d1	Ereg	0.13869	32.35	0.349	rgb(221,150,151)	1.6278	2,2
Sox7	Esam	0.47817	39.39	0.388	rgb(221,143,144)	1.7687	2,2
Tsc22d1	Esam	0.1407	31.5	0.501	rgb(223,121,122)	1.6107	2,2
Nfib	Fbln1	0.77554	47.36	0.364	rgb(221,148,148)	1.9283	2,2
Sox7	Fbln1	0.46329	38.38	0.383	rgb(221,144,145)	1.7485	2,2
Foxf1	Fbln5	0.72457	45.49	0.495	rgb(222,123,124)	1.8909	2,2
Nfib	Fbln5	0.86315	49.42	0.417	rgb(222,137,138)	1.9696	2,2
Sox7	Fbln5	0.59804	42.21	0.209	rgb(219,177,177)	1.8252	2,2
Tsc22d1	Fbln5	0.65248	44.24	0.395	rgb(221,142,142)	1.8658	2,2
Foxf1	Fgfr2	0.66848	44.41	0.41	rgb(222,139,139)	1.8692	2,2
Sox7	Fgfr2	0.31469	35.24	0.237	rgb(220,172,172)	1.6856	2,2
Nfib	Fkbp9	0.58163	42.25	0.249	rgb(220,169,170)	1.826	None
Tsc22d1	Fkbp9	0.9522	50.52	0.524	rgb(223,117,118)	1.9916	2,2
Nfib	Flna	0.17518	32.31	0.314	rgb(220,157,158)	1.627	2,2
Tsc22d1	Flna	0.20647	33.16	0.157	rgb(219,187,187)	1.644	2,2
Nfib	Foxf1	0.49492	40.12	0.12	rgb(218,194,194)	1.7833	2,2
Sox7	Foxf1	0.64296	43.35	0.345	rgb(221,151,152)	1.848	2,2
Nfib	Fstl1	0.68969	45.24	0.239	rgb(220,171,172)	1.8859	2,2
Sox7	Fstl1	0.8715	49.47	0.466	rgb(222,128,129)	1.9706	2,2
Tsc22d1	Fstl1	0.57186	41.32	0.341	rgb(221,152,153)	1.8074	2,2
Nfib	Gas6	0.9949	50.76	0.758	rgb(225, 72, 74)	1.9964	2,2
Sox7	Gas6	0.14832	32.09	0.095	rgb(218,199,199)	1.6225	2,2
Foxf1	Gdi2	0.26927	34.26	0.26	rgb(220,167,168)	1.666	2,2
Nfib	Gdi2	0.010019	30.29	0.294	rgb(220,161,161)	1.5865	2,2
Foxf1	Gm13889	0.7326	46.3	0.297	rgb(220,160,161)	1.9071	2,2
Sox7	Gm13889	0.91536	50.38	0.381	rgb(221,144,145)	1.9888	2,2
Tsc22d1	Gm13889	0.17518	32.31	0.315	rgb(220,157,158)	1.627	2,2
Foxf1	Gtf2ird1	0.4191	37.36	0.363	rgb(221,148,148)	1.7281	2,2
Nfib	Gtf2ird1	0.32158	36.15	0.148	rgb(219,189,189)	1.7038	2,2
Tsc22d1	Gtf2ird1	0.59632	42.41	0.408	rgb(221,139,140)	1.8292	2,2
Nfib	Hpgd	0.77047	47.31	0.309	rgb(220,158,159)	1.9273	2,2
Tsc22d1	Hpgd	0.18239	32.36	0.397	rgb(221,141,142)	1.628	2,2
Nfib	Hspg2	0.17301	33.21	0.213	rgb(219,176,177)	1.645	2,2
Sox7	Hspg2	0.95592	50.54	0.535	rgb(223,115,116)	1.992	2,2
Tsc22d1	Hspg2	0.64949	43.41	0.41	rgb(222,139,140)	1.8492	2,2
Foxf1	Igfbp3	0.90215	50.3	0.462	rgb(222,129,130)	1.9872	2,2
Nfib	Igfbp3	0.73637	46.34	0.34	rgb(221,152,153)	1.9079	2,2
Sox7	Igfbp3	0.87644	49.51	0.508	rgb(223,120,121)	1.9714	2,2
Foxf1	Lama4	0.71857	45.6	0.604	rgb(224,102,103)	1.8931	2,2
Sox7	Lama4	0.80298	48.23	0.289	rgb(220,162,162)	1.9457	2,2
Nfib	Lima1	0.14796	32.43	0.433	rgb(222,134,135)	1.6294	2,2
Tsc22d1	Lima1	0.59804	42.21	0.212	rgb(219,176,177)	1.8252	2,2
Nfib	Lmcd1	0.22675	34.2	0.203	rgb(219,178,179)	1.6648	2,2
Tsc22d1	Lmcd1	0.62072	42.49	0.493	rgb(222,123,124)	1.8308	2,2
Foxf1	Lrrc32	0.5461	40.42	0.423	rgb(222,136,137)	1.7893	2,2
Nfib	Lrrc32	0.45276	39.08	0.08	rgb(218,202,202)	1.7625	2,2
Sox7	Lrrc32	0.37021	37.17	0.168	rgb(219,185,185)	1.7243	2,2
Tsc22d1	Lrrc32	0.024945	30.38	0.38	rgb(221,144,145)	1.5883	2,2
Sox7	Ly6c1	0.085416	31.04	0.041	rgb(217,209,209)	1.6015	2,2
Tsc22d1	Ly6c1	0.46232	38.37	0.371	rgb(221,146,147)	1.7483	2,2
Foxf1	Lyve1	0.8753	49.5	0.502	rgb(223,121,122)	1.9712	2,2
Nfib	Lyve1	0.31934	36.12	0.122	rgb(218,194,194)	1.7032	2,2
Sox7	Lyve1	0.30578	35.15	0.272	rgb(220,165,166)	1.6838	2,2
Foxf1	Mapt	0.41359	38.16	0.321	rgb(221,156,156)	1.7441	2,2
Sox7	Mapt	0.41139	38.13	0.126	rgb(218,193,193)	1.7435	2,2
Foxf1	Mfap4	0.53724	41.17	0.173	rgb(219,184,184)	1.8044	2,2
Nfib	Mfap4	0.41962	38.23	0.229	rgb(220,173,174)	1.7455	2,2
Sox7	Mfap4	0.6462	43.38	0.38	rgb(221,144,145)	1.8486	2,2
Foxf1	Mir3058	0.32671	36.2	0.195	rgb(219,180,180)	1.7048	2,2
Sox7	Mir3058	0.37764	37.25	0.247	rgb(220,170,170)	1.7259	2,2
Nfib	Mmp16	0.048146	31.14	0.136	rgb(218,191,191)	1.6035	2,2
Sox7	Mmp16	0.1837	32.37	0.368	rgb(221,147,147)	1.6282	2,2
Sox7	Mmrn2	0.37719	37.24	0.324	rgb(221,155,156)	1.7257	2,2
Tsc22d1	Mmrn2	0.3205	36.14	0.137	rgb(219,191,191)	1.7036	2,2
Nfib	Ms4a7	0.85014	49.3	0.305	rgb(220,159,159)	1.9672	2,2
Sox7	Ms4a7	0.57745	41.38	0.375	rgb(221,145,146)	1.8086	2,2
Foxf1	Mt1	0.65008	43.42	0.417	rgb(222,137,138)	1.8494	2,2
Nfib	Mt1	0.82442	48.46	0.458	rgb(222,130,130)	1.9503	2,2
Sox7	Mt1	0.085416	31.04	0.043	rgb(217,209,209)	1.6015	2,2
Tsc22d1	Mt1	0.48163	39.2	0.2	rgb(219,179,179)	1.7649	2,2
Foxf1	Mt2	0.33158	35.37	0.372	rgb(221,146,147)	1.6882	2,2
