TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Nfib	Amotl1	0.79224	47.55	0.551	rgb(223,112,113)	1.9321	2,2
Sox7	Amotl1	0.60089	42.25	0.251	rgb(220,169,170)	1.826	2,2
Tsc22d1	Amotl1	0.77664	47.37	0.506	rgb(223,120,121)	1.9285	2,2
Nfib	Col4a2	0.75145	46.51	0.505	rgb(223,120,122)	1.9113	2,2
Sox7	Col4a2	0.5766	41.37	0.372	rgb(221,146,147)	1.8084	2,2
Tsc22d1	Col4a2	0.79877	47.57	0.572	rgb(223,108,109)	1.9325	2,2
Foxf1	Cxcl12	0.12594	31.35	0.35	rgb(221,150,151)	1.6077	2,2
Nfib	Cxcl12	0.34992	36.39	0.394	rgb(221,142,142)	1.7087	2,2
Tsc22d1	Cxcl12	0.086476	31.06	0.178	rgb(219,183,183)	1.6019	2,2
Foxf1	Cyr61	0.94522	50.5	0.504	rgb(223,121,122)	1.9912	2,2
Nfib	Cyr61	0.7308	46.28	0.275	rgb(220,164,165)	1.9067	2,2
Sox7	Cyr61	0.63981	43.32	0.382	rgb(221,144,145)	1.8474	2,2
Foxf1	Dmd	0.70525	45.27	0.272	rgb(220,165,166)	1.8865	2,2
Nfib	Dmd	0.66483	44.37	0.371	rgb(221,146,147)	1.8684	2,2
Sox7	Dmd	0.35999	36.23	0.226	rgb(219,174,174)	1.7054	2,2
Foxf1	Ednra	0.74115	46.31	0.313	rgb(220,157,158)	1.9073	2,2
Nfib	Ednra	0.59171	42.36	0.361	rgb(221,148,149)	1.8282	2,2
Sox7	Ednra	0.84883	49.27	0.272	rgb(220,165,166)	1.9666	2,2
Foxf1	Ereg	0.92901	50.44	0.438	rgb(222,133,134)	1.99	2,2
Nfib	Ereg	0.37764	37.25	0.25	rgb(220,169,170)	1.7259	2,2
Sox7	Ereg	0.87273	49.48	0.477	rgb(222,126,127)	1.9708	2,2
Tsc22d1	Ereg	0.13869	32.35	0.349	rgb(221,150,151)	1.6278	2,2
Foxf1	Fbln5	0.72457	45.49	0.495	rgb(222,123,124)	1.8909	2,2
Nfib	Fbln5	0.86315	49.42	0.417	rgb(222,137,138)	1.9696	2,2
Sox7	Fbln5	0.59804	42.21	0.209	rgb(219,177,177)	1.8252	2,2
Tsc22d1	Fbln5	0.65248	44.24	0.395	rgb(221,142,142)	1.8658	2,2
Nfib	Fstl1	0.68969	45.24	0.239	rgb(220,171,172)	1.8859	2,2
Sox7	Fstl1	0.8715	49.47	0.466	rgb(222,128,129)	1.9706	2,2
Tsc22d1	Fstl1	0.57186	41.32	0.341	rgb(221,152,153)	1.8074	2,2
Foxf1	Gm13889	0.7326	46.3	0.297	rgb(220,160,161)	1.9071	2,2
Sox7	Gm13889	0.91536	50.38	0.381	rgb(221,144,145)	1.9888	2,2
Tsc22d1	Gm13889	0.17518	32.31	0.315	rgb(220,157,158)	1.627	2,2
Foxf1	Gtf2ird1	0.4191	37.36	0.363	rgb(221,148,148)	1.7281	2,2
Nfib	Gtf2ird1	0.32158	36.15	0.148	rgb(219,189,189)	1.7038	2,2
Tsc22d1	Gtf2ird1	0.59632	42.41	0.408	rgb(221,139,140)	1.8292	2,2
Nfib	Hspg2	0.17301	33.21	0.213	rgb(219,176,177)	1.645	2,2
Sox7	Hspg2	0.95592	50.54	0.535	rgb(223,115,116)	1.992	2,2
Tsc22d1	Hspg2	0.64949	43.41	0.41	rgb(222,139,140)	1.8492	2,2
Foxf1	Igfbp3	0.90215	50.3	0.462	rgb(222,129,130)	1.9872	2,2
Nfib	Igfbp3	0.73637	46.34	0.34	rgb(221,152,153)	1.9079	2,2
Sox7	Igfbp3	0.87644	49.51	0.508	rgb(223,120,121)	1.9714	2,2
Foxf1	Lrrc32	0.5461	40.42	0.423	rgb(222,136,137)	1.7893	2,2
Nfib	Lrrc32	0.45276	39.08	0.08	rgb(218,202,202)	1.7625	2,2
Sox7	Lrrc32	0.37021	37.17	0.168	rgb(219,185,185)	1.7243	2,2
Tsc22d1	Lrrc32	0.024945	30.38	0.38	rgb(221,144,145)	1.5883	2,2
Foxf1	Lyve1	0.8753	49.5	0.502	rgb(223,121,122)	1.9712	2,2
Nfib	Lyve1	0.31934	36.12	0.122	rgb(218,194,194)	1.7032	2,2
Sox7	Lyve1	0.30578	35.15	0.272	rgb(220,165,166)	1.6838	2,2
Foxf1	Mfap4	0.53724	41.17	0.173	rgb(219,184,184)	1.8044	2,2
