TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Nfib	0610012G03Rik	0.077314	31.33	0.33	rgb(221,154,155)	1.6073	2,2
Sox7	1700017B05Rik	0.096292	31.17	0.167	rgb(219,185,185)	1.6041	2,2
Tsc22d1	1810011O10Rik	0.26522	34.23	0.226	rgb(219,174,174)	1.6654	2,2
Foxf1	2310069B03Rik	0.44953	38.27	0.268	rgb(220,166,166)	1.7463	2,2
Nfib	2700094K13Rik	0.48819	39.53	0.532	rgb(223,115,117)	1.7715	2,2
Sox7	4833419F23Rik	0.16192	32.22	0.276	rgb(220,164,165)	1.6252	2,2
Sox7	4930590J08Rik	0.12214	31.33	0.417	rgb(222,137,138)	1.6073	2,2
Foxf1	4933400F21Rik	0.6022	42.27	0.385	rgb(221,143,144)	1.8264	2,2
Foxf1	6330403K07Rik	0.7129	45.48	0.483	rgb(222,125,126)	1.8907	2,2
Sox7	6430571L13Rik	0.64405	43.36	0.378	rgb(221,145,146)	1.8482	2,2
Tsc22d1	Abcc9	0.1095	32.16	0.171	rgb(219,184,185)	1.6239	2,2
Foxf1	Ace	0.5095	40.32	0.321	rgb(221,156,156)	1.7873	2,2
Foxf1	Actg2	0.86776	49.45	0.452	rgb(222,131,132)	1.9702	2,2
Foxf1	Acvr2a	0.28542	34.38	0.375	rgb(221,145,146)	1.6684	2,2
Foxf1	Adam9	0.56681	41.26	0.257	rgb(220,168,168)	1.8062	2,2
Sox7	Adamts19	0.78568	47.39	0.385	rgb(221,143,144)	1.9289	2,2
Tsc22d1	Adamts2	0.27652	35.19	0.192	rgb(219,180,181)	1.6846	2,2
Nfib	Adamts4	0.51379	40.36	0.355	rgb(221,149,150)	1.7881	2,2
Sox7	Adamts4	0.91758	50.39	0.579	rgb(223,106,108)	1.989	2,2
Sox7	Adamts9	0.27169	34.28	0.281	rgb(220,163,164)	1.6664	2,2
Sox7	Adamtsl4	0.14861	32.44	0.445	rgb(222,132,133)	1.6296	2,2
Foxf1	Adcy4	0.4285	37.46	0.463	rgb(222,129,130)	1.7301	2,2
Nfib	Adcy6	0.82396	48.45	0.453	rgb(222,131,131)	1.9501	2,2
Tsc22d1	Adcy6	0.28821	34.41	0.411	rgb(222,138,139)	1.669	2,2
Foxf1	Adra1b	0.37825	36.38	0.383	rgb(221,144,145)	1.7085	2,2
Tsc22d1	Aif1l	0.54322	40.39	0.394	rgb(221,142,143)	1.7887	2,2
Foxf1	Akt3	0.84579	49.22	0.503	rgb(223,121,122)	1.9656	2,2
Nfib	Amotl1	0.79224	47.55	0.551	rgb(223,112,113)	1.9321	2,2
Sox7	Amotl1	0.60089	42.25	0.251	rgb(220,169,170)	1.826	2,2
Tsc22d1	Amotl1	0.77664	47.37	0.506	rgb(223,120,121)	1.9285	2,2
Tsc22d1	Angpt2	0.72702	46.23	0.327	rgb(221,155,155)	1.9057	2,2
Foxf1	Angptl7	0.64529	43.37	0.367	rgb(221,147,148)	1.8484	2,2
Sox7	Angptl7	0.69316	45.28	0.299	rgb(220,160,161)	1.8867	2,2
Sox7	Ano5	0.91536	50.38	0.423	rgb(222,136,137)	1.9888	2,2
Nfib	Anxa1	0.72396	45.48	0.475	rgb(222,126,127)	1.8907	2,2
Nfib	Anxa3	0.62485	43.33	0.332	rgb(221,154,154)	1.8476	2,2
Foxf1	Apbb2	0.38579	37.32	0.381	rgb(221,144,145)	1.7273	2,2
Foxf1	Aplp1	0.98482	50.67	0.674	rgb(224, 88, 90)	1.9946	2,2
Nfib	Aqp1	0.98406	50.66	0.664	rgb(224, 90, 91)	1.9944	2,2
Sox7	Arc	0.45974	38.35	0.354	rgb(221,149,150)	1.7479	2,2
Nfib	Arhgef12	0.21011	33.51	0.508	rgb(223,120,121)	1.651	2,2
Sox7	Arhgef12	0.37602	36.36	0.359	rgb(221,148,149)	1.708	2,2
Nfib	Arl6ip5	0.92777	50.43	0.427	rgb(222,136,136)	1.9898	None
Nfib	Atp1b1	0.55779	41.1	0.1	rgb(218,198,198)	1.803	None
Nfib	Atp2b4	0.77719	47.3	0.299	rgb(220,160,161)	1.9271	None
Nfib	Atp8b1	0.88261	49.58	0.575	rgb(223,107,108)	1.9728	2,2
Nfib	Axl	0.33241	36.25	0.253	rgb(220,169,169)	1.7058	2,2
Sox7	Axl	0.1297	31.38	0.383	rgb(221,144,145)	1.6083	2,2
Foxf1	B3galt5	0.081661	30.53	0.526	rgb(223,117,118)	1.5913	2,2
Foxf1	B430319G15Rik	0.29022	34.43	0.427	rgb(222,135,136)	1.6694	2,2
Nfib	B4galt5	0.94899	50.51	0.509	rgb(223,120,121)	1.9914	None
