TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Gata2	5430435G22Rik	0.59752	42.24	0.237	rgb(220,172,172)	1.8258	2,2
Spi1	5430435G22Rik	0.87007	49.46	0.464	rgb(222,128,129)	1.9704	2,2
Pou2af1	Actn1	0.12694	32.28	0.276	rgb(220,164,165)	1.6264	2,2
Spi1	Actn1	0.18721	32.4	0.398	rgb(221,141,142)	1.6288	2,2
Gata2	Alox5ap	0.4507	39.04	0.041	rgb(217,209,209)	1.7617	2,2
Spi1	Alox5ap	0.78792	47.49	0.495	rgb(222,122,123)	1.9309	2,2
Pou2af1	Amz1	0.029698	30.11	0.114	rgb(218,195,195)	1.5829	2,2
Spi1	Amz1	0.75145	46.51	0.506	rgb(223,120,121)	1.9113	2,2
Gata2	Anxa3	0.34327	36.34	0.34	rgb(221,152,153)	1.7076	2,2
Spi1	Anxa3	0.16081	32.21	0.206	rgb(219,178,178)	1.6249	2,2
Gata2	B4galt6	0.080866	30.49	0.489	rgb(222,124,125)	1.5905	2,2
Spi1	B4galt6	0.20647	33.16	0.319	rgb(221,156,157)	1.644	2,2
Gata2	Bcl11a	0.33355	36.26	0.263	rgb(220,167,167)	1.706	2,2
Spi1	Bcl11a	0.6229	43.31	0.307	rgb(220,158,159)	1.8472	2,2
Pou2af1	Blnk	0.97766	50.63	0.63	rgb(224, 97, 98)	1.9938	2,2
Spi1	Blnk	0.4875	39.34	0.337	rgb(221,153,153)	1.7677	2,2
Pou2af1	Cbfa2t3	0.55475	41.37	0.369	rgb(221,146,147)	1.8084	2,2
Spi1	Cbfa2t3	0.82764	48.49	0.493	rgb(222,123,124)	1.9509	2,2
Spi1	Ccnd1	0.66458	44.17	0.24	rgb(220,171,172)	1.8644	2,2
Zfp385a	Ccnd1	0.028062	30.09	0.089	rgb(218,200,200)	1.5825	2,2
Pou2af1	Cd180	0.48225	39.43	0.433	rgb(222,134,135)	1.7695	2,2
Spi1	Cd180	0.89961	50.28	0.284	rgb(220,163,163)	1.9868	2,2
Zfp385a	Cd180	0.31242	35.22	0.329	rgb(221,154,155)	1.6852	2,2
Pou2af1	Cd24a	0.99299	50.73	0.733	rgb(225, 77, 79)	1.9958	2,2
Spi1	Cd24a	0.71505	45.38	0.378	rgb(221,145,146)	1.8887	2,2
Pou2af1	Cd40	0.56586	41.5	0.514	rgb(223,119,120)	1.811	2,2
Spi1	Cd40	0.44547	38.23	0.266	rgb(220,166,167)	1.7455	2,2
Pou2af1	Cd74	0.88261	49.58	0.576	rgb(223,107,108)	1.9728	2,2
Spi1	Cd74	0.66483	44.37	0.416	rgb(222,137,138)	1.8684	2,2
Spi1	Cdc42bpb	0.79388	47.49	0.522	rgb(223,117,118)	1.9309	2,2
Zfp385a	Cdc42bpb	0.91758	50.39	0.387	rgb(221,143,144)	1.989	2,2
Pou2af1	Ckap4	0.60668	42.32	0.32	rgb(221,156,157)	1.8274	2,2
Spi1	Ckap4	0.944	50.49	0.495	rgb(222,123,124)	1.991	2,2
Gata2	Cldn1	0.28651	35.27	0.291	rgb(220,161,162)	1.6862	2,2
Pou2af1	Cldn1	0.11376	31.28	0.282	rgb(220,163,164)	1.6063	2,2
Gata2	Clec12a	0.77719	47.3	0.303	rgb(220,159,160)	1.9271	2,2
Spi1	Clec12a	0.60668	42.32	0.414	rgb(222,138,139)	1.8274	2,2
Pou2af1	Clec7a	0.23122	33.35	0.345	rgb(221,151,152)	1.6478	2,2
Spi1	Clec7a	0.94095	50.48	0.48	rgb(222,125,126)	1.9908	2,2
Pou2af1	Csf2rb	0.58506	42.3	0.383	rgb(221,144,145)	1.827	2,2
Spi1	Csf2rb	0.96469	50.57	0.573	rgb(223,108,109)	1.9926	2,2
Zfp385a	Csf2rb	0.039935	30.19	0.191	rgb(219,181,181)	1.5845	2,2
Pou2af1	Csf2rb2	0.50399	39.38	0.378	rgb(221,145,146)	1.7685	2,2
Spi1	Csf2rb2	0.99919	50.84	0.841	rgb(226, 56, 58)	1.998	2,2
Pou2af1	Cxcl16	0.5629	41.2	0.353	rgb(221,150,150)	1.805	2,2
Spi1	Cxcl16	0.38431	36.44	0.436	rgb(222,134,135)	1.7097	2,2
Pou2af1	Cybb	0.28542	34.38	0.384	rgb(221,144,145)	1.6684	2,2
Spi1	Cybb	0.99877	50.84	0.844	rgb(226, 56, 58)	1.998	2,2
Gata2	Fgd2	0.17018	33.19	0.188	rgb(219,181,181)	1.6446	2,2
Spi1	Fgd2	0.97546	50.62	0.618	rgb(224, 99,100)	1.9936	2,2
Zfp385a	Fgd2	0.20929	33.19	0.19	rgb(219,181,181)	1.6446	2,2
Spi1	Gata2	0.89581	50.24	0.242	rgb(220,171,171)	1.986	2,2
Zfp385a	Gata2	0.47407	39.35	0.355	rgb(221,149,150)	1.7679	2,2
Gata2	Gatm	0.8753	49.5	0.503	rgb(223,121,122)	1.9712	2,2
Spi1	Gatm	0.7792	47.32	0.32	rgb(221,156,156)	1.9275	2,2
Pou2af1	H2-Ab1	0.26147	34.51	0.513	rgb(223,119,120)	1.671	2,2
Spi1	H2-Ab1	0.971	50.6	0.599	rgb(224,103,104)	1.9932	2,2
Gata2	H2-DMa	0.73785	46.25	0.356	rgb(221,149,150)	1.9061	2,2
Spi1	H2-DMa	0.8541	49.34	0.378	rgb(221,145,146)	1.968	2,2
Pou2af1	H2-DMb1	0.63341	43.24	0.238	rgb(220,172,172)	1.8458	2,2
Spi1	H2-DMb1	0.97445	50.61	0.609	rgb(224,101,102)	1.9934	2,2
Gata2	H2-DMb2	0.37602	36.36	0.355	rgb(221,149,150)	1.708	2,2
Pou2af1	H2-DMb2	0.069461	30.37	0.374	rgb(221,146,146)	1.5881	2,2
Spi1	H2-DMb2	0.29878	35.03	0.289	rgb(220,162,162)	1.6814	2,2
Pou2af1	H2-Ob	0.61581	42.42	0.42	rgb(222,137,138)	1.8294	2,2
Spi1	H2-Ob	0.53978	41.21	0.21	rgb(219,177,177)	1.8052	2,2
Gata2	I830077J02Rik	0.27013	35.12	0.124	rgb(218,193,194)	1.6832	2,2
Spi1	I830077J02Rik	0.70279	45.38	0.385	rgb(221,143,144)	1.8887	2,2
Spi1	Ifi205	0.67996	44.38	0.376	rgb(221,145,146)	1.8686	2,2
Zfp385a	Ifi205	0.12127	32.24	0.237	rgb(220,172,172)	1.6256	2,2
Gata2	Ifi30	0.62925	43.38	0.376	rgb(221,145,146)	1.8486	2,2
Spi1	Ifi30	0.048909	30.25	0.249	rgb(220,170,170)	1.5857	2,2
Zfp385a	Ifi30	0.44434	38.47	0.474	rgb(222,126,127)	1.7503	2,2
Gata2	Ifitm3	0.39663	37.13	0.181	rgb(219,182,183)	1.7235	2,2
Spi1	Ifitm3	0.42641	38.3	0.468	rgb(222,128,129)	1.7469	2,2
Gata2	Il6ra	0.95041	50.52	0.519	rgb(223,118,119)	1.9916	2,2
Pou2af1	Il6ra	0.07306	30.41	0.407	rgb(221,139,140)	1.5889	2,2
Spi1	Il6ra	0.59341	42.11	0.111	rgb(218,196,196)	1.8232	2,2
Gata2	Klhl17	0.41209	37.3	0.303	rgb(220,159,160)	1.7269	2,2
Spi1	Klhl17	0.46602	39.27	0.272	rgb(220,165,166)	1.7663	2,2
Gata2	Marcks	0.62398	43.32	0.322	rgb(221,156,156)	1.8474	2,2
Spi1	Marcks	0.78518	47.46	0.461	rgb(222,129,130)	1.9303	2,2
Zfp385a	Marcks	0.53853	41.19	0.19	rgb(219,181,181)	1.8048	2,2
Spi1	Mefv	0.88138	49.56	0.556	rgb(223,111,112)	1.9724	2,2
Zfp385a	Mefv	0.63118	43.35	0.353	rgb(221,150,150)	1.848	2,2
Gata2	Met	0.7442	46.42	0.416	rgb(222,138,138)	1.9095	2,2
Pou2af1	Met	0.54023	40.36	0.417	rgb(222,137,138)	1.7881	2,2
Gata2	Myb	0.34691	36.03	0.298	rgb(220,160,161)	1.7014	2,2
Pou2af1	Myb	0.307	35.43	0.431	rgb(222,135,135)	1.6894	2,2
Spi1	Nfam1	0.51969	40.41	0.446	rgb(222,132,133)	1.7891	2,2
Zfp385a	Nfam1	0.20598	33.45	0.446	rgb(222,132,133)	1.6498	2,2
Spi1	Nlrp1a	0.8753	49.5	0.499	rgb(222,122,123)	1.9712	2,2
Zfp385a	Nlrp1a	0.43735	38.11	0.115	rgb(218,195,195)	1.7431	2,2
Gata2	Pf4	0.44833	38.26	0.261	rgb(220,167,168)	1.7461	2,2
Spi1	Pf4	0.32195	35.3	0.297	rgb(220,160,161)	1.6868	2,2
Pou2af1	Pirb	0.4648	39.26	0.262	rgb(220,167,168)	1.7661	2,2
