TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Pou2af1	Cd180	0.48225	39.43	0.433	rgb(222,134,135)	1.7695	2,2
Spi1	Cd180	0.89961	50.28	0.284	rgb(220,163,163)	1.9868	2,2
Zfp385a	Cd180	0.31242	35.22	0.329	rgb(221,154,155)	1.6852	2,2
Pou2af1	Csf2rb	0.58506	42.3	0.383	rgb(221,144,145)	1.827	2,2
Spi1	Csf2rb	0.96469	50.57	0.573	rgb(223,108,109)	1.9926	2,2
Zfp385a	Csf2rb	0.039935	30.19	0.191	rgb(219,181,181)	1.5845	2,2
Gata2	Fgd2	0.17018	33.19	0.188	rgb(219,181,181)	1.6446	2,2
Spi1	Fgd2	0.97546	50.62	0.618	rgb(224, 99,100)	1.9936	2,2
Zfp385a	Fgd2	0.20929	33.19	0.19	rgb(219,181,181)	1.6446	2,2
Gata2	H2-DMb2	0.37602	36.36	0.355	rgb(221,149,150)	1.708	2,2
Pou2af1	H2-DMb2	0.069461	30.37	0.374	rgb(221,146,146)	1.5881	2,2
Spi1	H2-DMb2	0.29878	35.03	0.289	rgb(220,162,162)	1.6814	2,2
Gata2	Ifi30	0.62925	43.38	0.376	rgb(221,145,146)	1.8486	2,2
Spi1	Ifi30	0.048909	30.25	0.249	rgb(220,170,170)	1.5857	2,2
Zfp385a	Ifi30	0.44434	38.47	0.474	rgb(222,126,127)	1.7503	2,2
Gata2	Il6ra	0.95041	50.52	0.519	rgb(223,118,119)	1.9916	2,2
Pou2af1	Il6ra	0.07306	30.41	0.407	rgb(221,139,140)	1.5889	2,2
Spi1	Il6ra	0.59341	42.11	0.111	rgb(218,196,196)	1.8232	2,2
Gata2	Marcks	0.62398	43.32	0.322	rgb(221,156,156)	1.8474	2,2
Spi1	Marcks	0.78518	47.46	0.461	rgb(222,129,130)	1.9303	2,2
Zfp385a	Marcks	0.53853	41.19	0.19	rgb(219,181,181)	1.8048	2,2
Pou2af1	Plekho1	0.44547	38.24	0.245	rgb(220,170,171)	1.7457	2,2
Spi1	Plekho1	0.82716	48.44	0.435	rgb(222,134,135)	1.9499	2,2
Zfp385a	Plekho1	0.54808	41.31	0.311	rgb(220,158,158)	1.8072	2,2
Gata2	Slpi	0.027096	30.08	0.128	rgb(218,193,193)	1.5823	2,2
Pou2af1	Slpi	0.78792	47.49	0.548	rgb(223,112,113)	1.9309	2,2
Spi1	Slpi	0.76211	47.19	0.258	rgb(220,168,168)	1.9249	2,2
Zfp385a	Slpi	0.54902	40.46	0.461	rgb(222,129,130)	1.7901	2,2
Gata2	Snn	0.27706	34.32	0.321	rgb(221,156,156)	1.6672	2,2
Pou2af1	Snn	0.29022	34.43	0.427	rgb(222,135,136)	1.6694	2,2
Spi1	Snn	0.26147	34.51	0.512	rgb(223,119,120)	1.671	2,2
Gata2	Spi1	0.96102	50.56	0.56	rgb(223,110,111)	1.9924	2,2
Pou2af1	Spi1	0.5766	41.37	0.366	rgb(221,147,148)	1.8084	2,2
Zfp385a	Spi1	0.15698	32.18	0.182	rgb(219,182,183)	1.6243	2,2
Gata2	Wdfy4	0.81916	48.37	0.416	rgb(222,138,138)	1.9485	2,2
Pou2af1	Wdfy4	0.71617	45.39	0.46	rgb(222,129,130)	1.8889	2,2
Spi1	Wdfy4	0.92663	50.43	0.428	rgb(222,135,136)	1.9898	2,2
Zfp385a	Wdfy4	0.877	49.52	0.52	rgb(223,118,119)	1.9716	2,2
