TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Zfp385a	2310022B05Rik	0.82764	48.49	0.488	rgb(222,124,125)	1.9509	2,2
Zfp385a	4930447N08Rik	0.076348	30.43	0.429	rgb(222,135,136)	1.5893	2,2
Spi1	4930481A15Rik	0.5766	41.37	0.365	rgb(221,147,148)	1.8084	2,2
Spi1	5031414D18Rik	0.50252	39.37	0.371	rgb(221,146,147)	1.7683	2,2
Gata2	5430435G22Rik	0.59752	42.24	0.237	rgb(220,172,172)	1.8258	2,2
Spi1	5430435G22Rik	0.87007	49.46	0.464	rgb(222,128,129)	1.9704	2,2
Spi1	9530077C05Rik	0.23755	33.39	0.394	rgb(221,142,143)	1.6486	2,2
Gata2	A530099J19Rik	0.97217	50.6	0.604	rgb(224,102,103)	1.9932	2,2
Gata2	Abcc9	0.4875	39.34	0.338	rgb(221,152,153)	1.7677	2,2
Pou2af1	Actn1	0.12694	32.28	0.276	rgb(220,164,165)	1.6264	2,2
Spi1	Actn1	0.18721	32.4	0.398	rgb(221,141,142)	1.6288	2,2
Zfp385a	Adamts9	0.25486	34.12	0.117	rgb(218,195,195)	1.6632	2,2
Pou2af1	Adcy6	0.57533	41.36	0.362	rgb(221,148,149)	1.8082	2,2
Spi1	Afap1	0.33844	36.3	0.303	rgb(220,159,160)	1.7068	2,2
Gata2	Afap1l1	0.09034	31.11	0.109	rgb(218,196,196)	1.6029	2,2
Zfp385a	Aif1	0.27315	34.29	0.292	rgb(220,161,162)	1.6666	2,2
Spi1	Aldh3b1	0.66368	44.36	0.411	rgb(222,139,139)	1.8682	2,2
Spi1	Alox5	0.060767	30.32	0.321	rgb(221,156,156)	1.5871	2,2
Gata2	Alox5ap	0.4507	39.04	0.041	rgb(217,209,209)	1.7617	2,2
Spi1	Alox5ap	0.78792	47.49	0.495	rgb(222,122,123)	1.9309	2,2
Zfp385a	Amica1	0.60182	42.49	0.485	rgb(222,124,125)	1.8308	2,2
Gata2	Ampd3	0.087473	31.08	0.083	rgb(218,201,201)	1.6023	2,2
Pou2af1	Amz1	0.029698	30.11	0.114	rgb(218,195,195)	1.5829	2,2
Spi1	Amz1	0.75145	46.51	0.506	rgb(223,120,121)	1.9113	2,2
Gata2	Ank1	0.87864	49.53	0.526	rgb(223,117,118)	1.9718	2,2
Spi1	Anpep	0.26198	34.2	0.261	rgb(220,167,168)	1.6648	2,2
Gata2	Anxa3	0.34327	36.34	0.34	rgb(221,152,153)	1.7076	2,2
Spi1	Anxa3	0.16081	32.21	0.206	rgb(219,178,178)	1.6249	2,2
