TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Nr1d1	2310007L24Rik	0.86597	49.44	0.445	rgb(222,132,133)	1.97	2,2
Rora	2310007L24Rik	0.85146	49.3	0.299	rgb(220,160,160)	1.9672	2,2
Nr1d1	4833412C05Rik	0.86075	49.4	0.404	rgb(221,140,141)	1.9692	2,2
Rora	4833412C05Rik	0.41083	37.29	0.288	rgb(220,162,163)	1.7267	2,2
Nr1d1	Abcc3	0.74319	46.41	0.407	rgb(221,139,140)	1.9093	None
Nr1d2	Abcc3	0.41438	37.32	0.321	rgb(221,156,156)	1.7273	None
Rora	Abcc3	0.72146	46.11	0.108	rgb(218,196,197)	1.9033	None
Nr1d1	Adam12	0.91536	50.38	0.382	rgb(221,144,145)	1.9888	None
Rora	Adam12	0.95041	50.52	0.52	rgb(223,118,119)	1.9916	None
Nr1d1	Adrbk2	0.91049	50.35	0.348	rgb(221,150,151)	1.9882	None
Nr1d2	Adrbk2	0.1095	32.16	0.161	rgb(219,186,186)	1.6239	None
Rora	Adrbk2	0.70093	45.36	0.356	rgb(221,149,150)	1.8883	None
Nr1d1	Aff4	0.54388	41.26	0.264	rgb(220,167,167)	1.8062	None
Nr1d2	Aff4	0.9015	50.29	0.287	rgb(220,162,163)	1.987	None
Nr1d1	Ahcyl2	0.93027	50.44	0.441	rgb(222,133,134)	1.99	None
Rora	Ahcyl2	0.99084	50.71	0.707	rgb(225, 82, 83)	1.9954	None
Nr1d1	Aldh1l1	0.27552	35.18	0.184	rgb(219,182,182)	1.6844	None
Rora	Aldh1l1	0.68355	45.12	0.247	rgb(220,170,170)	1.8835	None
Nr1d1	Amz2	0.42121	38.25	0.251	rgb(220,169,169)	1.7459	None
Nr1d2	Amz2	0.89194	50.17	0.219	rgb(219,175,176)	1.9846	None
Rora	Amz2	0.8337	48.56	0.559	rgb(223,110,111)	1.9523	None
Nr1d2	Ankrd12	0.94522	50.5	0.5	rgb(223,121,122)	1.9912	None
Rora	Ankrd12	0.3838	37.3	0.299	rgb(220,160,160)	1.7269	None
Nr1d1	Anxa5	0.98855	50.69	0.687	rgb(225, 86, 87)	1.995	None
Nr1d2	Anxa5	0.51751	40.39	0.391	rgb(221,142,143)	1.7887	None
Nr1d1	Aqp9	0.3636	37.04	0.039	rgb(217,210,210)	1.7217	None
Nr1d2	Aqp9	0.76192	46.57	0.566	rgb(223,109,110)	1.9125	None
Nr1d1	Arhgap32	0.92663	50.43	0.428	rgb(222,135,136)	1.9898	None
Rora	Arhgap32	0.82093	48.38	0.378	rgb(221,145,146)	1.9487	None
Nr1d1	Arhgef11	0.9091	50.34	0.34	rgb(221,152,153)	1.988	None
Rora	Arhgef11	0.6505	44.21	0.208	rgb(219,177,178)	1.8652	None
Nr1d1	Arhgef28	0.93691	50.47	0.474	rgb(222,127,127)	1.9906	None
Rora	Arhgef28	0.32015	36.13	0.127	rgb(218,193,193)	1.7034	None
Nr1d2	Arntl	0.55707	41.09	0.37	rgb(221,146,147)	1.8028	None
Rora	Arntl	0.85735	49.37	0.375	rgb(221,145,146)	1.9686	None
Nr1d1	Arsg	0.5734	41.34	0.338	rgb(221,152,153)	1.8078	None
Nr1d2	Arsg	0.45217	38.29	0.286	rgb(220,162,163)	1.7467	None
Rora	Arsg	0.63066	43.4	0.402	rgb(221,140,141)	1.849	None
Nr1d1	Atrnl1	0.73607	46.22	0.22	rgb(219,175,175)	1.9055	None
Rora	Atrnl1	0.90746	50.33	0.332	rgb(221,154,154)	1.9878	None
Nr1d2	Atxn7	0.95838	50.55	0.549	rgb(223,112,113)	1.9922	None
Rora	Atxn7	0.41359	38.16	0.164	rgb(219,186,186)	1.7441	None
Nr1d1	Bik	0.92075	50.4	0.399	rgb(221,141,142)	1.9892	None
Nr1d2	Bik	0.17164	33.2	0.201	rgb(219,179,179)	1.6448	None
Rora	Bik	0.77554	47.36	0.359	rgb(221,148,149)	1.9283	None
Nr1d1	C2	0.83012	48.47	0.471	rgb(222,127,128)	1.9505	None
Rora	C2	0.99846	50.83	0.83	rgb(226, 58, 60)	1.9978	None
Nr1d1	C2cd4d	0.89533	50.23	0.232	rgb(220,173,173)	1.9858	None
Rora	C2cd4d	0.74115	46.3	0.305	rgb(220,159,159)	1.9071	None
Nr1d1	Camk4	0.9949	50.76	0.76	rgb(225, 72, 73)	1.9964	None
Rora	Camk4	0.95737	50.54	0.542	rgb(223,113,114)	1.992	None
Nr1d1	Capn3	0.8127	48.34	0.34	rgb(221,152,153)	1.9479	None
Nr1d2	Capn3	0.71999	45.43	0.434	rgb(222,134,135)	1.8897	None
Nr1d1	Ccdc162	0.45159	39.05	0.048	rgb(218,208,208)	1.7619	None
Nr1d2	Ccdc162	0.16306	32.23	0.226	rgb(219,174,174)	1.6254	None
