TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Nr1d2	1110008F13Rik	0.042692	30.21	0.214	rgb(219,176,177)	1.5849	2,2
Nr1d1	2310007L24Rik	0.86597	49.44	0.445	rgb(222,132,133)	1.97	2,2
Rora	2310007L24Rik	0.85146	49.3	0.299	rgb(220,160,160)	1.9672	2,2
Nr1d1	2310015A10Rik	0.37655	36.37	0.369	rgb(221,147,147)	1.7082	2,2
Nr1d1	4833412C05Rik	0.86075	49.4	0.404	rgb(221,140,141)	1.9692	2,2
Rora	4833412C05Rik	0.41083	37.29	0.288	rgb(220,162,163)	1.7267	2,2
Nr1d1	5430417L22Rik	0.21293	33.22	0.221	rgb(219,175,175)	1.6452	2,2
Rora	A4galt	0.8467	49.26	0.262	rgb(220,167,167)	1.9664	None
Rora	A830080D01Rik	0.15572	32.17	0.167	rgb(219,185,185)	1.6241	2,2
Nr1d2	AW549877	0.68727	45.2	0.198	rgb(219,179,180)	1.8851	2,2
Rora	Abcb1a	0.80531	48.26	0.257	rgb(220,168,168)	1.9463	None
Rora	Abcc1	0.98563	50.67	0.67	rgb(224, 89, 90)	1.9946	None
Nr1d1	Abcc3	0.74319	46.41	0.407	rgb(221,139,140)	1.9093	None
Nr1d2	Abcc3	0.41438	37.32	0.321	rgb(221,156,156)	1.7273	None
Rora	Abcc3	0.72146	46.11	0.108	rgb(218,196,197)	1.9033	None
Rora	Abhd17b	0.15634	33.02	0.023	rgb(217,213,213)	1.6412	None
Nr1d1	Abhd2	0.34615	36.36	0.356	rgb(221,149,150)	1.708	None
Rora	Abhd4	0.90076	50.29	0.349	rgb(221,150,151)	1.987	None
Rora	Abi1	0.15154	32.13	0.133	rgb(218,192,192)	1.6233	2,2
Rora	Ablim3	0.85475	49.33	0.335	rgb(221,153,154)	1.9678	None
Rora	Acad10	0.78792	47.49	0.49	rgb(222,123,124)	1.9309	None
Rora	Ackr3	0.92544	50.42	0.419	rgb(222,137,138)	1.9896	None
Nr1d2	Acox3	0.012932	29.41	0.413	rgb(222,138,139)	1.5689	2,2
Nr1d2	Acoxl	0.11539	31.29	0.291	rgb(220,161,162)	1.6065	None
Nr1d1	Acpp	0.66681	44.21	0.318	rgb(220,156,157)	1.8652	None
Rora	Acsl1	0.85594	49.34	0.337	rgb(221,153,153)	1.968	None
Rora	Actn2	0.18951	33.32	0.316	rgb(220,157,157)	1.6472	None
Rora	Actrt3	0.7498	46.49	0.493	rgb(222,123,124)	1.9109	None
Rora	Acvr2a	0.91672	50.38	0.38	rgb(221,144,145)	1.9888	None
