TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Plagl2	2410016O06Rik	0.7802	47.33	0.385	rgb(221,143,144)	1.9277	2,2
Zfp574	2410016O06Rik	0.17164	33.2	0.261	rgb(220,167,168)	1.6448	2,2
Plagl2	2510039O18Rik	0.11027	31.26	0.264	rgb(220,167,167)	1.6059	2,2
Zfp574	2510039O18Rik	0.70093	45.36	0.406	rgb(221,140,140)	1.8883	2,2
Plagl2	Fasn	0.42792	38.31	0.429	rgb(222,135,136)	1.7471	2,2
Zfp574	Fasn	0.78445	47.38	0.381	rgb(221,144,145)	1.9287	2,2
Plagl2	Fbrsl1	0.34112	35.46	0.463	rgb(222,129,130)	1.69	2,2
Zfp574	Fbrsl1	0.59341	42.38	0.376	rgb(221,145,146)	1.8286	2,2
Plagl2	Fscn2	0.42599	37.43	0.521	rgb(223,117,118)	1.7295	2,2
Zfp574	Fscn2	0.3205	36.14	0.143	rgb(219,190,190)	1.7036	2,2
Plagl2	Hif1an	0.80486	48.18	0.181	rgb(219,182,183)	1.9447	2,2
Zfp574	Hif1an	0.60935	42.35	0.354	rgb(221,149,150)	1.828	2,2
Plagl2	Mief1	0.7095	45.32	0.41	rgb(222,139,139)	1.8875	2,2
Zfp574	Mief1	0.77817	47.31	0.34	rgb(221,152,153)	1.9273	2,2
Plagl2	Poldip3	0.37021	37.17	0.341	rgb(221,152,152)	1.7243	2,2
Zfp574	Poldip3	0.43149	38.34	0.344	rgb(221,151,152)	1.7477	2,2
Plagl2	Syvn1	0.77407	47.27	0.274	rgb(220,165,165)	1.9265	2,2
Zfp574	Syvn1	0.74375	46.33	0.375	rgb(221,145,146)	1.9077	2,2
Plagl2	Usp42	0.67451	44.32	0.318	rgb(220,156,157)	1.8674	2,2
Zfp574	Usp42	0.71474	45.51	0.51	rgb(223,120,121)	1.8913	2,2
Plagl2	Zfp341	0.69137	45.26	0.255	rgb(220,168,169)	1.8863	2,2
Zfp574	Zfp341	0.62736	43.36	0.359	rgb(221,148,149)	1.8482	2,2
