TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Zfp574	2310022B05Rik	0.10218	32.08	0.303	rgb(220,159,160)	1.6223	2,2
Plagl2	2410016O06Rik	0.7802	47.33	0.385	rgb(221,143,144)	1.9277	2,2
Zfp574	2410016O06Rik	0.17164	33.2	0.261	rgb(220,167,168)	1.6448	2,2
Plagl2	2510039O18Rik	0.11027	31.26	0.264	rgb(220,167,167)	1.6059	2,2
Zfp574	2510039O18Rik	0.70093	45.36	0.406	rgb(221,140,140)	1.8883	2,2
Plagl2	4930447N08Rik	0.26653	34.24	0.244	rgb(220,170,171)	1.6656	2,2
Plagl2	4930590J08Rik	0.32297	35.31	0.313	rgb(220,157,158)	1.687	2,2
Zfp574	AI837181	0.73404	46.32	0.368	rgb(221,147,147)	1.9075	2,2
Plagl2	Abca7	0.66137	44.34	0.345	rgb(221,151,152)	1.8678	2,2
Plagl2	Abcc1	0.67202	44.29	0.29	rgb(220,162,162)	1.8668	2,2
Plagl2	Ago2	0.94246	50.49	0.495	rgb(222,123,124)	1.991	2,2
Zfp574	Ankrd13a	0.46538	38.4	0.404	rgb(221,140,141)	1.7489	2,2
Plagl2	Ankrd52	0.81916	48.37	0.506	rgb(223,120,121)	1.9485	2,2
Plagl2	Aplp2	0.23122	33.35	0.351	rgb(221,150,151)	1.6478	2,2
Zfp574	Arpc1a	0.1179	32.22	0.261	rgb(220,167,168)	1.6252	2,2
Zfp574	Atg9a	0.32015	36.13	0.128	rgb(218,193,193)	1.7034	2,2
Zfp574	Atp1a3	0.29573	34.5	0.5	rgb(222,122,123)	1.6708	2,2
Zfp574	Btbd11	0.41438	37.32	0.316	rgb(220,157,157)	1.7273	2,2
Zfp574	C430049B03Rik	0.37495	36.35	0.348	rgb(221,151,151)	1.7078	2,2
Zfp574	Cactin	0.63341	43.24	0.367	rgb(221,147,148)	1.8458	2,2
Plagl2	Cage1	0.88191	49.57	0.569	rgb(223,108,109)	1.9726	2,2
Plagl2	Ccdc137	0.62571	43.34	0.503	rgb(223,121,122)	1.8478	2,2
Plagl2	Ccl3	0.54531	40.41	0.409	rgb(221,139,140)	1.7891	2,2
Zfp574	Cdc34	0.77407	47.35	0.365	rgb(221,147,148)	1.9281	2,2
Plagl2	Cfl2	0.48411	39.18	0.381	rgb(221,144,145)	1.7645	2,2
Plagl2	Cinp	0.39559	37.11	0.109	rgb(218,196,196)	1.7231	2,2
Plagl2	Clasp1	0.36549	36.28	0.284	rgb(220,163,163)	1.7064	2,2
Zfp574	Clcn1	0.32195	35.3	0.303	rgb(220,159,160)	1.6868	2,2
Zfp574	Cnppd1	0.19927	33.05	0.136	rgb(218,191,191)	1.6418	2,2
Zfp574	Cpt2	0.16465	32.24	0.239	rgb(220,171,172)	1.6256	2,2
Zfp574	Ctdsp2	0.79586	47.64	0.638	rgb(224, 95, 96)	1.9339	2,2
Zfp574	Cyb5r3	0.80383	48.24	0.238	rgb(220,172,172)	1.9459	2,2
Plagl2	Ddx3y	0.023247	30.37	0.523	rgb(223,117,118)	1.5881	2,2
Plagl2	Dhx32	0.59878	42.44	0.438	rgb(222,133,134)	1.8298	2,2
Zfp574	Egln2	0.67797	44.54	0.544	rgb(223,113,114)	1.8718	2,2
Zfp574	Erf	0.00098161	30.24	0.242	rgb(220,171,171)	1.5855	2,2
Zfp574	Fam109a	0.48225	39.43	0.434	rgb(222,134,135)	1.7695	2,2
Zfp574	Fam53c	0.72077	45.44	0.442	rgb(222,133,133)	1.8899	2,2
Plagl2	Fasn	0.42792	38.31	0.429	rgb(222,135,136)	1.7471	2,2
Zfp574	Fasn	0.78445	47.38	0.381	rgb(221,144,145)	1.9287	2,2
Plagl2	Fbrsl1	0.34112	35.46	0.463	rgb(222,129,130)	1.69	2,2
Zfp574	Fbrsl1	0.59341	42.38	0.376	rgb(221,145,146)	1.8286	2,2
Zfp574	Fbxo28	0.10117	31.21	0.318	rgb(221,156,157)	1.6049	2,2
Zfp574	Ficd	0.83108	48.48	0.48	rgb(222,125,126)	1.9507	2,2
Plagl2	Fscn2	0.42599	37.43	0.521	rgb(223,117,118)	1.7295	2,2
Zfp574	Fscn2	0.3205	36.14	0.143	rgb(219,190,190)	1.7036	2,2
Zfp574	G6pdx	0.26055	34.49	0.488	rgb(222,124,125)	1.6706	2,2
Zfp574	Gadd45a	0.40453	37.57	0.565	rgb(223,109,110)	1.7323	2,2
Plagl2	Gatsl2	0.17749	33.24	0.323	rgb(221,155,156)	1.6456	2,2
Zfp574	Gcc1	0.41962	38.23	0.279	rgb(220,164,164)	1.7455	2,2
Plagl2	Gm16907	0.53208	40.29	0.291	rgb(220,161,162)	1.7867	2,2
Plagl2	Gm9895	0.57586	42.17	0.251	rgb(220,169,170)	1.8244	2,2
Zfp574	Gpr146	0.38534	36.45	0.447	rgb(222,132,132)	1.7099	2,2
Plagl2	Gzma	0.40986	37.28	0.28	rgb(220,163,164)	1.7265	2,2
Plagl2	Hif1an	0.80486	48.18	0.181	rgb(219,182,183)	1.9447	2,2
Zfp574	Hif1an	0.60935	42.35	0.354	rgb(221,149,150)	1.828	2,2
Plagl2	Il13	0.7636	46.62	0.619	rgb(224, 99,100)	1.9135	2,2
Plagl2	Il6	0.24808	34.36	0.361	rgb(221,148,149)	1.668	2,2
Zfp574	Insr	0.1407	31.5	0.501	rgb(223,121,122)	1.6107	2,2
Zfp574	Ip6k1	0.073652	31.31	0.315	rgb(220,157,158)	1.6069	2,2
