TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Scmh1	BC049715	0.64529	43.37	0.375	rgb(221,145,146)	1.8484	2,2
Trerf1	BC049715	0.27907	35.21	0.208	rgb(219,177,178)	1.685	2,2
Scmh1	Cul7	0.67075	44.43	0.432	rgb(222,134,135)	1.8696	2,2
Trerf1	Cul7	0.055407	31.2	0.2	rgb(219,179,179)	1.6047	2,2
Scmh1	Cul9	0.093892	31.15	0.152	rgb(219,188,188)	1.6037	2,2
Trerf1	Cul9	0.16874	33.18	0.176	rgb(219,183,184)	1.6444	2,2
Scmh1	Ext2	0.004612	29.35	0.353	rgb(221,150,150)	1.5677	2,2
Trerf1	Ext2	0.4376	38.39	0.392	rgb(221,142,143)	1.7487	2,2
Scmh1	Eya2	0.7584	46.5	0.495	rgb(222,122,123)	1.9111	2,2
Trerf1	Eya2	0.50321	40.25	0.25	rgb(220,169,170)	1.7859	2,2
Scmh1	Iars2	0.05254	30.27	0.269	rgb(220,166,166)	1.5861	2,2
Trerf1	Iars2	0.63716	43.47	0.471	rgb(222,127,128)	1.8504	2,2
Scmh1	Jak3	0.11539	31.29	0.286	rgb(220,162,163)	1.6065	2,2
Trerf1	Jak3	0.53197	41.05	0.048	rgb(218,208,208)	1.802	2,2
Scmh1	Mvb12b	0.29134	34.44	0.44	rgb(222,133,134)	1.6696	2,2
Trerf1	Mvb12b	0.97445	50.61	0.612	rgb(224,100,101)	1.9934	2,2
Scmh1	Ppt1	0.41209	37.3	0.302	rgb(220,159,160)	1.7269	2,2
Trerf1	Ppt1	0.86923	49.46	0.463	rgb(222,128,129)	1.9704	2,2
Scmh1	Zfp536	0.36518	37.09	0.434	rgb(222,134,135)	1.7227	2,2
Trerf1	Zfp536	0.18819	33.31	0.307	rgb(220,158,159)	1.647	2,2
Scmh1	Zmiz2	0.69377	44.6	0.595	rgb(224,103,104)	1.873	2,2
Trerf1	Zmiz2	0.67778	44.53	0.527	rgb(223,116,117)	1.8716	2,2
