TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Zfp120	1110037F02Rik	0.38718	37.33	0.331	rgb(221,154,155)	1.7275	2,2
Zfp51	1110037F02Rik	0.042692	30.21	0.208	rgb(219,177,178)	1.5849	2,2
Zfp120	2810474O19Rik	0.74506	46.43	0.426	rgb(222,136,137)	1.9097	2,2
Zfp654	2810474O19Rik	0.15572	32.17	0.221	rgb(219,175,175)	1.6241	2,2
Zfp120	Cd226	0.10798	32.15	0.154	rgb(219,188,188)	1.6237	2,2
Zfp654	Cd226	0.25382	34.41	0.414	rgb(222,138,139)	1.669	2,2
Zfp120	Cwf19l2	0.62186	43.3	0.32	rgb(221,156,156)	1.847	2,2
Zfp51	Cwf19l2	0.075366	31.32	0.32	rgb(221,156,157)	1.6071	2,2
Zfp120	Ddx43	0.2871	34.4	0.396	rgb(221,141,142)	1.6688	2,2
Zfp51	Ddx43	0.5591	41.41	0.414	rgb(222,138,139)	1.8092	2,2
Zfp51	Dock11	0.87644	49.51	0.52	rgb(223,118,119)	1.9714	2,2
Zfp654	Dock11	0.15865	33.06	0.105	rgb(218,197,197)	1.642	2,2
Zfp120	Gcc2	0.36494	37.08	0.083	rgb(218,201,201)	1.7225	2,2
Zfp654	Gcc2	0.30136	35.08	0.209	rgb(219,177,177)	1.6824	2,2
Zfp120	Haus3	0.69649	45.08	0.167	rgb(219,185,185)	1.8827	2,2
Zfp51	Haus3	0.4717	39.33	0.33	rgb(221,154,155)	1.7675	2,2
Zfp654	Haus3	0.96469	50.57	0.57	rgb(223,108,109)	1.9926	2,2
Zfp120	Ifi203	0.91536	50.38	0.382	rgb(221,144,145)	1.9888	2,2
Zfp654	Ifi203	0.80656	48.21	0.298	rgb(220,160,161)	1.9453	2,2
Zfp51	Kdm1b	0.58313	42.27	0.27	rgb(220,165,166)	1.8264	2,2
Zfp654	Kdm1b	0.40728	38.05	0.161	rgb(219,186,186)	1.7419	2,2
Zfp120	Lrif1	0.20483	33.14	0.139	rgb(219,191,191)	1.6436	2,2
Zfp51	Lrif1	0.43252	38.35	0.349	rgb(221,150,151)	1.7479	2,2
Zfp120	Luzp1	0.79519	47.61	0.613	rgb(224,100,101)	1.9333	2,2
Zfp51	Luzp1	0.0093331	29.38	0.382	rgb(221,144,145)	1.5683	2,2
Zfp120	Ppig	0.74149	46.39	0.392	rgb(221,142,143)	1.9089	2,2
Zfp51	Ppig	0.13504	32.33	0.328	rgb(221,154,155)	1.6274	2,2
Zfp120	Proz	0.36848	36.3	0.437	rgb(222,134,134)	1.7068	2,2
Zfp51	Proz	0.30368	35.12	0.193	rgb(219,180,181)	1.6832	2,2
Zfp120	Rasa1	0.059255	30.31	0.305	rgb(220,159,159)	1.5869	2,2
Zfp654	Rasa1	0.83242	48.54	0.535	rgb(223,115,116)	1.9519	2,2
Zfp120	Smc6	0.15896	32.2	0.252	rgb(220,169,169)	1.6247	2,2
Zfp654	Smc6	0.95592	50.54	0.536	rgb(223,115,116)	1.992	2,2
Zfp120	Sp3	0.40818	38.06	0.062	rgb(218,205,205)	1.7421	2,2
Zfp51	Sp3	0.45974	38.35	0.352	rgb(221,150,151)	1.7479	2,2
Zfp654	Sp3	0.54481	41.27	0.298	rgb(220,160,161)	1.8064	2,2
Zfp120	Stag2	0.29952	35.04	0.059	rgb(218,206,206)	1.6816	2,2
Zfp51	Stag2	0.80656	48.21	0.386	rgb(221,143,144)	1.9453	2,2
Zfp654	Stag2	0.45304	39.1	0.366	rgb(221,147,148)	1.7629	2,2
Zfp120	Tpr	0.76862	47.29	0.29	rgb(220,162,162)	1.9269	2,2
Zfp654	Tpr	0.49397	40.11	0.11	rgb(218,196,196)	1.7831	2,2
Zfp120	Xiap	0.49894	39.34	0.342	rgb(221,152,152)	1.7677	2,2
Zfp51	Xiap	0.6186	43.26	0.262	rgb(220,167,168)	1.8462	2,2
Zfp120	Zfp654	0.62625	43.08	0.143	rgb(219,190,190)	1.8426	2,2
Zfp51	Zfp654	0.72424	46.18	0.3	rgb(220,160,160)	1.9047	2,2
Zfp120	Zfp758	0.78445	47.38	0.38	rgb(221,144,145)	1.9287	2,2
Zfp51	Zfp758	0.55536	41.01	0.252	rgb(220,169,169)	1.8012	2,2
