TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Zfp120	1110037F02Rik	0.38718	37.33	0.331	rgb(221,154,155)	1.7275	2,2
Zfp51	1110037F02Rik	0.042692	30.21	0.208	rgb(219,177,178)	1.5849	2,2
Zfp51	2310022A10Rik	0.55265	41.35	0.407	rgb(221,139,140)	1.808	2,2
Zfp120	2810474O19Rik	0.74506	46.43	0.426	rgb(222,136,137)	1.9097	2,2
Zfp654	2810474O19Rik	0.15572	32.17	0.221	rgb(219,175,175)	1.6241	2,2
Zfp120	4933413J09Rik	0.24808	34.36	0.358	rgb(221,149,149)	1.668	2,2
Zfp51	5830416P10Rik	0.068479	31.28	0.369	rgb(221,147,147)	1.6063	2,2
Zfp120	Abi3	0.12694	32.28	0.281	rgb(220,163,164)	1.6264	2,2
Zfp654	Acap2	0.045559	30.23	0.492	rgb(222,123,124)	1.5853	2,2
Zfp120	Ajuba	0.63853	43.5	0.505	rgb(223,121,122)	1.851	2,2
Zfp51	Aldh3a1	0.10567	32.12	0.144	rgb(219,189,190)	1.6231	2,2
Zfp120	Arhgap18	0.71324	45.36	0.363	rgb(221,148,148)	1.8883	2,2
Zfp120	Arid4b	0.75365	46.44	0.442	rgb(222,133,133)	1.9099	2,2
Zfp120	Atrx	0.7862	47.47	0.471	rgb(222,127,128)	1.9305	2,2
Zfp51	BC048546	0.96965	50.59	0.594	rgb(224,104,105)	1.993	2,2
Zfp51	BC068157	0.37437	37.22	0.272	rgb(220,165,166)	1.7253	2,2
Zfp120	Bicd1	0.022421	30.36	0.358	rgb(221,149,149)	1.5879	2,2
Zfp51	Bmi1	0.078888	31.34	0.38	rgb(221,145,145)	1.6075	2,2
Zfp51	Brdt	0.6591	43.59	0.588	rgb(223,105,106)	1.8528	2,2
Zfp654	C430002N11Rik	0.4191	37.36	0.457	rgb(222,130,131)	1.7281	2,2
Zfp654	Casp8ap2	0.95838	50.55	0.546	rgb(223,113,114)	1.9922	2,2
Zfp120	Ccdc152	0.30485	35.41	0.413	rgb(222,138,139)	1.689	2,2
Zfp120	Ccdc55	0.83461	48.58	0.582	rgb(223,106,107)	1.9527	2,2
Zfp120	Ccdc82	0.877	49.52	0.521	rgb(223,117,118)	1.9716	2,2
Zfp120	Ccdc93	0.61697	42.5	0.501	rgb(223,121,122)	1.831	2,2
Zfp120	Cd226	0.10798	32.15	0.154	rgb(219,188,188)	1.6237	2,2
Zfp654	Cd226	0.25382	34.41	0.414	rgb(222,138,139)	1.669	2,2
Zfp120	Cd38	0.088906	31.42	0.418	rgb(222,137,138)	1.6091	2,2
Zfp51	Cd48	0.070162	30.38	0.378	rgb(221,145,146)	1.5883	2,2
Zfp120	Cd96	0.22194	34.16	0.164	rgb(219,186,186)	1.664	2,2
Zfp120	Cdkn2aipnl	0.69791	45.33	0.329	rgb(221,154,155)	1.8877	2,2
Zfp120	Cept1	0.048909	30.25	0.247	rgb(220,170,170)	1.5857	2,2
Zfp51	Chm	0.32195	35.3	0.302	rgb(220,159,160)	1.6868	2,2
Zfp120	Chmp2b	0.6076	42.33	0.334	rgb(221,153,154)	1.8276	2,2
Zfp120	Cnp	0.21907	33.27	0.272	rgb(220,165,166)	1.6462	2,2
Zfp120	Crbn	0.55707	41.39	0.39	rgb(221,143,143)	1.8088	2,2
Zfp654	Creb1	0.56452	41.48	0.477	rgb(222,126,127)	1.8106	2,2
Zfp51	Cwc22	0.048909	30.25	0.251	rgb(220,169,169)	1.5857	2,2
Zfp120	Cwf19l2	0.62186	43.3	0.32	rgb(221,156,156)	1.847	2,2
Zfp51	Cwf19l2	0.075366	31.32	0.32	rgb(221,156,157)	1.6071	2,2
Zfp120	Ddx43	0.2871	34.4	0.396	rgb(221,141,142)	1.6688	2,2
Zfp51	Ddx43	0.5591	41.41	0.414	rgb(222,138,139)	1.8092	2,2
Zfp654	Dek	0.48084	39.42	0.419	rgb(222,137,138)	1.7693	2,2
Zfp51	Dgkh	0.12594	31.35	0.352	rgb(221,150,150)	1.6077	2,2
Zfp51	Dock11	0.87644	49.51	0.52	rgb(223,118,119)	1.9714	2,2
Zfp654	Dock11	0.15865	33.06	0.105	rgb(218,197,197)	1.642	2,2
Zfp654	Dopey2	0.79074	47.45	0.452	rgb(222,131,132)	1.9301	2,2
Zfp51	Dram2	0.79777	47.55	0.549	rgb(223,112,113)	1.9321	2,2
Zfp120	Efhc2	0.57186	41.32	0.346	rgb(221,151,152)	1.8074	2,2
Zfp654	Eif4e3	0.19495	32.5	0.504	rgb(223,121,122)	1.6308	2,2
Zfp120	Eif5b	0.17018	33.19	0.187	rgb(219,181,182)	1.6446	2,2
Zfp654	Eri2	0.88093	49.56	0.562	rgb(223,110,111)	1.9724	2,2
Zfp120	Esco1	0.82347	48.41	0.508	rgb(223,120,121)	1.9493	2,2
