TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Zfp605	AU022252	0.27315	34.29	0.295	rgb(220,161,161)	1.6666	2,2
Zfp668	AU022252	0.46195	39.23	0.235	rgb(220,172,173)	1.7655	2,2
Zfp605	Fchsd1	0.27493	34.3	0.299	rgb(220,160,160)	1.6668	2,2
Zfp668	Fchsd1	0.40481	37.24	0.244	rgb(220,170,171)	1.7257	2,2
Zfp605	Men1	0.46985	39.31	0.453	rgb(222,131,131)	1.7671	2,2
Zfp668	Men1	0.23398	34.26	0.262	rgb(220,167,167)	1.666	2,2
Zfp605	Nucb2	0.33302	35.38	0.376	rgb(221,145,146)	1.6884	2,2
Zfp668	Nucb2	0.11539	31.29	0.288	rgb(220,162,163)	1.6065	2,2
Zfp605	Phf23	0.24314	34.32	0.463	rgb(222,129,130)	1.6672	2,2
Zfp668	Phf23	0.80162	48.02	0.215	rgb(219,176,176)	1.9415	2,2
Zfp605	Tmem129	0.7787	47.39	0.409	rgb(222,139,140)	1.9289	2,2
Zfp668	Tmem129	0.52038	40.13	0.169	rgb(219,185,185)	1.7835	2,2
Zfp605	Xk	0.86597	49.44	0.443	rgb(222,132,133)	1.97	2,2
Zfp668	Xk	0.17357	32.3	0.32	rgb(221,156,156)	1.6268	2,2
Zfp605	Zfp426	0.62883	43.15	0.271	rgb(220,165,166)	1.844	2,2
Zfp668	Zfp426	0.4448	38.22	0.259	rgb(220,168,168)	1.7453	2,2
