TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Zfp605	1110019D14Rik	0.49813	39.33	0.332	rgb(221,154,154)	1.7675	2,2
Zfp605	1700021K19Rik	0.17301	33.21	0.214	rgb(219,176,177)	1.645	2,2
Zfp668	6030443J06Rik	0.074977	30.42	0.417	rgb(222,137,138)	1.5891	2,2
Zfp668	A930007I19Rik	0.65446	43.47	0.467	rgb(222,128,129)	1.8504	2,2
Zfp605	AU022252	0.27315	34.29	0.295	rgb(220,161,161)	1.6666	2,2
Zfp668	AU022252	0.46195	39.23	0.235	rgb(220,172,173)	1.7655	2,2
Zfp668	Ampd2	0.37495	36.35	0.349	rgb(221,150,151)	1.7078	2,2
Zfp668	Ankra2	0.11376	31.28	0.34	rgb(221,152,153)	1.6063	2,2
Zfp605	Arl16	0.88309	49.58	0.575	rgb(223,107,108)	1.9728	2,2
Zfp668	B630005N14Rik	0.13127	31.39	0.515	rgb(223,119,120)	1.6085	2,2
Zfp668	Birc5	0.50399	39.38	0.459	rgb(222,129,130)	1.7685	2,2
Zfp605	Brwd3	0.13803	31.45	0.455	rgb(222,130,131)	1.6097	2,2
Zfp605	Casp2	0.67353	44.31	0.306	rgb(220,159,159)	1.8672	2,2
Zfp668	Ccdc93	0.083328	31.37	0.367	rgb(221,147,148)	1.6081	2,2
Zfp668	Ccng1	0.2971	34.55	0.551	rgb(223,112,113)	1.6718	2,2
Zfp605	Cd151	0.24763	33.53	0.532	rgb(223,115,116)	1.6514	2,2
Zfp668	Cd8a	0.51379	40.36	0.361	rgb(221,148,149)	1.7881	2,2
Zfp668	Cdh23	0.42213	37.39	0.39	rgb(221,142,143)	1.7287	2,2
Zfp605	Cep97	0.14269	31.56	0.561	rgb(223,110,111)	1.6119	2,2
Zfp605	Chd3os	0.024945	30.38	0.384	rgb(221,144,145)	1.5883	2,2
Zfp605	Clasrp	0.57019	41.3	0.302	rgb(220,159,160)	1.807	2,2
Zfp605	Cpn1	0.059255	30.31	0.306	rgb(220,159,159)	1.5869	2,2
Zfp668	Cpped1	0.7802	47.33	0.369	rgb(221,146,147)	1.9277	2,2
Zfp605	D1Ertd622e	0.24082	33.42	0.428	rgb(222,135,136)	1.6492	2,2
Zfp668	Desi2	0.32481	35.32	0.324	rgb(221,155,156)	1.6872	2,2
Zfp668	Dhx33	0.65648	43.51	0.515	rgb(223,119,120)	1.8512	2,2
Zfp668	Dnmt1	0.11027	31.26	0.261	rgb(220,167,168)	1.6059	2,2
Zfp668	Dtx3l	0.35813	36.21	0.212	rgb(219,177,177)	1.705	2,2
Zfp668	Esrra	0.58104	41.42	0.419	rgb(222,137,138)	1.8094	2,2
Zfp668	Fam219a	0.015067	29.43	0.429	rgb(222,135,136)	1.5693	2,2
Zfp605	Fbxo17	0.42971	37.48	0.484	rgb(222,125,126)	1.7305	2,2
Zfp605	Fchsd1	0.27493	34.3	0.299	rgb(220,160,160)	1.6668	2,2
Zfp668	Fchsd1	0.40481	37.24	0.244	rgb(220,170,171)	1.7257	2,2
Zfp668	Fdft1	0.29715	34.56	0.564	rgb(223,109,110)	1.672	2,2
Zfp668	Foxk1	0.0093331	29.38	0.38	rgb(221,144,145)	1.5683	2,2
Zfp605	Fv1	0.16756	32.26	0.26	rgb(220,167,168)	1.626	2,2
Zfp605	Gapdhs	0.1469	32.07	0.072	rgb(218,203,203)	1.6221	2,2
Zfp605	Gemin4	0.21148	33.21	0.32	rgb(221,156,157)	1.645	2,2
Zfp605	Gins4	0.27831	34.33	0.331	rgb(221,154,154)	1.6674	2,2
Zfp668	Gm12185	0.58704	41.5	0.502	rgb(223,121,122)	1.811	2,2
Zfp605	Gm13157	0.87761	49.52	0.518	rgb(223,118,119)	1.9716	2,2
Zfp605	Gm16548	0.76349	46.66	0.657	rgb(224, 91, 93)	1.9143	2,2
Zfp605	Gm9958	0.2469	33.52	0.554	rgb(223,111,112)	1.6512	2,2
Zfp668	Gne	0.33886	35.43	0.43	rgb(222,135,136)	1.6894	2,2
